event_id,strip,depth_index,depth_inches,irrigation_start,irrigation_end,plot_start,plot_end,event_duration_hours,gallons_strip,avg_flow_gph_strip,output_file,status
2023-06-02_S3_S4_e824e1bc,S3,1,6,2023-06-02 15:43:00,2023-06-02 22:12:00,2023-06-02 03:43:00,2023-06-03 21:43:00,6.4833,33750.0,5205.6555,/Users/gcn/Documents/workspace/biocharWaterConserveWebsite/biochar_app/data-processed/management/irrigation/analysis/figures/event_multilocation/6in/2023-06-02_1543_S3_6in_locations_event_2023-06-02_S3_S4_e824e1bc.png,written
2023-06-14_S3_S4_71ac748b,S3,1,6,2023-06-14 08:25:00,2023-06-14 17:29:00,2023-06-13 20:25:00,2023-06-15 14:25:00,9.0667,64100.0,7069.8529,/Users/gcn/Documents/workspace/biocharWaterConserveWebsite/biochar_app/data-processed/management/irrigation/analysis/figures/event_multilocation/6in/2023-06-14_0825_S3_6in_locations_event_2023-06-14_S3_S4_71ac748b.png,written
2023-06-27_S3_S4_87f629e2,S3,1,6,2023-06-27 07:53:00,2023-06-27 16:14:00,2023-06-26 19:53:00,2023-06-28 13:53:00,8.35,67850.0,8125.7485,/Users/gcn/Documents/workspace/biocharWaterConserveWebsite/biochar_app/data-processed/management/irrigation/analysis/figures/event_multilocation/6in/2023-06-27_0753_S3_6in_locations_event_2023-06-27_S3_S4_87f629e2.png,written
2023-07-07_S3_S4_bf19b251,S3,1,6,2023-07-07 07:46:00,2023-07-07 15:46:00,2023-07-06 19:46:00,2023-07-08 13:46:00,8.0,64250.0,8031.25,/Users/gcn/Documents/workspace/biocharWaterConserveWebsite/biochar_app/data-processed/management/irrigation/analysis/figures/event_multilocation/6in/2023-07-07_0746_S3_6in_locations_event_2023-07-07_S3_S4_bf19b251.png,written
2023-07-17_S3_S4_a04fe807,S3,1,6,2023-07-17 19:19:00,2023-07-18 05:53:00,2023-07-17 07:19:00,2023-07-19 01:19:00,10.5667,80450.0,7613.5647,/Users/gcn/Documents/workspace/biocharWaterConserveWebsite/biochar_app/data-processed/management/irrigation/analysis/figures/event_multilocation/6in/2023-07-17_1919_S3_6in_locations_event_2023-07-17_S3_S4_a04fe807.png,written
2023-07-27_S3_S4_89a0fecc,S3,1,6,2023-07-27 10:00:00,2023-07-27 17:29:00,2023-07-26 22:00:00,2023-07-28 16:00:00,7.4833,25200.0,3367.4833,/Users/gcn/Documents/workspace/biocharWaterConserveWebsite/biochar_app/data-processed/management/irrigation/analysis/figures/event_multilocation/6in/2023-07-27_1000_S3_6in_locations_event_2023-07-27_S3_S4_89a0fecc.png,written
2023-08-05_S3_S4_0f92146d,S3,1,6,2023-08-05 08:51:00,2023-08-05 11:03:00,2023-08-04 20:51:00,2023-08-06 14:51:00,2.2,18300.0,8318.1818,/Users/gcn/Documents/workspace/biocharWaterConserveWebsite/biochar_app/data-processed/management/irrigation/analysis/figures/event_multilocation/6in/2023-08-05_0851_S3_6in_locations_event_2023-08-05_S3_S4_0f92146d.png,written
2023-08-10_S3_S4_7fce3d7b,S3,1,6,2023-08-10 13:57:00,2023-08-10 19:37:00,2023-08-10 01:57:00,2023-08-11 19:57:00,5.6667,52850.0,9326.4706,/Users/gcn/Documents/workspace/biocharWaterConserveWebsite/biochar_app/data-processed/management/irrigation/analysis/figures/event_multilocation/6in/2023-08-10_1357_S3_6in_locations_event_2023-08-10_S3_S4_7fce3d7b.png,written
2023-08-24_S3_S4_a4b6ae2a,S3,1,6,2023-08-24 13:47:00,2023-08-24 18:16:00,2023-08-24 01:47:00,2023-08-25 19:47:00,4.4833,30125.0,6719.3309,/Users/gcn/Documents/workspace/biocharWaterConserveWebsite/biochar_app/data-processed/management/irrigation/analysis/figures/event_multilocation/6in/2023-08-24_1347_S3_6in_locations_event_2023-08-24_S3_S4_a4b6ae2a.png,written
2023-09-07_S3_S4_ea877a99,S3,1,6,2023-09-07 07:38:00,2023-09-07 18:19:00,2023-09-06 19:38:00,2023-09-08 13:38:00,10.6833,78850.0,7380.6552,/Users/gcn/Documents/workspace/biocharWaterConserveWebsite/biochar_app/data-processed/management/irrigation/analysis/figures/event_multilocation/6in/2023-09-07_0738_S3_6in_locations_event_2023-09-07_S3_S4_ea877a99.png,written
