event_id,strip,depth_index,depth_inches,irrigation_start,irrigation_end,plot_start,plot_end,event_duration_hours,gallons_strip,avg_flow_gph_strip,output_file,status
2024-04-20_S1_S2_5f2fb725,S1,1,6,2024-04-20 10:11:00,2024-04-20 17:54:00,2024-04-19 22:11:00,2024-04-21 16:11:00,7.7167,62950.0,8157.6674,/Users/gcn/Documents/workspace/biocharWaterConserveWebsite/biochar_app/data-processed/management/irrigation/analysis/figures/event_multilocation/6in/2024-04-20_1011_S1_6in_locations_event_2024-04-20_S1_S2_5f2fb725.png,written
2024-05-11_S1_S2_4c1cd284,S1,1,6,2024-05-11 06:55:00,2024-05-11 16:18:00,2024-05-10 18:55:00,2024-05-12 12:55:00,9.3833,66500.0,7087.0337,/Users/gcn/Documents/workspace/biocharWaterConserveWebsite/biochar_app/data-processed/management/irrigation/analysis/figures/event_multilocation/6in/2024-05-11_0655_S1_6in_locations_event_2024-05-11_S1_S2_4c1cd284.png,written
2024-06-01_S1_S2_ef46e32f,S1,1,6,2024-06-01 18:05:00,2024-06-02 07:46:00,2024-06-01 06:05:00,2024-06-03 00:05:00,13.6833,81250.0,5937.8806,/Users/gcn/Documents/workspace/biocharWaterConserveWebsite/biochar_app/data-processed/management/irrigation/analysis/figures/event_multilocation/6in/2024-06-01_1805_S1_6in_locations_event_2024-06-01_S1_S2_ef46e32f.png,written
2024-06-22_S1_S2_e95bd875,S1,1,6,2024-06-22 08:00:00,2024-06-22 15:49:00,2024-06-21 20:00:00,2024-06-23 14:00:00,7.8167,47100.0,6025.5864,/Users/gcn/Documents/workspace/biocharWaterConserveWebsite/biochar_app/data-processed/management/irrigation/analysis/figures/event_multilocation/6in/2024-06-22_0800_S1_6in_locations_event_2024-06-22_S1_S2_e95bd875.png,written
2024-07-20_S1_S2_6d735351,S1,1,6,2024-07-20 08:54:00,2024-07-20 17:43:00,2024-07-19 20:54:00,2024-07-21 14:54:00,8.8167,55550.0,6300.5671,/Users/gcn/Documents/workspace/biocharWaterConserveWebsite/biochar_app/data-processed/management/irrigation/analysis/figures/event_multilocation/6in/2024-07-20_0854_S1_6in_locations_event_2024-07-20_S1_S2_6d735351.png,written
2024-08-10_S1_S2_de427086,S1,1,6,2024-08-10 08:50:00,2024-08-10 20:38:00,2024-08-09 20:50:00,2024-08-11 14:50:00,11.8,84700.0,7177.9661,/Users/gcn/Documents/workspace/biocharWaterConserveWebsite/biochar_app/data-processed/management/irrigation/analysis/figures/event_multilocation/6in/2024-08-10_0850_S1_6in_locations_event_2024-08-10_S1_S2_de427086.png,written
2024-09-07_S1_S2_b15b9a0a,S1,1,6,2024-09-07 08:23:00,2024-09-07 16:16:00,2024-09-06 20:23:00,2024-09-08 14:23:00,7.8833,53000.0,6723.0444,/Users/gcn/Documents/workspace/biocharWaterConserveWebsite/biochar_app/data-processed/management/irrigation/analysis/figures/event_multilocation/6in/2024-09-07_0823_S1_6in_locations_event_2024-09-07_S1_S2_b15b9a0a.png,written
2024-04-20_S1_S2_5f2fb725,S2,1,6,2024-04-20 10:11:00,2024-04-20 17:54:00,2024-04-19 22:11:00,2024-04-21 16:11:00,7.7167,62950.0,8157.6674,/Users/gcn/Documents/workspace/biocharWaterConserveWebsite/biochar_app/data-processed/management/irrigation/analysis/figures/event_multilocation/6in/2024-04-20_1011_S2_6in_locations_event_2024-04-20_S1_S2_5f2fb725.png,written
2024-05-11_S1_S2_4c1cd284,S2,1,6,2024-05-11 06:55:00,2024-05-11 16:18:00,2024-05-10 18:55:00,2024-05-12 12:55:00,9.3833,66500.0,7087.0337,/Users/gcn/Documents/workspace/biocharWaterConserveWebsite/biochar_app/data-processed/management/irrigation/analysis/figures/event_multilocation/6in/2024-05-11_0655_S2_6in_locations_event_2024-05-11_S1_S2_4c1cd284.png,written
2024-06-01_S1_S2_ef46e32f,S2,1,6,2024-06-01 18:05:00,2024-06-02 07:46:00,2024-06-01 06:05:00,2024-06-03 00:05:00,13.6833,81250.0,5937.8806,/Users/gcn/Documents/workspace/biocharWaterConserveWebsite/biochar_app/data-processed/management/irrigation/analysis/figures/event_multilocation/6in/2024-06-01_1805_S2_6in_locations_event_2024-06-01_S1_S2_ef46e32f.png,written
2024-06-22_S1_S2_e95bd875,S2,1,6,2024-06-22 08:00:00,2024-06-22 15:49:00,2024-06-21 20:00:00,2024-06-23 14:00:00,7.8167,47100.0,6025.5864,/Users/gcn/Documents/workspace/biocharWaterConserveWebsite/biochar_app/data-processed/management/irrigation/analysis/figures/event_multilocation/6in/2024-06-22_0800_S2_6in_locations_event_2024-06-22_S1_S2_e95bd875.png,written
2024-07-20_S1_S2_6d735351,S2,1,6,2024-07-20 08:54:00,2024-07-20 17:43:00,2024-07-19 20:54:00,2024-07-21 14:54:00,8.8167,55550.0,6300.5671,/Users/gcn/Documents/workspace/biocharWaterConserveWebsite/biochar_app/data-processed/management/irrigation/analysis/figures/event_multilocation/6in/2024-07-20_0854_S2_6in_locations_event_2024-07-20_S1_S2_6d735351.png,written
2024-08-10_S1_S2_de427086,S2,1,6,2024-08-10 08:50:00,2024-08-10 20:38:00,2024-08-09 20:50:00,2024-08-11 14:50:00,11.8,84700.0,7177.9661,/Users/gcn/Documents/workspace/biocharWaterConserveWebsite/biochar_app/data-processed/management/irrigation/analysis/figures/event_multilocation/6in/2024-08-10_0850_S2_6in_locations_event_2024-08-10_S1_S2_de427086.png,written
2024-09-07_S1_S2_b15b9a0a,S2,1,6,2024-09-07 08:23:00,2024-09-07 16:16:00,2024-09-06 20:23:00,2024-09-08 14:23:00,7.8833,53000.0,6723.0444,/Users/gcn/Documents/workspace/biocharWaterConserveWebsite/biochar_app/data-processed/management/irrigation/analysis/figures/event_multilocation/6in/2024-09-07_0823_S2_6in_locations_event_2024-09-07_S1_S2_b15b9a0a.png,written
2024-04-19_S3_S4_c5bf8374,S3,1,6,2024-04-19 14:14:00,2024-04-19 21:33:00,2024-04-19 02:14:00,2024-04-20 20:14:00,7.3167,54875.0,7500.0,/Users/gcn/Documents/workspace/biocharWaterConserveWebsite/biochar_app/data-processed/management/irrigation/analysis/figures/event_multilocation/6in/2024-04-19_1414_S3_6in_locations_event_2024-04-19_S3_S4_c5bf8374.png,written
2024-05-03_S3_S4_13e4749a,S3,1,6,2024-05-03 08:37:00,2024-05-03 15:28:00,2024-05-02 20:37:00,2024-05-04 14:37:00,6.85,44600.0,6510.9489,/Users/gcn/Documents/workspace/biocharWaterConserveWebsite/biochar_app/data-processed/management/irrigation/analysis/figures/event_multilocation/6in/2024-05-03_0837_S3_6in_locations_event_2024-05-03_S3_S4_13e4749a.png,written
2024-05-17_S3_S4_09c73fc7,S3,1,6,2024-05-17 13:31:00,2024-05-17 19:09:00,2024-05-17 01:31:00,2024-05-18 19:31:00,5.6333,47550.0,8440.8284,/Users/gcn/Documents/workspace/biocharWaterConserveWebsite/biochar_app/data-processed/management/irrigation/analysis/figures/event_multilocation/6in/2024-05-17_1331_S3_6in_locations_event_2024-05-17_S3_S4_09c73fc7.png,written
