event_id,strip,logger_position,irrigation_start,irrigation_end,plot_start,plot_end,event_duration_hours,gallons_strip,avg_flow_gph_strip,workbook_start_flow_gpm,workbook_end_flow_gpm,calculated_avg_flow_gpm_group,flow_rate_comparison_status,output_file,status,logger_position_requested
2025-04-20_S1_S2_f3457ada,S1,T,2025-04-20 08:15:00,2025-04-21 06:28:00,2025-04-19 20:15:00,2025-04-21 14:15:00,22.22,132300.0,5955.0,,,198.5,insufficient_data,/Users/gcn/Documents/workspace/biocharWaterConserveWebsite/biochar_app/data-processed/management/irrigation/analysis/figures/event_multidepth/T/2025-04-20_0815_S1_T_event_2025-04-20_S1_S2_f3457ada.png,written,T
2025-05-16_S1_S2_799859ac,S1,T,2025-05-16 15:36:41,2025-05-17 07:37:42,2025-05-16 03:36:41,2025-05-17 21:36:41,16.02,92450.0,5772.0,,,192.4,insufficient_data,/Users/gcn/Documents/workspace/biocharWaterConserveWebsite/biochar_app/data-processed/management/irrigation/analysis/figures/event_multidepth/T/2025-05-16_1536_S1_T_event_2025-05-16_S1_S2_799859ac.png,written,T
2025-05-28_S1_S2_ca363c43,S1,T,2025-05-28 18:58:00,2025-05-29 07:30:00,2025-05-28 06:58:00,2025-05-30 00:58:00,12.53,64250.0,5126.3,,,170.9,insufficient_data,/Users/gcn/Documents/workspace/biocharWaterConserveWebsite/biochar_app/data-processed/management/irrigation/analysis/figures/event_multidepth/T/2025-05-28_1858_S1_T_event_2025-05-28_S1_S2_ca363c43.png,written,T
2025-06-27_S1_S2_ff537961,S1,T,2025-06-27 15:33:00,2025-06-28 07:49:00,2025-06-27 03:33:00,2025-06-28 21:33:00,16.27,95500.0,5870.9,,,195.7,insufficient_data,/Users/gcn/Documents/workspace/biocharWaterConserveWebsite/biochar_app/data-processed/management/irrigation/analysis/figures/event_multidepth/T/2025-06-27_1533_S1_T_event_2025-06-27_S1_S2_ff537961.png,written,T
2025-07-26_S1_S2_98e2053f,S1,T,2025-07-26 08:45:00,2025-07-26 17:50:00,2025-07-25 20:45:00,2025-07-27 14:45:00,9.08,53225.0,5859.6,,,195.3,insufficient_data,/Users/gcn/Documents/workspace/biocharWaterConserveWebsite/biochar_app/data-processed/management/irrigation/analysis/figures/event_multidepth/T/2025-07-26_0845_S1_T_event_2025-07-26_S1_S2_98e2053f.png,written,T
2025-08-22_S1_S2_9f8675d7,S1,T,2025-08-22 09:07:00,2025-08-22 19:04:00,2025-08-21 21:07:00,2025-08-23 15:07:00,9.95,30625.0,3077.9,,,102.6,insufficient_data,/Users/gcn/Documents/workspace/biocharWaterConserveWebsite/biochar_app/data-processed/management/irrigation/analysis/figures/event_multidepth/T/2025-08-22_0907_S1_T_event_2025-08-22_S1_S2_9f8675d7.png,written,T
2025-09-20_S1_S2_81d8ab0f,S1,T,2025-09-20 10:42:00,2025-09-20 17:31:00,2025-09-19 22:42:00,2025-09-21 16:42:00,6.82,86100.0,12630.8,,,421.0,insufficient_data,/Users/gcn/Documents/workspace/biocharWaterConserveWebsite/biochar_app/data-processed/management/irrigation/analysis/figures/event_multidepth/T/2025-09-20_1042_S1_T_event_2025-09-20_S1_S2_81d8ab0f.png,written,T
2025-04-20_S1_S2_f3457ada,S2,T,2025-04-20 08:15:00,2025-04-21 06:28:00,2025-04-19 20:15:00,2025-04-21 14:15:00,22.22,132300.0,5955.0,,,198.5,insufficient_data,/Users/gcn/Documents/workspace/biocharWaterConserveWebsite/biochar_app/data-processed/management/irrigation/analysis/figures/event_multidepth/T/2025-04-20_0815_S2_T_event_2025-04-20_S1_S2_f3457ada.png,written,T
2025-05-16_S1_S2_799859ac,S2,T,2025-05-16 15:36:41,2025-05-17 07:37:42,2025-05-16 03:36:41,2025-05-17 21:36:41,16.02,92450.0,5772.0,,,192.4,insufficient_data,/Users/gcn/Documents/workspace/biocharWaterConserveWebsite/biochar_app/data-processed/management/irrigation/analysis/figures/event_multidepth/T/2025-05-16_1536_S2_T_event_2025-05-16_S1_S2_799859ac.png,written,T
2025-05-28_S1_S2_ca363c43,S2,T,2025-05-28 18:58:00,2025-05-29 07:30:00,2025-05-28 06:58:00,2025-05-30 00:58:00,12.53,64250.0,5126.3,,,170.9,insufficient_data,/Users/gcn/Documents/workspace/biocharWaterConserveWebsite/biochar_app/data-processed/management/irrigation/analysis/figures/event_multidepth/T/2025-05-28_1858_S2_T_event_2025-05-28_S1_S2_ca363c43.png,written,T
