year,strip_group,location,strip,event_id,irrigation_start,irrigation_end,n_trustworthy_depths,mean_gallons_strip,mean_event_storage_gal,mean_event_storage_in,mean_profile_area_sqft,mean_bottom_response_delay_hr,mean_time_to_peak_hours,mean_time_to_plateau_hours,mean_event_duration_hours,estimated_surplus_gal_strip,estimated_surplus_fraction
2023,S3_S4,east,S4,2023-05-24_S3_S4_31cada45,2023-05-24 09:25:00,2023-05-24 13:19:00,2,73300.0,2822.1452,0.5688,4293.3333,21.3333,21.3333,21.5833,3.9,70477.8548,0.9615
2023,S3_S4,east,S4,2023-06-02_S3_S4_e824e1bc,2023-06-02 15:43:00,2023-06-02 22:12:00,2,33750.0,0.0,,4293.3333,13.4083,13.4083,,6.4833,33750.0,1.0
2023,S3_S4,east,S4,2023-06-14_S3_S4_71ac748b,2023-06-14 08:25:00,2023-06-14 17:29:00,3,64100.0,4226.4331,0.8196,4293.3333,18.0,18.0,23.1666,9.0667,59873.5669,0.9341
2023,S3_S4,east,S4,2023-07-17_S3_S4_a04fe807,2023-07-17 19:19:00,2023-07-18 05:53:00,2,80450.0,5178.4425,0.9892,4293.3333,18.8083,18.8083,20.9333,10.5667,75271.5575,0.9356
2023,S3_S4,east,S4,2023-08-10_S3_S4_7fce3d7b,2023-08-10 13:57:00,2023-08-10 19:37:00,3,52850.0,5860.5137,1.2596,4293.3333,19.55,19.55,22.8,5.6667,46989.4863,0.8891
2024,S3_S4,east,S4,2024-06-28_S3_S4_14b9d993,2024-06-28 08:19:00,2024-06-28 14:44:00,3,39650.0,2262.2766,0.3413,4293.3333,4.6833,4.6833,12.9333,6.4167,37387.7234,0.9429
2024,S3_S4,east,S4,2024-07-26_S3_S4_fd133a4c,2024-07-26 19:02:00,2024-07-27 07:21:00,2,71850.0,4053.4062,0.8976,4293.3333,21.4667,21.4667,22.0917,12.3167,67796.5938,0.9436
2024,S3_S4,east,S4,2024-08-09_S3_S4_fd100e26,2024-08-09 08:45:00,2024-08-09 15:50:00,2,46900.0,2654.016,0.5796,4293.3333,16.375,16.375,22.625,7.0833,44245.984,0.9434
2024,S3_S4,east,S4,2024-08-23_S3_S4_0b64e5f5,2024-08-23 09:32:00,2024-08-23 15:04:00,2,30150.0,3034.6752,0.6627,4293.3333,18.9667,18.9667,21.9667,5.5333,27115.3248,0.8993
2024,S3_S4,east,S4,2024-09-06_S3_S4_9e0ce675,2024-09-06 09:33:00,2024-09-06 16:29:00,2,48950.0,2187.7667,0.5392,4293.3333,5.95,5.95,9.95,6.9333,46762.2333,0.9553
2024,S3_S4,east,S4,2024-09-20_S3_S4_032d9e33,2024-09-20 14:27:00,2024-09-20 17:52:00,2,16450.0,74.3494,0.0556,4293.3333,8.675,8.675,8.3,3.4167,16375.6506,0.9955
2024,S3_S4,east,S4,2024-10-04_S3_S4_bf53dc9a,2024-10-04 11:55:00,2024-10-04 18:02:00,3,47200.0,2583.1994,0.4513,4293.3333,5.25,5.25,14.75,6.1167,44616.8006,0.9453
