year,strip_group,location,strip,event_id,sensor_col,depth_index,depth_inches,logger_position,irrigation_start,irrigation_end,gallons_group,gallons_strip,event_duration_hours,avg_flow_gph_strip,baseline_vwc,peak_vwc,peak_increase,plateau_vwc,plateau_method,bottom_response_delay_hr,time_to_peak_hours,time_to_plateau_hours,lag_after_irrigation_hr,profile_baseline_storage_gal,profile_plateau_storage_gal,event_storage_gal,efficiency_strip,estimated_loss_gal_strip
2026.0000,S1_S2,west,S1,2026-04-21_S1_S2_bbe65f90,VWC_1_raw_S1_B,1,6.0000,B,2026-04-21 14:54:00,2026-04-22 08:52:00,221700.0000,110850.0000,17.9700,6169.7600,14.7300,34.7300,20.0000,29.7000,flat_segment,13.3500,13.3500,27.6000,9.6300,6372.1300,13691.9300,7319.8000,0.0700,103530.2000
2026.0000,S1_S2,west,S1,2026-04-21_S1_S2_bbe65f90,VWC_2_raw_S1_B,2,12.0000,B,2026-04-21 14:54:00,2026-04-22 08:52:00,221700.0000,110850.0000,17.9700,6169.7600,13.0300,37.2600,24.2300,32.6300,flat_segment,17.3500,17.3500,31.1000,13.1300,6372.1300,13691.9300,7319.8000,0.0700,103530.2000
2026.0000,S1_S2,west,S1,2026-04-21_S1_S2_bbe65f90,VWC_3_raw_S1_B,3,18.0000,B,2026-04-21 14:54:00,2026-04-22 08:52:00,221700.0000,110850.0000,17.9700,6169.7600,11.9200,28.6800,16.7500,22.9400,flat_segment,20.3500,20.3500,29.3500,11.3800,6372.1300,13691.9300,7319.8000,0.0700,103530.2000
2026.0000,S1_S2,west,S1,2026-05-20_S1_S2_49743b7c,VWC_1_raw_S1_B,1,6.0000,B,2026-05-20 11:23:00,2026-05-20 17:53:00,108800.0000,54400.0000,6.5000,8369.2300,17.0500,32.1500,15.1000,30.4300,flat_segment,11.3700,11.3700,19.1200,12.6200,7673.4800,13042.3700,5368.8900,0.1000,49031.1100
2026.0000,S1_S2,west,S1,2026-05-20_S1_S2_49743b7c,VWC_2_raw_S1_B,2,12.0000,B,2026-05-20 11:23:00,2026-05-20 17:53:00,108800.0000,54400.0000,6.5000,8369.2300,17.5000,32.6100,15.1100,32.5100,flat_segment,15.6200,15.6200,15.8700,9.3700,7673.4800,13042.3700,5368.8900,0.1000,49031.1100
2026.0000,S1_S2,west,S1,2026-05-20_S1_S2_49743b7c,VWC_3_raw_S1_B,3,18.0000,B,2026-05-20 11:23:00,2026-05-20 17:53:00,108800.0000,54400.0000,6.5000,8369.2300,13.2400,18.3300,5.0900,18.2700,flat_segment,23.1200,23.1200,23.3700,16.8700,7673.4800,13042.3700,5368.8900,0.1000,49031.1100
2026.0000,S1_S2,west,S2,2026-04-21_S1_S2_bbe65f90,VWC_1_raw_S2_B,1,6.0000,B,2026-04-21 14:54:00,2026-04-22 08:52:00,221700.0000,110850.0000,17.9700,6169.7600,9.7400,41.8200,32.0800,34.4100,fallback_window,20.3500,20.3500,24.3500,6.3800,4401.8700,16901.8000,12499.9300,0.1100,98350.0700
2026.0000,S1_S2,west,S2,2026-04-21_S1_S2_bbe65f90,VWC_2_raw_S2_B,2,12.0000,B,2026-04-21 14:54:00,2026-04-22 08:52:00,221700.0000,110850.0000,17.9700,6169.7600,9.1600,37.0100,27.8500,34.5700,fallback_window,20.1000,20.1000,24.1000,6.1300,4401.8700,16901.8000,12499.9300,0.1100,98350.0700
2026.0000,S1_S2,west,S2,2026-04-21_S1_S2_bbe65f90,VWC_3_raw_S2_B,3,18.0000,B,2026-04-21 14:54:00,2026-04-22 08:52:00,221700.0000,110850.0000,17.9700,6169.7600,8.5200,40.2100,31.6900,36.2700,fallback_window,20.1000,20.1000,24.1000,6.1300,4401.8700,16901.8000,12499.9300,0.1100,98350.0700
2026.0000,S1_S2,west,S2,2026-05-20_S1_S2_49743b7c,VWC_1_raw_S2_B,1,6.0000,B,2026-05-20 11:23:00,2026-05-20 17:53:00,108800.0000,54400.0000,6.5000,8369.2300,10.1600,40.9500,30.7900,34.1400,fallback_window,8.1200,8.1200,12.1200,5.6200,6435.4000,15966.3300,9530.9300,0.1800,44869.0700
2026.0000,S1_S2,west,S2,2026-05-20_S1_S2_49743b7c,VWC_2_raw_S2_B,2,12.0000,B,2026-05-20 11:23:00,2026-05-20 17:53:00,108800.0000,54400.0000,6.5000,8369.2300,12.4300,34.7700,22.3300,30.1700,flat_segment,8.1200,8.1200,21.6200,15.1200,6435.4000,15966.3300,9530.9300,0.1800,44869.0700
2026.0000,S1_S2,west,S2,2026-05-20_S1_S2_49743b7c,VWC_3_raw_S2_B,3,18.0000,B,2026-05-20 11:23:00,2026-05-20 17:53:00,108800.0000,54400.0000,6.5000,8369.2300,17.4800,39.4300,21.9500,35.1200,fallback_window,8.3700,8.3700,12.3700,5.8700,6435.4000,15966.3300,9530.9300,0.1800,44869.0700
2026.0000,S3_S4,east,S3,2026-04-21_S3_S4_18bfec4f,VWC_1_raw_S3_B,1,6.0000,B,2026-04-21 14:54:00,2026-04-22 08:52:00,221700.0000,110850.0000,17.9700,6169.7600,34.0800,34.6100,0.5300,34.5900,flat_segment,15.8500,15.8500,16.1000,-1.8700,13762.1000,15021.8700,1259.7600,0.0100,109590.2400
2026.0000,S3_S4,east,S3,2026-04-21_S3_S4_18bfec4f,VWC_2_raw_S3_B,2,12.0000,B,2026-04-21 14:54:00,2026-04-22 08:52:00,221700.0000,110850.0000,17.9700,6169.7600,24.8800,32.8000,7.9200,29.7000,flat_segment,15.8500,15.8500,27.8500,9.8800,13762.1000,15021.8700,1259.7600,0.0100,109590.2400
2026.0000,S3_S4,east,S3,2026-04-21_S3_S4_18bfec4f,VWC_3_raw_S3_B,3,18.0000,B,2026-04-21 14:54:00,2026-04-22 08:52:00,221700.0000,110850.0000,17.9700,6169.7600,26.7300,29.2800,2.5400,29.2500,flat_segment,2.8500,2.8500,3.1000,-14.8700,13762.1000,15021.8700,1259.7600,0.0100,109590.2400
