year,strip_group,location,strip,event_id,sensor_col,depth_index,depth_inches,logger_position,irrigation_start,irrigation_end,gallons_group,gallons_strip,event_duration_hours,avg_flow_gph_strip,baseline_vwc,peak_vwc,peak_increase,plateau_vwc,plateau_method,bottom_response_delay_hr,time_to_peak_hours,time_to_plateau_hours,lag_after_irrigation_hr,profile_baseline_storage_gal,profile_plateau_storage_gal,event_storage_gal,efficiency_strip,estimated_loss_gal_strip
2023.0000,S1_S2,west,S1,2023-08-24_S1_S2_6cc99259,VWC_2_raw_S1_B,2,12.0000,B,2023-08-24 13:47:00,2023-08-24 18:16:00,60250.0000,30125.0000,4.4800,6719.3300,33.4100,33.8000,0.3900,,no_peak,7.4700,7.4700,,,15870.8600,3832.6900,-302.7000,-0.0100,30427.7000
2023.0000,S1_S2,west,S1,2023-08-24_S1_S2_6cc99259,VWC_3_raw_S1_B,3,18.0000,B,2023-08-24 13:47:00,2023-08-24 18:16:00,60250.0000,30125.0000,4.4800,6719.3300,39.6700,39.8600,0.1900,,no_peak,4.4700,4.4700,,,15870.8600,3832.6900,-302.7000,-0.0100,30427.7000
2023.0000,S1_S2,west,S1,2023-09-21_S1_S2_6dbb0789,VWC_1_raw_S1_B,1,6.0000,B,2023-09-21 09:07:00,2023-09-21 16:09:00,75300.0000,37650.0000,7.0300,5353.0800,21.6300,21.8900,0.2600,,no_peak,4.6300,4.6300,,,12802.0600,9622.8700,294.5900,0.0100,37355.4100
2023.0000,S1_S2,west,S1,2023-09-21_S1_S2_6dbb0789,VWC_2_raw_S1_B,2,12.0000,B,2023-09-21 09:07:00,2023-09-21 16:09:00,75300.0000,37650.0000,7.0300,5353.0800,25.6800,26.5600,0.8700,26.4600,flat_segment,16.1300,16.1300,16.3800,9.3500,12802.0600,9622.8700,294.5900,0.0100,37355.4100
2023.0000,S1_S2,west,S1,2023-09-21_S1_S2_6dbb0789,VWC_3_raw_S1_B,3,18.0000,B,2023-09-21 09:07:00,2023-09-21 16:09:00,75300.0000,37650.0000,7.0300,5353.0800,32.4100,33.3300,0.9300,33.4700,flat_segment,23.8800,23.8800,26.1300,19.1000,12802.0600,9622.8700,294.5900,0.0100,37355.4100
2023.0000,S1_S2,west,S2,2023-05-23_S1_S2_176caf9a,VWC_1_raw_S2_B,1,6.0000,B,2023-05-23 15:25:00,2023-05-23 19:19:00,145000.0000,72500.0000,3.9000,18589.7400,8.8900,39.2600,30.3700,34.3400,flat_segment,5.5800,5.5800,17.0800,13.1800,3638.7000,16314.4700,12675.7700,0.1700,59824.2300
2023.0000,S1_S2,west,S2,2023-05-23_S1_S2_176caf9a,VWC_2_raw_S2_B,2,12.0000,B,2023-05-23 15:25:00,2023-05-23 19:19:00,145000.0000,72500.0000,3.9000,18589.7400,7.6000,36.3000,28.7000,33.2400,flat_segment,6.0800,6.0800,13.0800,9.1800,3638.7000,16314.4700,12675.7700,0.1700,59824.2300
2023.0000,S1_S2,west,S2,2023-05-23_S1_S2_176caf9a,VWC_3_raw_S2_B,3,18.0000,B,2023-05-23 15:25:00,2023-05-23 19:19:00,145000.0000,72500.0000,3.9000,18589.7400,6.1700,35.9400,29.7700,34.0200,fallback_window,5.5800,5.5800,9.5800,5.6800,3638.7000,16314.4700,12675.7700,0.1700,59824.2300
2023.0000,S1_S2,west,S2,2023-06-01_S1_S2_28dbbfca,VWC_1_raw_S2_B,1,6.0000,B,2023-06-01 12:16:00,2023-06-01 18:45:00,67300.0000,33650.0000,6.4800,5190.2300,24.2800,35.6900,11.4100,32.8500,flat_segment,7.7300,7.7300,13.9800,7.5000,12210.1600,15969.1400,3758.9800,0.1100,29891.0200
2023.0000,S1_S2,west,S2,2023-06-01_S1_S2_28dbbfca,VWC_2_raw_S2_B,2,12.0000,B,2023-06-01 12:16:00,2023-06-01 18:45:00,67300.0000,33650.0000,6.4800,5190.2300,25.9400,34.0500,8.1100,31.4600,flat_segment,7.9800,7.9800,12.7300,6.2500,12210.1600,15969.1400,3758.9800,0.1100,29891.0200
