year,strip,depth_inches,n_events,rec_runtime_hours,rec_runtime_minutes,rec_runtime_is_trustworthy,actual_runtime_hours,actual_runtime_minutes,source_time_col,summary_stat,median_avg_flow_gph_strip,median_lag_after_irrigation_hr
2024.0000,S1,6.0000,7.0000,19.4167,1165.0020,True,8.8167,529.0020,time_to_plateau_hours,median,6723.0444,10.2333
2024.0000,S1,12.0000,6.0000,16.9834,1019.0010,True,8.8167,529.0020,time_to_plateau_hours,median,6723.0444,8.4833
2024.0000,S1,18.0000,6.0000,18.7584,1125.5010,True,8.8167,529.0020,time_to_plateau_hours,median,6723.0444,8.4500
2024.0000,S2,6.0000,6.0000,17.0417,1022.5020,True,8.8167,529.0020,time_to_plateau_hours,median,6723.0444,6.6333
2024.0000,S2,12.0000,6.0000,18.4917,1109.5020,True,8.8167,529.0020,time_to_plateau_hours,median,6723.0444,8.7333
2024.0000,S2,18.0000,6.0000,17.8834,1073.0010,True,8.8167,529.0020,time_to_plateau_hours,median,6723.0444,6.7333
2024.0000,S3,6.0000,14.0000,13.2667,795.9990,True,7.0083,420.4980,time_to_plateau_hours,median,6501.0730,8.2083
2024.0000,S3,12.0000,14.0000,13.6583,819.4980,True,7.0083,420.4980,time_to_plateau_hours,median,6501.0730,7.1500
2024.0000,S3,18.0000,14.0000,9.7166,582.9990,True,7.0083,420.4980,time_to_plateau_hours,median,6501.0730,2.5667
2024.0000,S4,6.0000,9.0000,16.7333,1003.9980,True,7.0083,420.4980,time_to_plateau_hours,median,6501.0730,9.6500
2024.0000,S4,12.0000,10.0000,14.4583,867.4980,True,7.0083,420.4980,time_to_plateau_hours,median,6501.0730,8.3500
2024.0000,S4,18.0000,6.0000,12.9083,774.4980,True,7.0083,420.4980,time_to_plateau_hours,median,6501.0730,7.0334
