year,strip,sensor_col,depth_index,depth_inches,n_events,mean_value,sd_value,raw_target_value,quantile_cap,target_value,target_is_trustworthy,source_value_col,k_std
2026.0000,S1,VWC_1_raw_S1_B,1,6.0000,2.0000,30.0640,0.5211,30.3246,30.3956,30.3246,False,plateau_vwc,0.5000
2026.0000,S1,VWC_2_raw_S1_B,2,12.0000,2.0000,32.5722,0.0838,32.6141,32.6256,32.6141,False,plateau_vwc,0.5000
2026.0000,S1,VWC_3_raw_S1_B,3,18.0000,2.0000,20.6058,3.2976,22.2545,22.7043,22.2545,False,plateau_vwc,0.5000
2026.0000,S2,VWC_1_raw_S2_B,1,6.0000,2.0000,34.2735,0.1881,34.3675,34.3932,34.3675,False,plateau_vwc,0.5000
2026.0000,S2,VWC_2_raw_S2_B,2,12.0000,2.0000,32.3720,3.1127,33.9283,34.3529,33.9283,False,plateau_vwc,0.5000
2026.0000,S2,VWC_3_raw_S2_B,3,18.0000,2.0000,35.6953,0.8185,36.1045,36.2161,36.1045,False,plateau_vwc,0.5000
2026.0000,S3,VWC_1_raw_S3_B,1,6.0000,2.0000,34.8487,0.3631,35.0303,35.0798,35.0303,False,plateau_vwc,0.5000
2026.0000,S3,VWC_2_raw_S3_B,2,12.0000,2.0000,30.0942,0.5526,30.3706,30.4459,30.3706,False,plateau_vwc,0.5000
2026.0000,S3,VWC_3_raw_S3_B,3,18.0000,2.0000,30.2557,1.4209,30.9662,31.1600,30.9662,False,plateau_vwc,0.5000
2026.0000,S4,VWC_1_raw_S4_B,1,6.0000,2.0000,43.0260,5.3394,45.6957,46.4239,45.6957,False,plateau_vwc,0.5000
2026.0000,S4,VWC_2_raw_S4_B,2,12.0000,2.0000,36.4162,0.8842,36.8584,36.9790,36.8584,False,plateau_vwc,0.5000
2026.0000,S4,VWC_3_raw_S4_B,3,18.0000,2.0000,43.3625,1.7359,44.2305,44.4672,44.2305,False,plateau_vwc,0.5000
