event_id,strip,logger_position,irrigation_start,irrigation_end,plot_start,plot_end,event_duration_hours,gallons_strip,avg_flow_gph_strip,output_file,status
2023-05-23_S1_S2_176caf9a,S1,B,2023-05-23 15:25:00,2023-05-23 19:19:00,2023-05-23 11:25:00,2023-05-25 03:25:00,3.9,72500.0,18589.7,/Users/gcn/Documents/workspace/biocharWaterConserveWebsite/biochar_app/data-processed/management/irrigation/irrigation_event_multidepth_plots/2023-05-23_1525_S1_B_event_2023-05-23_S1_S2_176caf9a.png,written
2023-06-01_S1_S2_28dbbfca,S1,B,2023-06-01 12:16:00,2023-06-01 18:45:00,2023-06-01 08:16:00,2023-06-03 00:16:00,6.48,33650.0,5190.2,/Users/gcn/Documents/workspace/biocharWaterConserveWebsite/biochar_app/data-processed/management/irrigation/irrigation_event_multidepth_plots/2023-06-01_1216_S1_B_event_2023-06-01_S1_S2_28dbbfca.png,written
2023-06-26_S1_S2_69e5d9b6,S1,B,2023-06-26 09:31:00,2023-06-26 16:02:00,2023-06-26 05:31:00,2023-06-27 21:31:00,6.52,44700.0,6859.3,/Users/gcn/Documents/workspace/biocharWaterConserveWebsite/biochar_app/data-processed/management/irrigation/irrigation_event_multidepth_plots/2023-06-26_0931_S1_B_event_2023-06-26_S1_S2_69e5d9b6.png,written
2023-07-17_S1_S2_ae0a89b4,S1,B,2023-07-17 08:04:00,2023-07-17 16:04:00,2023-07-17 04:04:00,2023-07-18 20:04:00,8.0,60450.0,7556.2,/Users/gcn/Documents/workspace/biocharWaterConserveWebsite/biochar_app/data-processed/management/irrigation/irrigation_event_multidepth_plots/2023-07-17_0804_S1_B_event_2023-07-17_S1_S2_ae0a89b4.png,written
2023-08-05_S1_S2_efaa9d14,S1,B,2023-08-05 08:48:00,2023-08-05 14:56:00,2023-08-05 04:48:00,2023-08-06 20:48:00,6.13,49250.0,8029.9,/Users/gcn/Documents/workspace/biocharWaterConserveWebsite/biochar_app/data-processed/management/irrigation/irrigation_event_multidepth_plots/2023-08-05_0848_S1_B_event_2023-08-05_S1_S2_efaa9d14.png,written
2023-08-24_S1_S2_6cc99259,S1,B,2023-08-24 13:47:00,2023-08-24 18:16:00,2023-08-24 09:47:00,2023-08-26 01:47:00,4.48,30125.0,6719.3,/Users/gcn/Documents/workspace/biocharWaterConserveWebsite/biochar_app/data-processed/management/irrigation/irrigation_event_multidepth_plots/2023-08-24_1347_S1_B_event_2023-08-24_S1_S2_6cc99259.png,written
2023-09-21_S1_S2_6dbb0789,S1,B,2023-09-21 09:07:00,2023-09-21 16:09:00,2023-09-21 05:07:00,2023-09-22 21:07:00,7.03,37650.0,5353.1,/Users/gcn/Documents/workspace/biocharWaterConserveWebsite/biochar_app/data-processed/management/irrigation/irrigation_event_multidepth_plots/2023-09-21_0907_S1_B_event_2023-09-21_S1_S2_6dbb0789.png,written
2023-05-23_S1_S2_176caf9a,S2,B,2023-05-23 15:25:00,2023-05-23 19:19:00,2023-05-23 11:25:00,2023-05-25 03:25:00,3.9,72500.0,18589.7,/Users/gcn/Documents/workspace/biocharWaterConserveWebsite/biochar_app/data-processed/management/irrigation/irrigation_event_multidepth_plots/2023-05-23_1525_S2_B_event_2023-05-23_S1_S2_176caf9a.png,written
2023-06-01_S1_S2_28dbbfca,S2,B,2023-06-01 12:16:00,2023-06-01 18:45:00,2023-06-01 08:16:00,2023-06-03 00:16:00,6.48,33650.0,5190.2,/Users/gcn/Documents/workspace/biocharWaterConserveWebsite/biochar_app/data-processed/management/irrigation/irrigation_event_multidepth_plots/2023-06-01_1216_S2_B_event_2023-06-01_S1_S2_28dbbfca.png,written
2023-06-26_S1_S2_69e5d9b6,S2,B,2023-06-26 09:31:00,2023-06-26 16:02:00,2023-06-26 05:31:00,2023-06-27 21:31:00,6.52,44700.0,6859.3,/Users/gcn/Documents/workspace/biocharWaterConserveWebsite/biochar_app/data-processed/management/irrigation/irrigation_event_multidepth_plots/2023-06-26_0931_S2_B_event_2023-06-26_S1_S2_69e5d9b6.png,written
