event_id,strip,logger_position,irrigation_start,irrigation_end,plot_start,plot_end,event_duration_hours,gallons_strip,avg_flow_gph_strip,output_file,status
2025-05-28_S3_S4_120d46ab,S3,B,2025-05-28 18:58:00,2025-05-29 07:30:00,2025-05-28 14:58:00,2025-05-30 06:58:00,12.53,64250.0,5126.3,/Users/gcn/Documents/workspace/biocharWaterConserveWebsite/biochar_app/data-processed/management/irrigation/irrigation_event_multidepth_plots/2025-05-28_1858_S3_B_event_2025-05-28_S3_S4_120d46ab.png,written
2025-06-13_S3_S4_29345c78,S3,B,2025-06-13 10:49:00,2025-06-13 19:16:00,2025-06-13 06:49:00,2025-06-14 22:49:00,8.45,56900.0,6733.7,/Users/gcn/Documents/workspace/biocharWaterConserveWebsite/biochar_app/data-processed/management/irrigation/irrigation_event_multidepth_plots/2025-06-13_1049_S3_B_event_2025-06-13_S3_S4_29345c78.png,written
2025-06-28_S3_S4_d9252a87,S3,B,2025-06-28 08:50:00,2025-06-28 16:15:00,2025-06-28 04:50:00,2025-06-29 20:50:00,7.42,43550.0,5871.9,/Users/gcn/Documents/workspace/biocharWaterConserveWebsite/biochar_app/data-processed/management/irrigation/irrigation_event_multidepth_plots/2025-06-28_0850_S3_B_event_2025-06-28_S3_S4_d9252a87.png,written
2025-07-11_S3_S4_e179d57e,S3,B,2025-07-11 08:30:00,2025-07-11 18:12:00,2025-07-11 04:30:00,2025-07-12 20:30:00,9.7,46400.0,4783.5,/Users/gcn/Documents/workspace/biocharWaterConserveWebsite/biochar_app/data-processed/management/irrigation/irrigation_event_multidepth_plots/2025-07-11_0830_S3_B_event_2025-07-11_S3_S4_e179d57e.png,written
2025-07-26_S3_S4_b4053dcf,S3,B,2025-07-26 08:45:00,2025-07-26 17:50:00,2025-07-26 04:45:00,2025-07-27 20:45:00,9.08,53225.0,5859.6,/Users/gcn/Documents/workspace/biocharWaterConserveWebsite/biochar_app/data-processed/management/irrigation/irrigation_event_multidepth_plots/2025-07-26_0845_S3_B_event_2025-07-26_S3_S4_b4053dcf.png,written
2025-08-08_S3_S4_7c793582,S3,B,2025-08-08 13:14:00,2025-08-08 19:28:00,2025-08-08 09:14:00,2025-08-10 01:14:00,6.23,38750.0,6216.6,/Users/gcn/Documents/workspace/biocharWaterConserveWebsite/biochar_app/data-processed/management/irrigation/irrigation_event_multidepth_plots/2025-08-08_1314_S3_B_event_2025-08-08_S3_S4_7c793582.png,written
2025-08-22_S3_S4_1b405e4b,S3,B,2025-08-22 09:07:00,2025-08-22 19:04:00,2025-08-22 05:07:00,2025-08-23 21:07:00,9.95,30625.0,3077.9,/Users/gcn/Documents/workspace/biocharWaterConserveWebsite/biochar_app/data-processed/management/irrigation/irrigation_event_multidepth_plots/2025-08-22_0907_S3_B_event_2025-08-22_S3_S4_1b405e4b.png,written
2025-09-20_S3_S4_f86ee2c5,S3,B,2025-09-20 10:42:00,2025-09-20 17:31:00,2025-09-20 06:42:00,2025-09-21 22:42:00,6.82,86100.0,12630.8,/Users/gcn/Documents/workspace/biocharWaterConserveWebsite/biochar_app/data-processed/management/irrigation/irrigation_event_multidepth_plots/2025-09-20_1042_S3_B_event_2025-09-20_S3_S4_f86ee2c5.png,written
2025-10-04_S3_S4_4439230e,S3,B,2025-10-04 10:12:00,2025-10-04 17:06:00,2025-10-04 06:12:00,2025-10-05 22:12:00,6.9,51800.0,7507.2,/Users/gcn/Documents/workspace/biocharWaterConserveWebsite/biochar_app/data-processed/management/irrigation/irrigation_event_multidepth_plots/2025-10-04_1012_S3_B_event_2025-10-04_S3_S4_4439230e.png,written
2025-04-20_S3_S4_ead0e049,S4,B,2025-04-20 08:15:00,2025-04-21 06:28:00,2025-04-20 04:15:00,2025-04-21 20:15:00,22.22,132300.0,5955.0,/Users/gcn/Documents/workspace/biocharWaterConserveWebsite/biochar_app/data-processed/management/irrigation/irrigation_event_multidepth_plots/2025-04-20_0815_S4_B_event_2025-04-20_S3_S4_ead0e049.png,written
2025-05-02_S3_S4_98b5ed63,S4,B,2025-05-02 19:10:00,2025-05-03 08:21:00,2025-05-02 15:10:00,2025-05-04 07:10:00,13.18,76750.0,5821.7,/Users/gcn/Documents/workspace/biocharWaterConserveWebsite/biochar_app/data-processed/management/irrigation/irrigation_event_multidepth_plots/2025-05-02_1910_S4_B_event_2025-05-02_S3_S4_98b5ed63.png,written
2025-05-28_S3_S4_120d46ab,S4,B,2025-05-28 18:58:00,2025-05-29 07:30:00,2025-05-28 14:58:00,2025-05-30 06:58:00,12.53,64250.0,5126.3,/Users/gcn/Documents/workspace/biocharWaterConserveWebsite/biochar_app/data-processed/management/irrigation/irrigation_event_multidepth_plots/2025-05-28_1858_S4_B_event_2025-05-28_S3_S4_120d46ab.png,written
2025-06-13_S3_S4_29345c78,S4,B,2025-06-13 10:49:00,2025-06-13 19:16:00,2025-06-13 06:49:00,2025-06-14 22:49:00,8.45,56900.0,6733.7,/Users/gcn/Documents/workspace/biocharWaterConserveWebsite/biochar_app/data-processed/management/irrigation/irrigation_event_multidepth_plots/2025-06-13_1049_S4_B_event_2025-06-13_S3_S4_29345c78.png,written
2025-06-28_S3_S4_d9252a87,S4,B,2025-06-28 08:50:00,2025-06-28 16:15:00,2025-06-28 04:50:00,2025-06-29 20:50:00,7.42,43550.0,5871.9,/Users/gcn/Documents/workspace/biocharWaterConserveWebsite/biochar_app/data-processed/management/irrigation/irrigation_event_multidepth_plots/2025-06-28_0850_S4_B_event_2025-06-28_S3_S4_d9252a87.png,written
2025-07-11_S3_S4_e179d57e,S4,B,2025-07-11 08:30:00,2025-07-11 18:12:00,2025-07-11 04:30:00,2025-07-12 20:30:00,9.7,46400.0,4783.5,/Users/gcn/Documents/workspace/biocharWaterConserveWebsite/biochar_app/data-processed/management/irrigation/irrigation_event_multidepth_plots/2025-07-11_0830_S4_B_event_2025-07-11_S3_S4_e179d57e.png,written
2025-07-26_S3_S4_b4053dcf,S4,B,2025-07-26 08:45:00,2025-07-26 17:50:00,2025-07-26 04:45:00,2025-07-27 20:45:00,9.08,53225.0,5859.6,/Users/gcn/Documents/workspace/biocharWaterConserveWebsite/biochar_app/data-processed/management/irrigation/irrigation_event_multidepth_plots/2025-07-26_0845_S4_B_event_2025-07-26_S3_S4_b4053dcf.png,written
2025-08-08_S3_S4_7c793582,S4,B,2025-08-08 13:14:00,2025-08-08 19:28:00,2025-08-08 09:14:00,2025-08-10 01:14:00,6.23,38750.0,6216.6,/Users/gcn/Documents/workspace/biocharWaterConserveWebsite/biochar_app/data-processed/management/irrigation/irrigation_event_multidepth_plots/2025-08-08_1314_S4_B_event_2025-08-08_S3_S4_7c793582.png,written
2025-08-22_S3_S4_1b405e4b,S4,B,2025-08-22 09:07:00,2025-08-22 19:04:00,2025-08-22 05:07:00,2025-08-23 21:07:00,9.95,30625.0,3077.9,/Users/gcn/Documents/workspace/biocharWaterConserveWebsite/biochar_app/data-processed/management/irrigation/irrigation_event_multidepth_plots/2025-08-22_0907_S4_B_event_2025-08-22_S3_S4_1b405e4b.png,written
2025-09-20_S3_S4_f86ee2c5,S4,B,2025-09-20 10:42:00,2025-09-20 17:31:00,2025-09-20 06:42:00,2025-09-21 22:42:00,6.82,86100.0,12630.8,/Users/gcn/Documents/workspace/biocharWaterConserveWebsite/biochar_app/data-processed/management/irrigation/irrigation_event_multidepth_plots/2025-09-20_1042_S4_B_event_2025-09-20_S3_S4_f86ee2c5.png,written
2025-10-04_S3_S4_4439230e,S4,B,2025-10-04 10:12:00,2025-10-04 17:06:00,2025-10-04 06:12:00,2025-10-05 22:12:00,6.9,51800.0,7507.2,/Users/gcn/Documents/workspace/biocharWaterConserveWebsite/biochar_app/data-processed/management/irrigation/irrigation_event_multidepth_plots/2025-10-04_1012_S4_B_event_2025-10-04_S3_S4_4439230e.png,written
