event_id,strip,sensor_col,output_file,status
38,S2,VWC_1_raw_S2_B,/Users/gcn/Documents/workspace/biocharWaterConserveWebsite/biochar_app/data-processed/management/irrigation_event_inspection_plots/2025_S2_VWC_1_raw_S2_B_event_38.png,written
38,S2,VWC_2_raw_S2_B,/Users/gcn/Documents/workspace/biocharWaterConserveWebsite/biochar_app/data-processed/management/irrigation_event_inspection_plots/2025_S2_VWC_2_raw_S2_B_event_38.png,written
38,S2,VWC_3_raw_S2_B,/Users/gcn/Documents/workspace/biocharWaterConserveWebsite/biochar_app/data-processed/management/irrigation_event_inspection_plots/2025_S2_VWC_3_raw_S2_B_event_38.png,written
39,S2,VWC_1_raw_S2_B,/Users/gcn/Documents/workspace/biocharWaterConserveWebsite/biochar_app/data-processed/management/irrigation_event_inspection_plots/2025_S2_VWC_1_raw_S2_B_event_39.png,written
39,S2,VWC_2_raw_S2_B,/Users/gcn/Documents/workspace/biocharWaterConserveWebsite/biochar_app/data-processed/management/irrigation_event_inspection_plots/2025_S2_VWC_2_raw_S2_B_event_39.png,written
39,S2,VWC_3_raw_S2_B,/Users/gcn/Documents/workspace/biocharWaterConserveWebsite/biochar_app/data-processed/management/irrigation_event_inspection_plots/2025_S2_VWC_3_raw_S2_B_event_39.png,written
40,S2,VWC_1_raw_S2_B,/Users/gcn/Documents/workspace/biocharWaterConserveWebsite/biochar_app/data-processed/management/irrigation_event_inspection_plots/2025_S2_VWC_1_raw_S2_B_event_40.png,written
40,S2,VWC_2_raw_S2_B,/Users/gcn/Documents/workspace/biocharWaterConserveWebsite/biochar_app/data-processed/management/irrigation_event_inspection_plots/2025_S2_VWC_2_raw_S2_B_event_40.png,written
40,S2,VWC_3_raw_S2_B,/Users/gcn/Documents/workspace/biocharWaterConserveWebsite/biochar_app/data-processed/management/irrigation_event_inspection_plots/2025_S2_VWC_3_raw_S2_B_event_40.png,written
41,S2,VWC_1_raw_S2_B,/Users/gcn/Documents/workspace/biocharWaterConserveWebsite/biochar_app/data-processed/management/irrigation_event_inspection_plots/2025_S2_VWC_1_raw_S2_B_event_41.png,written
