year,strip_group,location,strip,event_id,sensor_col,depth_index,depth_inches,logger_position,irrigation_start,irrigation_end,gallons_group,gallons_strip,event_duration_hours,avg_flow_gph_strip,baseline_vwc,peak_vwc,peak_increase,plateau_vwc,plateau_method,bottom_response_delay_hr,time_to_peak_hours,time_to_plateau_hours,lag_after_irrigation_hr,profile_baseline_storage_gal,profile_plateau_storage_gal,event_storage_gal,efficiency_strip,estimated_loss_gal_strip
2024.0000,S1_S2,west,S1,2024-04-20_S1_S2_5f2fb725,VWC_1_raw_S1_B,1,6.0000,B,2024-04-20 10:11:00,2024-04-20 17:54:00,125900.0000,62950.0000,7.7200,8157.6700,23.1500,52.4100,29.2600,51.9600,flat_segment,17.5700,17.5700,18.5700,10.8500,11856.1600,23497.7800,11641.6200,0.1800,51308.3800
2024.0000,S1_S2,west,S1,2024-04-20_S1_S2_5f2fb725,VWC_2_raw_S1_B,2,12.0000,B,2024-04-20 10:11:00,2024-04-20 17:54:00,125900.0000,62950.0000,7.7200,8157.6700,27.3800,49.2700,21.8900,49.2300,flat_segment,23.5700,23.5700,23.8200,16.1000,11856.1600,23497.7800,11641.6200,0.1800,51308.3800
2024.0000,S1_S2,west,S1,2024-04-20_S1_S2_5f2fb725,VWC_3_raw_S1_B,3,18.0000,B,2024-04-20 10:11:00,2024-04-20 17:54:00,125900.0000,62950.0000,7.7200,8157.6700,23.3100,45.6400,22.3300,45.1400,flat_segment,17.3200,17.3200,23.0700,15.3500,11856.1600,23497.7800,11641.6200,0.1800,51308.3800
2024.0000,S1_S2,west,S1,2024-05-11_S1_S2_4c1cd284,VWC_1_raw_S1_B,1,6.0000,B,2024-05-11 06:55:00,2024-05-11 16:18:00,133000.0000,66500.0000,9.3800,7087.0300,33.6300,35.5400,1.9100,34.1700,fallback_window,15.5800,15.5800,19.5800,10.2000,17559.7800,5486.9200,86.9600,0.0000,66413.0400
2024.0000,S1_S2,west,S1,2024-05-11_S1_S2_4c1cd284,VWC_2_raw_S1_B,2,12.0000,B,2024-05-11 06:55:00,2024-05-11 16:18:00,133000.0000,66500.0000,9.3800,7087.0300,38.9600,38.9900,0.0300,,no_peak,16.0800,16.0800,,,17559.7800,5486.9200,86.9600,0.0000,66413.0400
2024.0000,S1_S2,west,S1,2024-05-11_S1_S2_4c1cd284,VWC_3_raw_S1_B,3,18.0000,B,2024-05-11 06:55:00,2024-05-11 16:18:00,133000.0000,66500.0000,9.3800,7087.0300,36.7600,36.8500,0.0900,,no_peak,1.0800,1.0800,,,17559.7800,5486.9200,86.9600,0.0000,66413.0400
2024.0000,S1_S2,west,S1,2024-06-01_S1_S2_ef46e32f,VWC_1_raw_S1_B,1,6.0000,B,2024-06-01 18:05:00,2024-06-02 07:46:00,162500.0000,81250.0000,13.6800,5937.8800,31.3300,49.2300,17.9000,39.2900,fallback_window,15.4200,15.4200,19.4200,5.7300,15056.5500,20612.5200,5555.9700,0.0700,75694.0300
2024.0000,S1_S2,west,S1,2024-06-01_S1_S2_ef46e32f,VWC_2_raw_S1_B,2,12.0000,B,2024-06-01 18:05:00,2024-06-02 07:46:00,162500.0000,81250.0000,13.6800,5937.8800,31.4700,51.6400,20.1700,46.7500,fallback_window,16.4200,16.4200,20.4200,6.7300,15056.5500,20612.5200,5555.9700,0.0700,75694.0300
2024.0000,S1_S2,west,S1,2024-06-01_S1_S2_ef46e32f,VWC_3_raw_S1_B,3,18.0000,B,2024-06-01 18:05:00,2024-06-02 07:46:00,162500.0000,81250.0000,13.6800,5937.8800,30.9600,43.3500,12.3800,42.3200,flat_segment,18.6700,18.6700,22.6700,8.9800,15056.5500,20612.5200,5555.9700,0.0700,75694.0300
2024.0000,S1_S2,west,S1,2024-06-22_S1_S2_e95bd875,VWC_1_raw_S1_B,1,6.0000,B,2024-06-22 08:00:00,2024-06-22 15:49:00,94200.0000,47100.0000,7.8200,6025.5900,26.3100,50.6100,24.2900,41.9900,flat_segment,12.2500,12.2500,20.0000,12.1800,13595.3400,21198.1600,7602.8300,0.1600,39497.1700
2024.0000,S1_S2,west,S1,2024-06-22_S1_S2_e95bd875,VWC_2_raw_S1_B,2,12.0000,B,2024-06-22 08:00:00,2024-06-22 15:49:00,94200.0000,47100.0000,7.8200,6025.5900,25.8500,53.5800,27.7300,47.4400,fallback_window,12.7500,12.7500,16.7500,8.9300,13595.3400,21198.1600,7602.8300,0.1600,39497.1700
2024.0000,S1_S2,west,S1,2024-06-22_S1_S2_e95bd875,VWC_3_raw_S1_B,3,18.0000,B,2024-06-22 08:00:00,2024-06-22 15:49:00,94200.0000,47100.0000,7.8200,6025.5900,32.5000,43.5000,11.0000,42.5800,flat_segment,12.0000,12.0000,15.0000,7.1800,13595.3400,21198.1600,7602.8300,0.1600,39497.1700
2024.0000,S1_S2,west,S1,2024-07-20_S1_S2_6d735351,VWC_1_raw_S1_B,1,6.0000,B,2024-07-20 08:54:00,2024-07-20 17:43:00,111100.0000,55550.0000,8.8200,6300.5700,23.5400,56.4900,32.9400,40.3300,flat_segment,12.8500,12.8500,22.1000,13.2800,10360.1800,21509.2900,11149.1200,0.2000,44400.8800
2024.0000,S1_S2,west,S1,2024-07-20_S1_S2_6d735351,VWC_2_raw_S1_B,2,12.0000,B,2024-07-20 08:54:00,2024-07-20 17:43:00,111100.0000,55550.0000,8.8200,6300.5700,19.6500,61.8400,42.1900,47.1600,fallback_window,12.8500,12.8500,16.8500,8.0300,10360.1800,21509.2900,11149.1200,0.2000,44400.8800
2024.0000,S1_S2,west,S1,2024-07-20_S1_S2_6d735351,VWC_3_raw_S1_B,3,18.0000,B,2024-07-20 08:54:00,2024-07-20 17:43:00,111100.0000,55550.0000,8.8200,6300.5700,21.3300,46.6800,25.3600,46.4500,flat_segment,16.1000,16.1000,17.1000,8.2800,10360.1800,21509.2900,11149.1200,0.2000,44400.8800
