"TOA5","S4B","CR200X","No_SN","CR200X.Std.03","CSU_3depths_M3.CR2","60237","Table1"
"TIMESTAMP","RECORD","BattV_Min","VWC_1_Avg","EC_1_Avg","T_1_Avg","VWC_2_Avg","EC_2_Avg","T_2_Avg","VWC_3_Avg","EC_3_Avg","T_3_Avg"
"TS","RN","Volts","m^3/m^3","dS/m","Deg C","m^3/m^3","dS/m","Deg C","m^3/m^3","dS/m","Deg C"
"","","Min","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg"
"2024-03-12 12:45:00",0,12.68644,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2024-03-12 13:00:00",1,12.67553,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2024-03-12 13:15:00",2,12.69819,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2024-03-12 13:30:00",3,12.70239,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2024-03-12 13:45:00",4,12.70071,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2024-03-12 14:00:00",5,12.70071,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2024-03-12 14:15:00",6,12.69232,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2024-03-12 14:30:00",7,12.69651,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2024-03-12 14:45:00",8,12.69819,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2024-03-12 15:00:00",9,12.70239,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2024-03-12 15:15:00",10,12.69651,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2024-03-12 15:30:00",11,12.69232,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2024-03-12 15:45:00",12,12.69064,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2024-03-12 16:00:00",13,12.69567,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2024-03-12 16:15:00",14,12.69315,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2024-03-12 16:30:00",15,12.6856,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2024-03-12 16:45:00",16,12.6814,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2024-03-12 17:00:00",17,12.68644,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2024-03-12 17:15:00",18,12.67469,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2024-03-12 17:30:00",19,12.67133,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2024-03-12 17:45:00",20,12.69064,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2024-03-12 18:00:00",21,12.69232,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2024-03-12 18:15:00",22,12.6898,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN"
