"TOA5","S2T","CR200X","23594","CR200X.Std.04","CSU_3depths_M3.CR2","60237","Table3"
"TIMESTAMP","RECORD","VWC_1_Avg","EC_1_Avg","T_1_Avg","VWC_2_Avg","EC_2_Avg","T_2_Avg","VWC_3_Avg","EC_3_Avg","T_3_Avg"
"TS","RN","m^3/m^3","dS/m","Deg C","m^3/m^3","dS/m","Deg C","m^3/m^3","dS/m","Deg C"
"","","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg"
"2023-10-12 00:00:00",0,0.1464816,0.1901212,14.28193,0.2011873,0.3597999,14.88628,0.2819365,0.4802828,15.50197
"2023-10-13 00:00:00",1,0.1450368,0.1829935,13.01523,0.2007446,0.3541676,14.31892,0.2834252,0.4793238,15.22602
"2023-10-14 00:00:00",2,0.1433311,0.1781231,12.17053,0.1989211,0.3467511,13.65807,0.2834733,0.4756128,14.71826
"2023-10-15 00:00:00",3,0.1409384,0.1697399,10.95311,0.1968332,0.3364577,12.77896,0.2832339,0.4703736,14.09875
"2023-10-16 00:00:00",4,0.1400157,0.1681466,10.89779,0.1949266,0.3308176,12.30656,0.2820814,0.4656641,13.55115
"2023-10-17 00:00:00",5,0.1391308,0.1688817,11.38806,0.1928635,0.329795,12.42154,0.2807131,0.4663178,13.41306
"2023-10-18 00:00:00",6,0.1374224,0.1673527,11.51938,0.1905141,0.3273584,12.50947,0.2791638,0.4686267,13.40756
"2023-10-19 00:00:00",7,0.1356224,0.1659767,11.72396,0.1880573,0.3248929,12.624,0.2774895,0.4711125,13.433
"2023-10-20 00:00:00",8,0.1339656,0.1654191,12.12589,0.1856063,0.3233316,12.83581,0.2754581,0.4743071,13.51988
"2023-10-21 00:00:00",9,0.131657,0.1620646,11.9843,0.1831387,0.320409,12.9009,0.2731656,0.4772448,13.60358
"2023-10-22 00:00:00",10,0.1291052,0.1575455,11.63951,0.1805178,0.3151239,12.70415,0.2708487,0.4774713,13.51569
"2023-10-23 00:00:00",11,0.1270687,0.1548627,11.60405,0.1782827,0.311549,12.60494,0.2685091,0.4777015,13.41265
"2023-10-24 00:00:00",12,0.1261927,0.1554118,12.14116,0.1766976,0.3116082,12.80266,0.2663422,0.4799935,13.44169
"2023-10-25 00:00:00",13,0.1239686,0.1505044,11.484,0.1750065,0.3082181,12.61224,0.2646537,0.4817668,13.40853
"2023-10-26 00:00:00",14,0.122163,0.1469062,11.06661,0.1734571,0.3038815,12.23932,0.2631613,0.4808203,13.15113
"2023-10-27 00:00:00",15,0.1213574,0.1448605,10.91086,0.1726397,0.3026149,12.08649,0.2622399,0.4817177,12.97797
"2023-10-28 00:00:00",16,0.1201782,0.1416336,10.40875,0.1719515,0.2999054,11.67898,0.2622287,0.482071,12.69245
"2023-10-29 00:00:00",17,0.120976,0.1455026,11.3141,0.1720123,0.3033685,11.88259,0.2620872,0.4844482,12.60121
"2023-10-30 00:00:00",18,0.1175634,0.1355761,9.173978,0.1715413,0.2990991,11.29815,0.2627526,0.4875615,12.45624
"2023-10-31 00:00:00",19,0.1141466,0.1213165,6.216744,0.1695837,0.2808731,9.250285,0.2634381,0.4748747,11.24002
"2023-11-01 00:00:00",20,0.1128494,0.1184083,5.664836,0.1691332,0.2735135,8.229045,0.2639502,0.4643063,10.19657
"2023-11-02 00:00:00",21,0.1131864,0.1194481,5.942278,0.1690858,0.2731633,7.952142,0.2643012,0.4605559,9.671663
"2023-11-03 00:00:00",22,0.1135965,0.1209041,6.261425,0.1692595,0.2748038,7.934082,0.2645379,0.4606386,9.441792
"2023-11-04 00:00:00",23,0.1144558,0.1240142,6.97384,0.1695593,0.2792152,8.264148,0.2647398,0.4640728,9.465383
"2023-11-05 00:00:00",24,0.1143242,0.1243649,7.10111,0.1695667,0.280418,8.337424,0.2648329,0.4674515,9.492606
"2023-11-06 00:00:00",25,0.1149015,0.1270042,7.775653,0.1698851,0.284417,8.67229,0.2650776,0.4724853,9.62259
"2024-01-05 00:00:00",85,0.1284288,0.1014765,-0.4013011,0.1840938,0.2614244,0.3772925,0.274862,0.416667,1.496485
"2024-01-06 00:00:00",86,0.1361273,0.1119852,-0.2894118,0.1840777,0.2630854,0.5101256,0.2747442,0.4179626,1.564187
"2024-01-07 00:00:00",87,0.14013,0.1167719,-0.2845062,0.183941,0.2642322,0.5930701,0.2746793,0.4190021,1.617199
