"TOA5","S3M","CR200X","23118","CR200X.Std.04","CSU_3depths.CR2","4256","Public"
"TIMESTAMP","RECORD","BattV","VWC_1","EC_1","T_1","P_1","PA_1","VR_1","VWC_2","EC_2","T_2","P_2","PA_2","VR_2","VWC_3","EC_3","T_3","P_3","PA_3","VR_3"
"TS","RN","Volts","m^3/m^3","dS/m","Deg C","unitless","nSec","unitless","m^3/m^3","dS/m","Deg C","unitless","nSec","unitless","m^3/m^3","dS/m","Deg C","unitless","nSec","unitless"
"","","","","","","","","","","","","","","","","","","","",""
"2023-11-02 10:14:44",41676,13.82304,0.1463,0.1817,7.3905,7.9406,1.4366,1.2299,0.2154,0.2311,8.5969,11.4344,1.5474,1.2841,0.2275,0.1792,9.3507,12.1041,1.5406,1.2254
"2023-11-05 15:23:21",46305,13.45453,0.1469,0.1958,8.5041,7.9665,1.44,1.2478,0.2158,0.2356,8.9529,11.4539,1.5485,1.2896,0.2276,0.178,9.4255,12.1099,1.5406,1.2239
"2023-11-05 15:25:33",46307,13.47719,0.1468,0.1962,8.5273,7.9642,1.44,1.2482,0.2158,0.2347,8.9443,11.4581,1.5485,1.2886,0.2275,0.1788,9.4284,12.106,1.5406,1.2249
"2023-11-05 15:27:53",46309,13.44529,0.1469,0.1959,8.5505,7.9658,1.44,1.2479,0.2158,0.2354,8.9558,11.4547,1.5485,1.2894,0.2275,0.1786,9.4197,12.107,1.5406,1.2246
"2023-11-05 15:29:30",46311,13.46376,0.1469,0.1961,8.536,7.965,1.44,1.2481,0.2158,0.2346,8.9703,11.4587,1.5485,1.2885,0.2275,0.1787,9.4341,12.1063,1.5406,1.2248
"2023-11-05 15:33:16",46315,13.43941,0.1468,0.1963,8.5418,7.9639,1.44,1.2483,0.2158,0.2351,8.9789,11.4562,1.5485,1.2891,0.2276,0.1778,9.4427,12.1108,1.5406,1.2236
"2023-11-05 15:35:03",46317,13.45201,0.1468,0.1964,8.5418,7.9631,1.44,1.2485,0.2157,0.2361,8.9963,11.4515,1.5485,1.2902,0.2276,0.1778,9.4284,12.1107,1.5406,1.2236
"2023-11-05 15:35:56",46317,13.45201,0.1468,0.1964,8.5418,7.9631,1.44,1.2485,0.2157,0.2361,8.9963,11.4515,1.5485,1.2902,0.2276,0.1778,9.4284,12.1107,1.5406,1.2236
"2023-11-05 15:38:16",46320,13.46964,0.1469,0.1958,8.5389,7.9664,1.44,1.2478,0.2158,0.2351,8.9847,11.4562,1.5485,1.2891,0.2276,0.1776,9.4111,12.1115,1.5406,1.2234
"2023-11-05 15:40:10",46322,13.42682,0.1468,0.1965,8.5534,7.9626,1.44,1.2486,0.2158,0.2357,8.9818,11.4534,1.5485,1.2898,0.2276,0.1779,9.3996,12.1103,1.5406,1.2237
"2023-11-06 10:15:00",47436,13.76428,0.147,0.1951,8.7186,7.9707,1.44,1.2469,0.2162,0.239,9.4284,11.4784,1.5496,1.2939,0.228,0.1815,9.7669,12.1348,1.5417,1.2283
"2023-11-06 12:12:15",47554,13.58548,0.1469,0.1956,8.6375,7.9681,1.44,1.2474,0.2163,0.2381,9.3277,11.4833,1.5496,1.2927,0.2282,0.1799,9.7096,12.1425,1.5417,1.2263
