"TOA5","S4B","CR200X","No_SN","CR200X.Std.03","a.CR2","58368","batt"
"TIMESTAMP","RECORD","BattV_Min"
"TS","RN","Volts"
"","","Min"
"2020-11-28 00:00:00",1985,11.76054
"2020-11-29 00:00:00",1986,11.74543
"2020-11-30 00:00:00",1987,11.7513
"2020-12-01 00:00:00",1988,11.74207
"2020-12-02 00:00:00",1989,11.73368
"2020-12-03 00:00:00",1990,11.70514
"2020-12-04 00:00:00",1991,11.68163
"2020-12-05 00:00:00",1992,11.69254
"2020-12-06 00:00:00",1993,11.68247
"2020-12-07 00:00:00",1994,11.6724
"2020-12-08 00:00:00",1995,11.65729
"2020-12-09 00:00:00",1996,11.65393
"2020-12-10 00:00:00",1997,11.62539
"2020-12-11 00:00:00",1998,11.60524
"2020-12-12 00:00:00",1999,11.58593
"2020-12-13 00:00:00",2000,11.57334
"2020-12-14 00:00:00",2001,11.54984
"2020-12-15 00:00:00",2002,11.54816
"2020-12-16 00:00:00",2003,11.5448
"2020-12-17 00:00:00",2004,11.51123
"2020-12-18 00:00:00",2005,11.50031
"2020-12-19 00:00:00",2006,11.49528
"2020-12-20 00:00:00",2007,11.49108
"2020-12-21 00:00:00",2008,11.46925
"2020-12-22 00:00:00",2009,11.44407
"2020-12-23 00:00:00",2010,11.44323
"2020-12-24 00:00:00",2011,11.41049
"2020-12-25 00:00:00",2012,11.42476
"2020-12-26 00:00:00",2013,11.38699
"2020-12-27 00:00:00",2014,11.38027
"2020-12-28 00:00:00",2015,11.35089
"2020-12-29 00:00:00",2016,11.32655
"2020-12-30 00:00:00",2017,11.28542
"2020-12-31 00:00:00",2018,11.32487
"2021-01-01 00:00:00",2019,11.30808
"2021-01-02 00:00:00",2020,11.22582
"2021-01-03 00:00:00",2021,11.22582
"2021-01-04 00:00:00",2022,11.17461
"2021-01-05 00:00:00",2023,11.13599
"2021-01-06 00:00:00",2024,11.12844
"2021-01-07 00:00:00",2025,11.12928
"2021-01-08 00:00:00",2026,11.03023
"2021-01-09 00:00:00",2027,10.97566
"2021-01-10 00:00:00",2028,10.93621
"2021-01-11 00:00:00",2029,9.912933
"2021-01-14 00:00:00",2030,8.022517
"2021-01-15 00:00:00",2031,9.644313
"2021-01-16 00:00:00",2032,9.291749
"2021-01-17 00:00:00",2033,8.558919
"2021-01-18 00:00:00",2034,7.438268
"2021-01-19 00:00:00",2035,6.308383
