zone_ordering,n_events,pct_events
T>M>B,29,34.11764705882353
T>B>M,19,22.352941176470587
B>T>M,12,14.117647058823529
M>T>B,12,14.117647058823529
B>M>T,7,8.235294117647058
M>B>T,6,7.0588235294117645
