year,strip_group,location,strip,event_id,irrigation_start,irrigation_end,gallons_strip,event_duration_hours,avg_flow_gph_strip,bottom_zone_storage_gal_0_18in,middle_zone_storage_gal_0_18in,top_zone_storage_gal_0_18in,n_zones_with_valid_storage,complete_three_zone_coverage,n_zones_with_storage,estimated_storage_gal_strip_0_18in,water_balance_residual_gal_strip,storage_exceeds_applied_water,water_not_stored_0_18in_gal_strip,estimated_storage_fraction_0_18in,water_not_stored_0_18in_fraction,whole_strip_storage_estimate_available,bottom_6in_arrival_time,bottom_6in_arrival_delay_hr,bottom_6in_response_observed,bottom_6in_arrival_before_irrigation_end,bottom_6in_arrival_after_irrigation_end,post_bottom_6in_arrival_runtime_hr,post_bottom_6in_arrival_applied_gal,post_bottom_6in_arrival_applied_fraction,potential_surface_runoff_gal,potential_surface_runoff_fraction,potential_surface_runoff_available,estimated_storage_percent,potential_surface_runoff_percent
2025.00,S3_S4,east,S3,2025-07-11_S3_S4_e179d57e,2025-07-11 08:30:00,2025-07-11 18:12:00,46400.00,9.70,4783.51,6045.48,,5364.81,2.00,False,2.00,,,False,,,,False,2025-07-11 10:15:00,1.75,True,True,False,7.95,38028.87,0.82,,,False,,
2025.00,S3_S4,east,S3,2025-07-26_S3_S4_b4053dcf,2025-07-26 08:45:00,2025-07-26 17:50:00,53225.00,9.08,5859.63,9987.95,,5946.84,2.00,False,2.00,,,False,,,,False,2025-07-26 11:15:00,2.50,True,True,False,6.58,38575.72,0.72,,,False,,
2025.00,S3_S4,east,S3,2025-08-08_S3_S4_7c793582,2025-08-08 13:14:00,2025-08-08 19:28:00,38750.00,6.23,6216.58,5182.41,,,1.00,False,1.00,,,False,,,,False,2025-08-08 15:30:00,2.27,True,True,False,3.97,24658.88,0.64,,,False,,
2025.00,S3_S4,east,S3,2025-08-22_S3_S4_1b405e4b,2025-08-22 09:07:00,2025-08-22 19:04:00,30625.00,9.95,3077.89,6515.81,,3773.67,2.00,False,2.00,,,False,,,,False,2025-08-22 15:30:00,6.38,True,True,False,3.57,10977.81,0.36,,,False,,
2025.00,S3_S4,east,S3,2025-09-20_S3_S4_f86ee2c5,2025-09-20 10:42:00,2025-09-20 17:31:00,86100.00,6.82,12630.81,5957.98,,5405.49,2.00,False,2.00,,,False,,,,False,2025-09-20 12:45:00,2.05,True,True,False,4.77,60207.27,0.70,,,False,,
2025.00,S3_S4,east,S3,2025-10-04_S3_S4_4439230e,2025-10-04 10:12:00,2025-10-04 17:06:00,51800.00,6.90,7507.25,5474.05,,,1.00,False,1.00,,,False,,,,False,2025-10-04 11:15:00,1.05,True,True,False,5.85,43917.39,0.85,,,False,,
2025.00,S3_S4,east,S4,2025-04-20_S3_S4_ead0e049,2025-04-20 08:15:00,2025-04-21 06:28:00,132300.00,22.22,5954.99,8033.85,11924.46,12661.70,3.00,True,3.00,32620.02,99679.98,False,99679.98,0.25,0.75,True,2025-04-20 13:45:00,5.50,True,True,False,16.72,99547.76,0.75,99679.98,0.75,True,24.66,75.34
2025.00,S3_S4,east,S4,2025-05-02_S3_S4_3cb33cbf,2025-05-02 19:10:02,2025-05-03 08:21:02,76750.00,13.18,5821.74,3578.90,5389.16,6135.15,3.00,True,3.00,15103.22,61646.78,False,61646.78,0.20,0.80,True,2025-05-03 01:30:00,6.33,True,True,False,6.85,39881.99,0.52,61646.78,0.80,True,19.68,80.32
2025.00,S3_S4,east,S4,2025-05-28_S3_S4_120d46ab,2025-05-28 18:58:00,2025-05-29 07:30:00,64250.00,12.53,5126.33,,6822.07,9295.45,2.00,False,2.00,,,False,,,,False,2025-05-28 23:45:00,4.78,True,True,False,7.75,39728.89,0.62,,,False,,
2025.00,S3_S4,east,S4,2025-06-13_S3_S4_29345c78,2025-06-13 10:49:00,2025-06-13 19:16:00,56900.00,8.45,6733.73,3537.98,6984.74,9390.31,3.00,True,3.00,19913.03,36986.97,False,36986.97,0.35,0.65,True,2025-06-13 14:45:00,3.93,True,True,False,4.52,30414.00,0.53,36986.97,0.65,True,35.00,65.00
2025.00,S3_S4,east,S4,2025-06-28_S3_S4_d9252a87,2025-06-28 08:50:00,2025-06-28 16:15:00,43550.00,7.42,5871.91,2393.02,4052.84,9335.08,3.00,True,3.00,15780.94,27769.06,False,27769.06,0.36,0.64,True,2025-06-28 10:45:00,1.92,True,True,False,5.50,32295.70,0.74,27769.06,0.64,True,36.24,63.76
2025.00,S3_S4,east,S4,2025-07-11_S3_S4_e179d57e,2025-07-11 08:30:00,2025-07-11 18:12:00,46400.00,9.70,4783.51,2828.58,6472.93,6808.10,3.00,True,3.00,16109.61,30290.39,False,30290.39,0.35,0.65,True,2025-07-11 11:30:00,3.00,True,True,False,6.70,32049.48,0.69,30290.39,0.65,True,34.72,65.28
2025.00,S3_S4,east,S4,2025-07-26_S3_S4_b4053dcf,2025-07-26 08:45:00,2025-07-26 17:50:00,53225.00,9.08,5859.63,4940.19,7880.83,8471.14,3.00,True,3.00,21292.16,31932.84,False,31932.84,0.40,0.60,True,2025-07-26 15:30:00,6.75,True,True,False,2.33,13672.28,0.26,31932.84,0.60,True,40.00,60.00
2025.00,S3_S4,east,S4,2025-08-08_S3_S4_7c793582,2025-08-08 13:14:00,2025-08-08 19:28:00,38750.00,6.23,6216.58,1829.52,5781.06,7480.60,3.00,True,3.00,15091.18,23658.82,False,23658.82,0.39,0.61,True,2025-08-08 19:00:00,5.77,True,True,False,0.47,2900.86,0.07,23658.82,0.61,True,38.95,61.05
2025.00,S3_S4,east,S4,2025-08-22_S3_S4_1b405e4b,2025-08-22 09:07:00,2025-08-22 19:04:00,30625.00,9.95,3077.89,,8328.22,8324.63,2.00,False,2.00,,,False,,,,False,,,False,False,False,,,,,,False,,
2025.00,S3_S4,east,S4,2025-09-20_S3_S4_f86ee2c5,2025-09-20 10:42:00,2025-09-20 17:31:00,86100.00,6.82,12630.81,2878.26,4084.54,6342.46,3.00,True,3.00,13305.27,72794.73,False,72794.73,0.15,0.85,True,2025-09-20 13:15:00,2.55,True,True,False,4.27,53891.86,0.63,72794.73,0.85,True,15.45,84.55
2025.00,S3_S4,east,S4,2025-10-04_S3_S4_4439230e,2025-10-04 10:12:00,2025-10-04 17:06:00,51800.00,6.90,7507.25,2068.48,5224.17,7319.74,3.00,True,3.00,14612.39,37187.61,False,37187.61,0.28,0.72,True,2025-10-04 17:45:00,7.55,True,False,True,0.00,0.00,0.00,37187.61,0.72,True,28.21,71.79
