year,strip,depth_inches,n_events,rec_runtime_hours,rec_runtime_minutes,rec_runtime_is_trustworthy,actual_runtime_hours,actual_runtime_minutes,source_time_col,summary_stat,median_avg_flow_gph_strip,median_lag_after_irrigation_hr
2023.00,S1,6.00,5.00,17.23,1033.87,True,6.52,391.00,time_to_plateau_hours,median,6859.34,11.23
2023.00,S1,12.00,4.00,19.54,1172.50,True,6.52,391.00,time_to_plateau_hours,median,6859.34,12.96
2023.00,S1,18.00,4.00,24.48,1469.00,True,6.52,391.00,time_to_plateau_hours,median,6859.34,19.02
2023.00,S2,6.00,7.00,15.22,913.00,True,6.52,391.00,time_to_plateau_hours,median,6859.34,11.18
2023.00,S2,12.00,7.00,13.97,838.00,True,6.52,391.00,time_to_plateau_hours,median,6859.34,8.72
2023.00,S2,18.00,7.00,9.98,599.00,True,6.52,391.00,time_to_plateau_hours,median,6859.34,3.47
2023.00,S3,6.00,12.00,16.24,974.50,True,7.74,464.50,time_to_plateau_hours,median,7822.41,11.22
2023.00,S3,12.00,12.00,15.08,905.00,True,7.74,464.50,time_to_plateau_hours,median,7822.41,8.46
2023.00,S3,18.00,12.00,13.56,813.50,True,7.74,464.50,time_to_plateau_hours,median,7822.41,5.50
2023.00,S4,6.00,9.00,20.33,1220.00,True,7.74,464.50,time_to_plateau_hours,median,7822.41,15.13
2023.00,S4,12.00,8.00,22.87,1372.00,True,7.74,464.50,time_to_plateau_hours,median,7822.41,14.75
2023.00,S4,18.00,8.00,21.01,1260.50,True,7.74,464.50,time_to_plateau_hours,median,7822.41,13.69
