year,strip_group,location,strip,event_id,irrigation_start,irrigation_end,gallons_strip,event_duration_hours,avg_flow_gph_strip,bottom_zone_storage_gal_0_18in,middle_zone_storage_gal_0_18in,top_zone_storage_gal_0_18in,n_zones_with_valid_storage,complete_three_zone_coverage,n_zones_with_storage,estimated_storage_gal_strip_0_18in,water_balance_residual_gal_strip,storage_exceeds_applied_water,unretained_gal_strip,estimated_storage_fraction_0_18in,unretained_fraction,whole_strip_storage_estimate_available,event_qc_eligible,event_qc_reason,bottom_6in_arrival_time,bottom_6in_arrival_delay_hr,bottom_6in_response_observed,bottom_6in_arrival_before_irrigation_end,bottom_6in_arrival_after_irrigation_end,post_bottom_6in_arrival_runtime_hr,post_bottom_6in_arrival_applied_gal,post_bottom_6in_arrival_applied_fraction,holding_capacity_eligible,holding_capacity_reason,unretained_eligible,unretained_reason,unretained_available,end_of_field_unretained_eligible,end_of_field_unretained_reason,estimated_end_of_field_unretained_gal_strip,estimated_end_of_field_unretained_fraction,estimated_storage_percent,unretained_percent
2026.00,S3_S4,east,S3,2026-04-21_S3_S4_ed1ed131,2026-04-21 14:54:00,2026-04-22 08:52:00,110850.00,17.97,6169.76,12001.90,11779.35,7130.29,3.00,True,3.00,30911.54,79938.46,False,79938.46,0.28,0.72,True,True,ok,2026-04-21 16:30:00,1.60,True,True,False,16.37,100978.59,0.91,True,ok,True,ok,True,True,ok,79938.46,0.72,27.89,72.11
2026.00,S3_S4,east,S3,2026-05-08_S3_S4_989607cc,2026-05-08 09:00:00,2026-05-08 19:14:00,90350.00,10.23,8828.99,8167.95,9673.31,4736.31,3.00,True,3.00,22577.57,67772.43,False,67772.43,0.25,0.75,True,True,ok,2026-05-08 11:00:00,2.00,True,True,False,8.23,72691.73,0.80,True,ok,True,ok,True,True,ok,67772.43,0.75,24.99,75.01
2026.00,S3_S4,east,S3,2026-05-21_S3_S4_272f948e,2026-05-21 13:27:00,2026-05-21 19:54:00,59850.00,6.45,9279.07,8896.33,8325.12,3684.62,3.00,True,3.00,20906.07,38943.93,False,38943.93,0.35,0.65,True,True,ok,2026-05-21 15:00:00,1.55,True,True,False,4.90,45467.44,0.76,True,ok,True,ok,True,True,ok,38943.93,0.65,34.93,65.07
2026.00,S3_S4,east,S3,2026-06-05_S3_S4_f5beba0a,2026-06-05 14:19:00,2026-06-05 20:47:00,53900.00,6.47,8335.05,10122.52,8584.03,,2.00,False,2.00,,,False,,,,False,True,ok,2026-06-05 16:30:00,2.18,True,True,False,4.28,35702.08,0.66,False,incomplete_three_zone_storage,False,incomplete_three_zone_storage,False,False,incomplete_three_zone_storage,,,,
2026.00,S3_S4,east,S3,2026-06-20_S3_S4_47159afc,2026-06-20 08:00:00,2026-06-20 17:03:00,65700.00,9.05,7259.67,7309.88,9008.14,,2.00,False,2.00,,,False,,,,False,True,ok,2026-06-20 10:15:00,2.25,True,True,False,6.80,49365.75,0.75,False,incomplete_three_zone_storage,False,incomplete_three_zone_storage,False,False,incomplete_three_zone_storage,,,,
2026.00,S3_S4,east,S3,2026-06-27_S3_S4_dc68d0eb,2026-06-27 11:05:00,2026-06-27 16:34:00,33511.00,5.48,6111.43,7289.84,7249.71,,2.00,False,2.00,,,False,,,,False,False,unexplained_pre_start_response,2026-06-27 13:00:00,1.92,True,True,False,3.57,21797.22,0.65,False,unexplained_pre_start_response,False,unexplained_pre_start_response,False,False,unexplained_pre_start_response,,,,
2026.00,S3_S4,east,S3,2026-07-05_S3_S4_b3db7964,2026-07-05 11:24:00,2026-07-05 18:13:00,56650.00,6.82,8310.51,9444.15,6075.17,,2.00,False,2.00,,,False,,,,False,True,ok,2026-07-05 13:15:00,1.85,True,True,False,4.97,41275.83,0.73,False,incomplete_three_zone_storage,False,incomplete_three_zone_storage,False,False,incomplete_three_zone_storage,,,,
2026.00,S3_S4,east,S3,2026-07-24_S3_S4_d28f9731,2026-07-24 08:25:00,2026-07-24 15:43:00,34125.00,7.30,4674.66,8685.61,9526.17,4153.54,3.00,True,3.00,22365.32,11759.68,False,11759.68,0.66,0.34,True,False,possible_battery_or_logger_issue,2026-07-24 12:00:00,3.58,True,True,False,3.72,17374.14,0.51,False,possible_battery_or_logger_issue,False,possible_battery_or_logger_issue,False,False,possible_battery_or_logger_issue,,,65.54,34.46
2026.00,S3_S4,east,S3,2026-08-14_S3_S4_1912adab,2026-08-14 10:25:00,2026-08-14 13:47:00,21350.00,3.37,6341.58,,8745.26,,1.00,False,1.00,,,False,,,,False,False,possible_battery_or_logger_issue,2026-08-14 12:30:00,2.08,True,True,False,1.28,8138.58,0.38,False,possible_battery_or_logger_issue,False,possible_battery_or_logger_issue,False,False,possible_battery_or_logger_issue,,,,
2026.00,S3_S4,east,S4,2026-04-21_S3_S4_ed1ed131,2026-04-21 14:54:00,2026-04-22 08:52:00,110850.00,17.97,6169.76,11879.66,12707.39,12551.22,3.00,True,3.00,37138.27,73711.73,False,73711.73,0.34,0.67,True,False,unexplained_pre_start_response,2026-04-22 02:30:00,11.60,True,True,False,6.37,39281.00,0.35,False,unexplained_pre_start_response,False,unexplained_pre_start_response,False,False,unexplained_pre_start_response,,,33.50,66.50
2026.00,S3_S4,east,S4,2026-05-08_S3_S4_989607cc,2026-05-08 09:00:00,2026-05-08 19:14:00,90350.00,10.23,8828.99,5081.23,9564.47,8036.93,3.00,True,3.00,22682.63,67667.37,False,67667.37,0.25,0.75,True,True,ok,2026-05-08 15:30:00,6.50,True,True,False,3.73,32961.27,0.36,True,ok,True,ok,True,True,ok,67667.37,0.75,25.11,74.89
2026.00,S3_S4,east,S4,2026-05-21_S3_S4_272f948e,2026-05-21 13:27:00,2026-05-21 19:54:00,59850.00,6.45,9279.07,3832.52,10697.39,7264.24,3.00,True,3.00,21794.15,38055.85,False,38055.85,0.36,0.64,True,False,unexplained_pre_start_response,2026-05-21 19:15:00,5.80,True,True,False,0.65,6031.40,0.10,False,unexplained_pre_start_response,False,unexplained_pre_start_response,False,False,unexplained_pre_start_response,,,36.41,63.59
2026.00,S3_S4,east,S4,2026-06-05_S3_S4_f5beba0a,2026-06-05 14:19:00,2026-06-05 20:47:00,53900.00,6.47,8335.05,4002.07,11766.33,8920.15,3.00,True,3.00,24688.54,29211.46,False,29211.46,0.46,0.54,True,True,ok,2026-06-05 21:45:00,7.43,True,False,True,0.00,0.00,0.00,True,ok,True,ok,True,True,ok,29211.46,0.54,45.80,54.20
2026.00,S3_S4,east,S4,2026-06-20_S3_S4_47159afc,2026-06-20 08:00:00,2026-06-20 17:03:00,65700.00,9.05,7259.67,1560.84,5898.41,9352.81,3.00,True,3.00,16812.07,48887.93,False,48887.93,0.26,0.74,True,True,ok,2026-06-20 10:45:00,2.75,True,True,False,6.30,45735.91,0.70,True,ok,True,ok,True,True,ok,48887.93,0.74,25.59,74.41
2026.00,S3_S4,east,S4,2026-06-27_S3_S4_dc68d0eb,2026-06-27 11:05:00,2026-06-27 16:34:00,33511.00,5.48,6111.43,,7793.83,4702.25,2.00,False,2.00,,,False,,,,False,True,ok,2026-06-27 14:00:00,2.92,True,True,False,2.57,15685.80,0.47,False,incomplete_three_zone_storage,False,incomplete_three_zone_storage,False,False,incomplete_three_zone_storage,,,,
2026.00,S3_S4,east,S4,2026-07-05_S3_S4_b3db7964,2026-07-05 11:24:00,2026-07-05 18:13:00,56650.00,6.82,8310.51,3495.49,8455.24,5270.19,3.00,True,3.00,17220.92,39429.08,False,39429.08,0.30,0.70,True,True,ok,2026-07-05 16:45:00,5.35,True,True,False,1.47,12189.03,0.22,True,ok,True,ok,True,True,ok,39429.08,0.70,30.40,69.60
2026.00,S3_S4,east,S4,2026-07-24_S3_S4_d28f9731,2026-07-24 08:25:00,2026-07-24 15:43:00,34125.00,7.30,4674.66,3381.67,11995.90,9879.10,3.00,True,3.00,25256.67,8868.33,False,8868.33,0.74,0.26,True,True,ok,2026-07-25 00:15:00,15.83,True,False,True,0.00,0.00,0.00,True,ok,True,ok,True,True,ok,8868.33,0.26,74.01,25.99
2026.00,S3_S4,east,S4,2026-08-14_S3_S4_1912adab,2026-08-14 10:25:00,2026-08-14 13:47:00,21350.00,3.37,6341.58,,9711.40,9802.37,2.00,False,2.00,,,False,,,,False,True,ok,2026-08-14 12:15:00,1.83,True,True,False,1.53,9723.97,0.46,False,incomplete_three_zone_storage,False,incomplete_three_zone_storage,False,False,incomplete_three_zone_storage,,,,
