pair,logger_position,matched_matched_event_count,matched_first_year,matched_last_year,matched_mean_difference_in,matched_median_difference_in,matched_difference_sd_in,matched_individual_events_biochar_higher_pct,matched_bootstrap_mean_ci_95_low_in,matched_bootstrap_mean_ci_95_high_in,matched_bootstrap_median_ci_95_low_in,matched_bootstrap_median_ci_95_high_in,matched_bootstrap_mean_above_zero_pct,matched_bootstrap_median_above_zero_pct,matched_bootstrap_direction_classification,matched_bootstrap_iterations,matched_random_seed,matched_minimum_directional_events,unmatched_biochar_complete_profile_count,unmatched_control_complete_profile_count,unmatched_biochar_first_year,unmatched_biochar_last_year,unmatched_control_first_year,unmatched_control_last_year,unmatched_biochar_mean_profile_water_in,unmatched_control_mean_profile_water_in,unmatched_mean_difference_in,unmatched_biochar_median_profile_water_in,unmatched_control_median_profile_water_in,unmatched_median_difference_in,unmatched_bootstrap_mean_ci_95_low_in,unmatched_bootstrap_mean_ci_95_high_in,unmatched_bootstrap_median_ci_95_low_in,unmatched_bootstrap_median_ci_95_high_in,unmatched_bootstrap_mean_above_zero_pct,unmatched_bootstrap_median_above_zero_pct,unmatched_bootstrap_direction_classification,unmatched_bootstrap_iterations,unmatched_random_seed,unmatched_minimum_directional_events,unmatched_minus_matched_mean_difference_in,direction_comparison
S1_S2,B,18,2024,2026,-0.097,-0.768,1.466,27.778,-0.707,0.602,-1.069,-0.037,37.19,1.49,inconclusive,10000,20260830,4,21,27,2024,2026,2023,2026,5.539,6.015,-0.476,5.222,5.966,-0.743,-1.14,0.204,-1.199,-0.155,8.9,0.38,inconclusive,10000,20260830,4,-0.379,agreement
S1_S2,M,26,2023,2026,0.025,-0.032,0.452,38.462,-0.138,0.197,-0.199,0.14,61.34,13.15,inconclusive,10000,20260830,4,26,26,2023,2026,2023,2026,6.622,6.597,0.025,6.615,6.592,0.023,-0.197,0.241,-0.16,0.288,59.3,59.94,inconclusive,10000,20260830,4,0.0,agreement
S1_S2,T,15,2023,2026,0.554,0.683,0.416,93.333,0.326,0.73,0.43,0.72,100.0,100.0,biochar_higher,10000,20260830,4,26,15,2023,2026,2023,2026,7.435,6.871,0.564,7.473,6.868,0.605,0.289,0.823,0.4,0.869,100.0,100.0,biochar_higher,10000,20260830,4,0.01,agreement
S3_S4,B,17,2023,2026,-0.457,-0.623,0.961,23.529,-0.863,0.022,-1.027,-0.345,2.99,0.86,inconclusive,10000,20260830,4,43,20,2023,2026,2023,2026,5.386,6.286,-0.899,5.334,6.634,-1.3,-1.401,-0.333,-1.839,-0.589,0.2,0.23,control_higher,10000,20260830,4,-0.442,inconclusive__vs__control_higher
S3_S4,M,12,2023,2026,0.833,0.712,0.538,100.0,0.566,1.145,0.397,0.894,100.0,100.0,biochar_higher,10000,20260830,4,17,40,2023,2026,2023,2026,6.08,5.334,0.746,6.227,5.393,0.834,0.312,1.14,0.457,1.173,99.9,99.99,biochar_higher,10000,20260830,4,-0.087,agreement
S3_S4,T,33,2023,2026,0.765,0.729,0.486,96.97,0.609,0.931,0.532,0.947,100.0,100.0,biochar_higher,10000,20260830,4,35,46,2023,2026,2023,2026,7.028,6.305,0.723,7.094,6.403,0.692,0.526,0.907,0.572,0.862,100.0,100.0,biochar_higher,10000,20260830,4,-0.042,agreement
