pair,logger_position,result_interpretation,statistical_repeatability,matched_event_count,best_mean_difference_in,best_ci_95_low_in,best_ci_95_high_in,matched_bootstrap_support_pct,unmatched_biochar_complete_profile_count,unmatched_control_complete_profile_count,unmatched_mean_difference_in,unmatched_bootstrap_mean_ci_95_low_in,unmatched_bootstrap_mean_ci_95_high_in,direction_comparison,causal_confidence,known_site_context
S1_S2,B,no_clear_difference,low,18,-0.097,-0.707,0.602,62.81,21,27,-0.476,-1.14,0.204,agreement,limited_single_strip_per_treatment,Historical LiDAR microtopography and later soil placement near S1B.
S1_S2,M,no_clear_difference,low,26,0.025,-0.138,0.197,61.34,26,26,0.025,-0.197,0.241,agreement,limited_single_strip_per_treatment,No additional location-specific issue documented.
S1_S2,T,biochar_higher,strong,15,0.554,0.326,0.73,100.0,26,15,0.564,0.289,0.823,agreement,limited_single_strip_per_treatment,No additional location-specific issue documented.
S3_S4,B,suggestive_control_higher,moderate,17,-0.457,-0.863,0.022,97.01,43,20,-0.899,-1.401,-0.333,inconclusive__vs__control_higher,limited_single_strip_per_treatment,Irrigation ditch east of S4 plus an intermittently leaking pipe near S4B.
S3_S4,M,biochar_higher,strong,12,0.833,0.566,1.145,100.0,17,40,0.746,0.312,1.14,agreement,limited_single_strip_per_treatment,Intermittently operated irrigation ditch east of S4 may affect S4.
S3_S4,T,biochar_higher,strong,33,0.765,0.609,0.931,100.0,35,46,0.723,0.526,0.907,agreement,limited_single_strip_per_treatment,Intermittently operated irrigation ditch east of S4 may affect S4.
