year,strip_group,location,strip,event_id,sensor_col,depth_index,depth_inches,logger_position,irrigation_start,irrigation_end,gallons_group,gallons_strip,event_duration_hours,avg_flow_gph_strip,baseline_vwc,peak_vwc,peak_increase,plateau_vwc,plateau_method,bottom_response_delay_hr,time_to_peak_hours,time_to_plateau_hours,lag_after_irrigation_hr,profile_baseline_storage_gal,profile_plateau_storage_gal,event_storage_gal,efficiency_strip,estimated_loss_gal_strip,local_water_diagnostic_method,sensor_profile_baseline_cs650_water_gal,sensor_profile_plateau_cs650_water_gal,sensor_profile_delta_cs650_water_gal,sensor_profile_baseline_legacy_swc_gal,sensor_profile_plateau_legacy_swc_gal,sensor_profile_delta_legacy_swc_gal
2026.00,S1_S2,west,S1,2026-04-21_S1_S2_001c30f6,VWC_1_raw_S1_B,1,6.00,B,2026-04-21 14:54:00,2026-04-22 08:52:00,221700.00,110850.00,17.97,6169.76,14.73,34.73,20.00,29.70,flat_segment,13.35,13.35,27.60,9.63,7181.33,15430.68,8249.35,0.07,102600.65,cs650_approximate_sensing_volume,0.82,1.78,0.96,0.05,0.11,0.06
2026.00,S1_S2,west,S1,2026-04-21_S1_S2_001c30f6,VWC_2_raw_S1_B,2,12.00,B,2026-04-21 14:54:00,2026-04-22 08:52:00,221700.00,110850.00,17.97,6169.76,13.03,37.26,24.23,32.63,flat_segment,17.35,17.35,31.10,13.13,7181.33,15430.68,8249.35,0.07,102600.65,cs650_approximate_sensing_volume,0.82,1.75,0.93,0.05,0.11,0.06
2026.00,S1_S2,west,S1,2026-04-21_S1_S2_001c30f6,VWC_3_raw_S1_B,3,18.00,B,2026-04-21 14:54:00,2026-04-22 08:52:00,221700.00,110850.00,17.97,6169.76,11.92,28.68,16.75,22.94,flat_segment,20.35,20.35,29.35,11.38,7181.33,15430.68,8249.35,0.07,102600.65,cs650_approximate_sensing_volume,0.82,1.77,0.95,0.05,0.11,0.06
2026.00,S1_S2,west,S1,2026-05-20_S1_S2_49743b7c,VWC_1_raw_S1_B,1,6.00,B,2026-05-20 11:23:00,2026-05-20 17:53:00,108800.00,54400.00,6.50,8369.23,17.05,32.15,15.10,30.43,flat_segment,11.37,11.37,19.12,12.62,8647.94,14698.64,6050.69,0.11,48349.31,cs650_approximate_sensing_volume,0.98,1.66,0.68,0.06,0.11,0.04
2026.00,S1_S2,west,S1,2026-05-20_S1_S2_49743b7c,VWC_2_raw_S1_B,2,12.00,B,2026-05-20 11:23:00,2026-05-20 17:53:00,108800.00,54400.00,6.50,8369.23,17.50,32.61,15.11,32.51,flat_segment,15.62,15.62,15.87,9.37,8647.94,14698.64,6050.69,0.11,48349.31,cs650_approximate_sensing_volume,0.98,1.67,0.68,0.06,0.11,0.04
2026.00,S1_S2,west,S1,2026-05-20_S1_S2_49743b7c,VWC_3_raw_S1_B,3,18.00,B,2026-05-20 11:23:00,2026-05-20 17:53:00,108800.00,54400.00,6.50,8369.23,13.24,18.33,5.09,18.27,flat_segment,23.12,23.12,23.37,16.87,8647.94,14698.64,6050.69,0.11,48349.31,cs650_approximate_sensing_volume,0.98,1.65,0.67,0.06,0.11,0.04
2026.00,S1_S2,west,S1,2026-06-20_S1_S2_ba82572f,VWC_1_raw_S1_B,1,6.00,B,2026-06-20 08:00:00,2026-06-20 17:03:00,131400.00,65700.00,9.05,7259.67,15.04,36.84,21.81,32.37,flat_segment,14.25,14.25,26.00,16.95,6428.75,15556.18,9127.43,0.14,56572.57,cs650_approximate_sensing_volume,0.73,1.74,1.00,0.05,0.11,0.06
2026.00,S1_S2,west,S1,2026-06-20_S1_S2_ba82572f,VWC_2_raw_S1_B,2,12.00,B,2026-06-20 08:00:00,2026-06-20 17:03:00,131400.00,65700.00,9.05,7259.67,11.87,37.66,25.79,37.63,flat_segment,17.75,17.75,18.00,8.95,6428.75,15556.18,9127.43,0.14,56572.57,cs650_approximate_sensing_volume,0.73,1.81,1.08,0.05,0.12,0.07
2026.00,S1_S2,west,S1,2026-06-20_S1_S2_ba82572f,VWC_3_raw_S1_B,3,18.00,B,2026-06-20 08:00:00,2026-06-20 17:03:00,131400.00,65700.00,9.05,7259.67,8.61,15.82,7.20,15.97,flat_segment,24.00,24.00,25.00,15.95,6428.75,15556.18,9127.43,0.14,56572.57,cs650_approximate_sensing_volume,0.73,1.74,1.01,0.05,0.11,0.06
2026.00,S1_S2,west,S1,2026-06-27_S1_S2_be4e641a,VWC_1_raw_S1_B,1,6.00,B,2026-06-27 11:05:00,2026-06-27 16:34:00,67022.00,33511.00,5.48,6111.43,29.37,35.66,6.29,32.25,flat_segment,9.17,9.17,21.42,15.93,13392.09,16485.85,3093.75,0.09,30417.25,cs650_approximate_sensing_volume,1.52,1.85,0.32,0.10,0.12,0.02
