year,date,pair,regime,event_id,biochar,control,applied_gal,bio_storage_ok,ctrl_storage_ok,matched_storage_ok,bio_storage_gal,ctrl_storage_gal,storage_diff_gal,bio_storage_pct,ctrl_storage_pct,storage_diff_pct,matched_unretained_ok,bio_unretained_gal,ctrl_unretained_gal,unretained_diff_gal,bio_unretained_pct,ctrl_unretained_pct,unretained_diff_pct,bio_arrival_hr,ctrl_arrival_hr,arrival_diff_hr
2025,2025-05-28,S1_S2,monthly,2025-05-28_S1_S2_ca363c43,S1,S2,64250.00,True,True,True,13039.00,31147.00,-18108.00,20.29,48.48,-28.19,True,51211.00,33103.00,18108.00,79.71,51.52,28.19,7.78,5.78,2.00
2025,2025-06-27,S1_S2,monthly,2025-06-27_S1_S2_ff537961,S1,S2,95500.00,True,True,True,30178.00,42403.00,-12225.00,31.60,44.40,-12.80,False,,,,,,,9.20,4.95,4.25
2025,2025-07-26,S1_S2,monthly,2025-07-26_S1_S2_98e2053f,S1,S2,53225.00,True,True,True,26026.00,35267.00,-9241.00,48.90,66.26,-17.36,True,27199.00,17958.00,9241.00,51.10,33.74,17.36,7.25,5.50,1.75
2025,2025-08-22,S1_S2,monthly,2025-08-22_S1_S2_9f8675d7,S1,S2,30625.00,True,True,True,22927.00,30520.00,-7593.00,74.86,99.66,-24.80,True,7698.00,105.00,7593.00,25.14,0.34,24.80,11.63,7.38,4.25
2025,2025-09-20,S1_S2,monthly,2025-09-20_S1_S2_81d8ab0f,S1,S2,86100.00,True,True,True,20303.00,29833.00,-9530.00,23.58,34.65,-11.07,True,65797.00,56267.00,9530.00,76.42,65.35,11.07,6.55,4.05,2.50
2025,2025-04-20,S3_S4,biweekly,2025-04-20_S3_S4_ead0e049,S3,S4,132300.00,False,True,False,,32514.00,,,24.58,,False,,,,,,,1.25,5.50,-4.25
2025,2025-05-02,S3_S4,biweekly,2025-05-02_S3_S4_3cb33cbf,S3,S4,76750.00,False,True,False,,15073.00,,,19.64,,False,,,,,,,0.83,6.33,-5.50
2025,2025-05-28,S3_S4,biweekly,2025-05-28_S3_S4_120d46ab,S3,S4,64250.00,False,False,False,,,,,,,False,,,,,,,1.28,4.78,-3.50
2025,2025-06-13,S3_S4,biweekly,2025-06-13_S3_S4_29345c78,S3,S4,56900.00,False,True,False,,19972.00,,,35.10,,False,,,,,,,1.43,3.93,-2.50
2025,2025-06-28,S3_S4,biweekly,2025-06-28_S3_S4_d9252a87,S3,S4,43550.00,False,True,False,,15957.00,,,36.64,,False,,,,,,,1.92,1.92,0.00
2025,2025-07-11,S3_S4,biweekly,2025-07-11_S3_S4_e179d57e,S3,S4,46400.00,False,True,False,,16105.00,,,34.71,,False,,,,,,,1.75,3.00,-1.25
2025,2025-07-26,S3_S4,biweekly,2025-07-26_S3_S4_b4053dcf,S3,S4,53225.00,False,True,False,,21239.00,,,39.90,,False,,,,,,,2.50,6.75,-4.25
