year,strip,depth_inches,n_events,rec_runtime_hours,rec_runtime_minutes,rec_runtime_is_trustworthy,actual_runtime_hours,actual_runtime_minutes,source_time_col,summary_stat,median_avg_flow_gph_strip,median_lag_after_irrigation_hr
2026.00,S1,6.00,6.00,25.04,1502.50,True,6.90,414.00,time_to_plateau_hours,median,6255.67,16.36
2026.00,S1,12.00,6.00,21.88,1312.50,True,6.90,414.00,time_to_plateau_hours,median,6255.67,14.16
2026.00,S1,18.00,6.00,23.60,1416.00,True,6.90,414.00,time_to_plateau_hours,median,6255.67,13.67
2026.00,S2,6.00,6.00,13.29,797.50,True,6.90,414.00,time_to_plateau_hours,median,6255.67,6.00
2026.00,S2,12.00,6.00,20.35,1221.00,True,6.90,414.00,time_to_plateau_hours,median,6255.67,9.12
2026.00,S2,18.00,6.00,12.43,746.00,True,6.90,414.00,time_to_plateau_hours,median,6255.67,5.75
2026.00,S3,6.00,8.00,10.75,645.00,True,6.82,409.00,time_to_plateau_hours,median,7259.67,1.29
2026.00,S3,12.00,8.00,15.09,905.50,True,6.82,409.00,time_to_plateau_hours,median,7259.67,8.70
2026.00,S3,18.00,8.00,10.89,653.50,True,6.82,409.00,time_to_plateau_hours,median,7259.67,3.37
2026.00,S4,6.00,9.00,20.10,1206.00,True,6.82,409.00,time_to_plateau_hours,median,7259.67,12.85
2026.00,S4,12.00,8.00,20.55,1233.00,True,6.82,409.00,time_to_plateau_hours,median,7259.67,10.93
2026.00,S4,18.00,8.00,15.54,932.50,True,6.82,409.00,time_to_plateau_hours,median,7259.67,7.44
