year,strip_group,location,strip,event_id,sensor_col,depth_index,depth_inches,logger_position,irrigation_start,irrigation_end,gallons_group,gallons_strip,event_duration_hours,avg_flow_gph_strip,baseline_vwc,peak_vwc,peak_increase,plateau_vwc,plateau_method,bottom_response_delay_hr,time_to_peak_hours,time_to_plateau_hours,lag_after_irrigation_hr,profile_baseline_storage_gal,profile_plateau_storage_gal,event_storage_gal,efficiency_strip,estimated_loss_gal_strip
2023.00,S1_S2,west,S1,2023-09-21_S1_S2_6dbb0789,VWC_1_raw_S1_B,1,6.00,B,2023-09-21 09:07:00,2023-09-21 16:09:00,75300.00,37650.00,7.03,5353.08,21.63,21.89,0.26,,no_peak,4.63,4.63,,,14427.81,10844.88,332.00,0.01,37318.00
2023.00,S1_S2,west,S1,2023-09-21_S1_S2_6dbb0789,VWC_2_raw_S1_B,2,12.00,B,2023-09-21 09:07:00,2023-09-21 16:09:00,75300.00,37650.00,7.03,5353.08,25.68,26.56,0.87,26.46,flat_segment,16.13,16.13,16.38,9.35,14427.81,10844.88,332.00,0.01,37318.00
2023.00,S1_S2,west,S1,2023-09-21_S1_S2_6dbb0789,VWC_3_raw_S1_B,3,18.00,B,2023-09-21 09:07:00,2023-09-21 16:09:00,75300.00,37650.00,7.03,5353.08,32.41,33.33,0.93,33.47,flat_segment,23.88,23.88,26.13,19.10,14427.81,10844.88,332.00,0.01,37318.00
2023.00,S1_S2,west,S2,2023-05-23_S1_S2_176caf9a,VWC_1_raw_S2_B,1,6.00,B,2023-05-23 15:25:00,2023-05-23 19:19:00,145000.00,72500.00,3.90,18589.74,8.89,39.26,30.37,34.34,flat_segment,5.58,5.58,17.08,13.18,4100.79,18386.26,14285.47,0.20,58214.53
2023.00,S1_S2,west,S2,2023-05-23_S1_S2_176caf9a,VWC_2_raw_S2_B,2,12.00,B,2023-05-23 15:25:00,2023-05-23 19:19:00,145000.00,72500.00,3.90,18589.74,7.60,36.30,28.70,33.24,flat_segment,6.08,6.08,13.08,9.18,4100.79,18386.26,14285.47,0.20,58214.53
2023.00,S1_S2,west,S2,2023-05-23_S1_S2_176caf9a,VWC_3_raw_S2_B,3,18.00,B,2023-05-23 15:25:00,2023-05-23 19:19:00,145000.00,72500.00,3.90,18589.74,6.17,35.94,29.77,34.02,fallback_window,5.58,5.58,9.58,5.68,4100.79,18386.26,14285.47,0.20,58214.53
2023.00,S1_S2,west,S2,2023-06-01_S1_S2_28dbbfca,VWC_1_raw_S2_B,1,6.00,B,2023-06-01 12:16:00,2023-06-01 18:45:00,67300.00,33650.00,6.48,5190.23,24.28,35.69,11.41,32.85,flat_segment,7.73,7.73,13.98,7.50,13760.74,17997.07,4236.33,0.13,29413.67
2023.00,S1_S2,west,S2,2023-06-01_S1_S2_28dbbfca,VWC_2_raw_S2_B,2,12.00,B,2023-06-01 12:16:00,2023-06-01 18:45:00,67300.00,33650.00,6.48,5190.23,25.94,34.05,8.11,31.46,flat_segment,7.98,7.98,12.73,6.25,13760.74,17997.07,4236.33,0.13,29413.67
2023.00,S1_S2,west,S2,2023-06-01_S1_S2_28dbbfca,VWC_3_raw_S2_B,3,18.00,B,2023-06-01 12:16:00,2023-06-01 18:45:00,67300.00,33650.00,6.48,5190.23,25.82,39.06,13.24,35.14,fallback_window,7.73,7.73,11.73,5.25,13760.74,17997.07,4236.33,0.13,29413.67
2023.00,S1_S2,west,S2,2023-06-26_S1_S2_69e5d9b6,VWC_1_raw_S2_B,1,6.00,B,2023-06-26 09:31:00,2023-06-26 16:02:00,89400.00,44700.00,6.52,6859.34,8.58,41.14,32.55,31.18,flat_segment,7.98,7.98,22.23,15.72,4652.94,17531.79,12878.85,0.29,31821.15
2023.00,S1_S2,west,S2,2023-06-26_S1_S2_69e5d9b6,VWC_2_raw_S2_B,2,12.00,B,2023-06-26 09:31:00,2023-06-26 16:02:00,89400.00,44700.00,6.52,6859.34,7.16,36.69,29.53,31.14,flat_segment,7.48,7.48,17.23,10.72,4652.94,17531.79,12878.85,0.29,31821.15
2023.00,S1_S2,west,S2,2023-06-26_S1_S2_69e5d9b6,VWC_3_raw_S2_B,3,18.00,B,2023-06-26 09:31:00,2023-06-26 16:02:00,89400.00,44700.00,6.52,6859.34,9.97,40.79,30.82,34.55,fallback_window,7.98,7.98,11.98,5.47,4652.94,17531.79,12878.85,0.29,31821.15
2023.00,S1_S2,west,S2,2023-07-17_S1_S2_ae0a89b4,VWC_1_raw_S2_B,1,6.00,B,2023-07-17 08:04:00,2023-07-17 16:04:00,120900.00,60450.00,8.00,7556.25,8.55,39.97,31.42,36.38,fallback_window,8.43,8.43,12.43,4.43,4116.08,19191.95,15075.88,0.25,45374.12
2023.00,S1_S2,west,S2,2023-07-17_S1_S2_ae0a89b4,VWC_2_raw_S2_B,2,12.00,B,2023-07-17 08:04:00,2023-07-17 16:04:00,120900.00,60450.00,8.00,7556.25,6.93,35.23,28.30,35.19,flat_segment,8.43,8.43,8.68,0.68,4116.08,19191.95,15075.88,0.25,45374.12
2023.00,S1_S2,west,S2,2023-07-17_S1_S2_ae0a89b4,VWC_3_raw_S2_B,3,18.00,B,2023-07-17 08:04:00,2023-07-17 16:04:00,120900.00,60450.00,8.00,7556.25,7.27,36.85,29.58,34.48,fallback_window,9.43,9.43,13.43,5.43,4116.08,19191.95,15075.88,0.25,45374.12
2023.00,S1_S2,west,S2,2023-08-05_S1_S2_efaa9d14,VWC_1_raw_S2_B,1,6.00,B,2023-08-05 08:48:00,2023-08-05 14:56:00,98500.00,49250.00,6.13,8029.89,9.63,39.85,30.22,30.38,flat_segment,7.45,7.45,20.95,14.82,6656.05,17228.11,10572.06,0.21,38677.94
2023.00,S1_S2,west,S2,2023-08-05_S1_S2_efaa9d14,VWC_2_raw_S2_B,2,12.00,B,2023-08-05 08:48:00,2023-08-05 14:56:00,98500.00,49250.00,6.13,8029.89,8.92,35.98,27.07,29.81,flat_segment,7.70,7.70,17.45,11.32,6656.05,17228.11,10572.06,0.21,38677.94
2023.00,S1_S2,west,S2,2023-08-05_S1_S2_efaa9d14,VWC_3_raw_S2_B,3,18.00,B,2023-08-05 08:48:00,2023-08-05 14:56:00,98500.00,49250.00,6.13,8029.89,18.23,39.66,21.43,35.01,fallback_window,7.70,7.70,11.70,5.57,6656.05,17228.11,10572.06,0.21,38677.94
