year,strip,depth_inches,n_events,rec_runtime_hours,rec_runtime_minutes,rec_runtime_is_trustworthy,actual_runtime_hours,actual_runtime_minutes,source_time_col,summary_stat,median_avg_flow_gph_strip,median_lag_after_irrigation_hr
2024.00,S1,6.00,7.00,18.42,1105.00,True,8.82,529.00,time_to_plateau_hours,median,6723.04,9.23
2024.00,S1,12.00,6.00,15.98,959.00,True,8.82,529.00,time_to_plateau_hours,median,6723.04,7.48
2024.00,S1,18.00,6.00,17.76,1065.50,True,8.82,529.00,time_to_plateau_hours,median,6723.04,7.45
2024.00,S2,6.00,6.00,15.04,902.50,True,8.82,529.00,time_to_plateau_hours,median,6723.04,4.63
2024.00,S2,12.00,6.00,16.49,989.50,True,8.82,529.00,time_to_plateau_hours,median,6723.04,6.73
2024.00,S2,18.00,6.00,15.88,953.00,True,8.82,529.00,time_to_plateau_hours,median,6723.04,4.73
2024.00,S3,6.00,14.00,15.27,916.00,True,7.01,420.50,time_to_plateau_hours,median,6501.07,10.21
2024.00,S3,12.00,14.00,15.66,939.50,True,7.01,420.50,time_to_plateau_hours,median,6501.07,9.15
2024.00,S3,18.00,14.00,11.72,703.00,True,7.01,420.50,time_to_plateau_hours,median,6501.07,4.57
2024.00,S4,6.00,9.00,18.73,1124.00,True,7.01,420.50,time_to_plateau_hours,median,6501.07,11.65
2024.00,S4,12.00,10.00,16.46,987.50,True,7.01,420.50,time_to_plateau_hours,median,6501.07,10.35
2024.00,S4,18.00,6.00,14.91,894.50,True,7.01,420.50,time_to_plateau_hours,median,6501.07,9.03
