year,strip_group,location,strip,event_id,irrigation_start,irrigation_end,gallons_strip,event_duration_hours,avg_flow_gph_strip,bottom_zone_storage_gal_0_18in,middle_zone_storage_gal_0_18in,top_zone_storage_gal_0_18in,n_zones_with_valid_storage,complete_three_zone_coverage,n_zones_with_storage,estimated_storage_gal_strip_0_18in,water_balance_residual_gal_strip,storage_exceeds_applied_water,unretained_gal_strip,estimated_storage_fraction_0_18in,unretained_fraction,whole_strip_storage_estimate_available
2023,S3_S4,east,S4,2023-06-27_S3_S4_87f629e2,2023-06-27 07:53:00,2023-06-27 16:14:00,67850.00,8.35,8125.75,,5540.14,9762.41,2,False,2,,,False,,,,False
2023,S3_S4,east,S4,2023-07-07_S3_S4_bf19b251,2023-07-07 07:46:00,2023-07-07 15:46:00,64250.00,8.00,8031.25,,6052.87,10265.85,2,False,2,,,False,,,,False
2023,S3_S4,east,S4,2023-07-17_S3_S4_a04fe807,2023-07-17 19:19:00,2023-07-18 05:53:00,80450.00,10.57,7613.56,6064.40,8636.80,11547.74,3,True,3,26248.93,54201.07,False,54201.07,0.33,0.67,True
2023,S3_S4,east,S4,2023-08-05_S3_S4_0f92146d,2023-08-05 08:51:00,2023-08-05 11:03:00,18300.00,2.20,8318.18,,,4826.99,1,False,1,,,False,,,,False
2023,S3_S4,east,S4,2023-08-10_S3_S4_7fce3d7b,2023-08-10 13:57:00,2023-08-10 19:37:00,52850.00,5.67,9326.47,6870.00,7633.50,8978.79,3,True,3,23482.29,29367.71,False,29367.71,0.44,0.56,True
2023,S3_S4,east,S4,2023-08-24_S3_S4_a4b6ae2a,2023-08-24 13:47:00,2023-08-24 18:16:00,30125.00,4.48,6719.33,,,8966.36,1,False,1,,,False,,,,False
2023,S3_S4,east,S4,2023-09-07_S3_S4_ea877a99,2023-09-07 07:38:00,2023-09-07 18:19:00,78850.00,10.68,7380.66,,10486.98,10457.38,2,False,2,,,False,,,,False
2023,S3_S4,east,S4,2023-09-22_S3_S4_157133f5,2023-09-22 07:20:00,2023-09-22 16:18:00,72300.00,8.97,8063.20,,7333.24,10461.45,2,False,2,,,False,,,,False
2024,S1_S2,west,S1,2024-04-20_S1_S2_5f2fb725,2024-04-20 10:11:00,2024-04-20 17:54:00,62950.00,7.72,8157.67,15626.36,11704.67,15749.78,3,True,3,43080.81,19869.19,False,19869.19,0.68,0.32,True
2024,S1_S2,west,S1,2024-06-01_S1_S2_ef46e32f,2024-06-01 18:05:00,2024-06-02 07:46:00,81250.00,13.68,5937.88,7348.85,10750.18,15161.63,3,True,3,33260.65,47989.35,False,47989.35,0.41,0.59,True
2024,S1_S2,west,S1,2024-06-22_S1_S2_e95bd875,2024-06-22 08:00:00,2024-06-22 15:49:00,47100.00,7.82,6025.59,10201.79,10217.22,13784.75,3,True,3,34203.77,12896.23,False,12896.23,0.73,0.27,True
2024,S1_S2,west,S1,2024-07-20_S1_S2_6d735351,2024-07-20 08:54:00,2024-07-20 17:43:00,55550.00,8.82,6300.57,14927.59,12871.75,15567.85,3,True,3,43367.19,12182.81,False,12182.81,0.78,0.22,True
