year,strip_group,location,strip,logger_position,sensor_col,depth_index,depth_inches,n_trustworthy_events,mean_bottom_response_delay_hr,sd_bottom_response_delay_hr,mean_time_to_peak_hours,sd_time_to_peak_hours,mean_time_to_plateau_hours,sd_time_to_plateau_hours,mean_event_duration_hours,sd_event_duration_hours,mean_gallons_strip,sd_gallons_strip,mean_baseline_vwc,sd_baseline_vwc,mean_peak_vwc,sd_peak_vwc,mean_peak_increase,sd_peak_increase,mean_plateau_vwc,sd_plateau_vwc,min_plateau_vwc,max_plateau_vwc,mean_event_layer_storage_in,sd_event_layer_storage_in,mean_event_layer_storage_gal_scaled,sd_event_layer_storage_gal_scaled,diagnostic_profile_area_sqft,diagnostic_profile_gallons_per_inch,mean_event_layer_storage_gal_check
2023,S1_S2,west,S2,T,VWC_2_raw_S2_T,2,12,6,10.783,1.5965,10.783,1.5965,14.7413,2.9391,6.608,1.2352,42637.5,11202.4746,19.2042,4.9191,43.5077,1.1173,24.3034,3.9306,39.9973,0.984,38.063,40.8715,1.2476,0.296,4168.743,989.1269,5363.4833,3341.4501,4168.8489
2023,S1_S2,west,S2,T,VWC_3_raw_S2_T,3,18,5,10.6433,1.5944,10.6433,1.5944,16.1933,4.9985,6.4333,1.2956,44435.0,11516.8029,22.6218,2.2764,39.4558,0.6514,16.834,2.7264,37.8635,2.0916,35.4695,40.0875,0.9145,0.2454,3055.7628,819.9138,5363.4833,3341.4501,3055.7561
2023,S3_S4,east,S3,B,VWC_1_raw_S3_B,1,6,12,9.0153,3.2848,9.0153,3.2848,16.3903,4.98,7.1542,2.6667,55110.4167,22348.3461,14.2571,4.3854,34.9773,2.5813,20.7202,3.6883,32.071,2.5875,27.915,37.0555,1.0688,0.2884,3571.4588,963.6522,5363.4833,3341.4501,3571.4254
2023,S3_S4,east,S3,B,VWC_2_raw_S3_B,2,12,12,10.2444,4.9202,10.2444,4.9202,16.7028,4.8806,7.1542,2.6667,55110.4167,22348.3461,16.918,5.1933,32.0479,4.8912,15.1299,4.4472,29.419,4.1114,17.0635,33.1255,0.7501,0.2542,2506.2964,849.5938,5363.4833,3341.4501,2506.3104
2023,S3_S4,east,S3,B,VWC_3_raw_S3_B,3,18,12,8.4944,2.8606,8.4944,2.8606,12.8694,3.7118,7.1542,2.6667,55110.4167,22348.3461,12.7334,3.0926,26.9178,4.3664,14.1844,2.4651,23.0756,3.8243,14.796,31.206,0.6205,0.1703,2073.4784,569.0016,5363.4833,3341.4501,2073.4812
2023,S3_S4,east,S3,T,VWC_1_raw_S3_T,1,6,10,7.3317,2.4224,7.3317,2.4224,8.9817,2.8087,7.5467,2.7007,55427.5,22866.2793,15.8194,2.9285,41.03,0.8294,25.2106,2.9008,40.5024,1.0074,38.282,42.353,1.481,0.1762,4948.6007,588.8384,5363.4833,3341.4501,4948.6208
2023,S3_S4,east,S3,T,VWC_2_raw_S3_T,2,12,12,7.3903,2.7807,7.3903,2.7807,12.9528,3.4498,7.1542,2.6667,55110.4167,22348.3461,24.1314,4.0145,38.2055,1.0684,14.0741,3.5261,36.1312,1.3458,32.6685,37.8675,0.72,0.2699,2405.8107,901.8893,5363.4833,3341.4501,2405.8441
2023,S3_S4,east,S3,T,VWC_3_raw_S3_T,3,18,12,7.7444,2.7204,7.7444,2.7204,15.2236,6.6976,7.1542,2.6667,55110.4167,22348.3461,35.0233,3.1901,46.7373,1.2676,11.714,2.9919,43.1852,2.7959,39.7205,47.3295,0.4897,0.1529,1636.3666,510.8111,5363.4833,3341.4501,1636.3917
2023,S3_S4,east,S4,B,VWC_1_raw_S4_B,1,6,3,12.9,10.5535,12.9,10.5535,19.2083,1.591,6.4833,2.5834,57050.0,20696.0745,9.2205,3.192,20.3057,6.5504,11.0852,9.6154,24.0213,0.7831,23.4675,24.575,0.9949,0.0226,3324.4254,75.632,5363.4833,3341.4501,3324.4087
2023,S3_S4,east,S4,B,VWC_2_raw_S4_B,2,12,3,12.2666,4.1102,12.2666,4.1102,20.2583,6.6114,8.7056,2.0655,59433.3333,23697.1693,22.8512,1.7399,26.3803,4.0775,3.5292,2.6636,28.5652,1.177,27.733,29.3975,0.296,0.0221,988.852,73.7891,5363.4833,3341.4501,988.9022
2023,S3_S4,east,S4,B,VWC_3_raw_S4_B,3,18,4,20.7208,4.1648,20.7208,4.1648,26.95,10.5506,7.5042,2.9356,62900.0,20553.3858,12.6578,2.8919,15.5395,7.1483,2.8818,4.3888,17.2423,6.9918,10.48,24.443,0.263,0.2129,878.5675,711.3981,5363.4833,3341.4501,878.69
2023,S3_S4,east,S4,M,VWC_1_raw_S4_M,1,6,12,10.7653,6.3917,10.7653,6.3917,19.0394,4.5241,7.1542,2.6667,55110.4167,22348.3461,9.75,3.3552,26.2692,9.7165,16.5192,10.9167,24.5015,6.4752,9.224,30.052,0.8858,0.4737,2959.8535,1582.7212,5363.4833,3341.4501,2959.8261
2023,S3_S4,east,S4,M,VWC_2_raw_S4_M,2,12,11,10.9712,5.3031,10.9712,5.3031,16.8167,5.8918,7.1242,2.7948,57829.5455,21255.5193,11.1411,3.2604,22.3754,8.3057,11.2342,8.3504,22.5741,2.4566,17.452,24.854,0.7009,0.1671,2342.1644,558.18,5363.4833,3341.4501,2342.1059
2023,S3_S4,east,S4,M,VWC_3_raw_S4_M,3,18,12,13.8069,10.6576,13.8069,10.6576,21.0354,5.1945,7.1542,2.6667,55110.4167,22348.3461,14.4318,3.92,19.2721,5.7765,4.8403,5.243,20.937,3.7989,17.1925,27.831,0.3975,0.2606,1328.2765,870.6356,5363.4833,3341.4501,1328.31
2023,S3_S4,east,S4,T,VWC_1_raw_S4_T,1,6,6,4.2194,2.3487,4.2194,2.3487,10.5133,5.1688,5.6028,2.5315,40795.8333,22416.1014,10.9718,4.692,31.956,12.3912,20.9842,14.7057,30.2581,3.8108,25.723,33.9515,1.1634,0.5018,3887.3829,1676.6741,5363.4833,3341.4501,3887.3762
2023,S3_S4,east,S4,T,VWC_2_raw_S4_T,2,12,7,11.1929,7.2463,11.1929,7.2463,17.6571,5.5336,6.2071,2.7329,51389.2857,23123.1119,17.9118,2.0901,32.6513,9.197,14.7395,9.6823,28.7114,5.6963,19.6315,35.2295,0.648,0.3732,2165.1737,1246.9174,5363.4833,3341.4501,2165.1642
2023,S3_S4,east,S4,T,VWC_3_raw_S4_T,3,18,7,6.2167,4.737,6.2167,4.737,14.5967,4.6909,6.719,2.5588,44517.8571,22669.1913,25.5698,1.3135,34.8286,5.5364,9.2588,6.5317,31.388,2.1437,27.729,33.376,0.3886,0.1218,1298.5343,407.1362,5363.4833,3341.4501,1298.4875
