strip,treatment,pair,logger_position,depth_index,depth_inches,sensor_col,eligible_event_count,empirical_max_retained_vwc,retained_vwc_p90,retained_vwc_median,retained_vwc_sd,first_eligible_year,last_eligible_year,available_sources,highest_observed_source,highest_observed_event_id,highest_observed_timestamp,max_minus_p90_vwc,max_minus_p90_pct,max_p90_gap_review,adoption_classification,recommended_upper_retained_vwc,irrigation_source_event_count,precipitation_source_event_count,irrigation_source_max_vwc,precipitation_source_max_vwc,irrigation_source_p90_vwc,precipitation_source_p90_vwc,irrigation_source_median_vwc,precipitation_source_median_vwc,irrigation_source_sd_vwc,precipitation_source_sd_vwc,precip_minus_irrigation_p90_vwc,source_p90_absolute_difference_vwc,source_agreement_classification
S1,biochar,S1_S2,B,1,6.0,VWC_1_raw_S1_B,29,51.96,40.66,31.63,7.68,2023,2026,irrigation+precipitation,irrigation,2024-04-20_S1_S2_5f2fb725,2024-04-21 03:45:11.999999999,11.3,21.74,True,review_max_p90_gap,40.66,17,12,51.96,35.76,44.12,33.9,32.49,29.05,7.54,5.98,-10.22,10.22,divergent_over_5_vwc
S1,biochar,S1_S2,B,2,12.0,VWC_2_raw_S1_B,35,50.46,47.02,32.45,9.33,2023,2026,irrigation+precipitation,irrigation,2023-08-05_S1_S2_efaa9d14,2023-08-06 08:30:00.000000000,3.44,6.81,False,supported,47.02,22,13,50.46,37.51,47.41,32.05,36.12,28.51,8.6,6.57,-15.36,15.36,divergent_over_5_vwc
S1,biochar,S1_S2,B,3,18.0,VWC_3_raw_S1_B,34,49.67,42.5,23.82,11.76,2023,2026,irrigation+precipitation,irrigation,2023-08-05_S1_S2_efaa9d14,2023-08-06 02:45:00.000000000,7.17,14.43,True,review_max_p90_gap,42.5,23,11,49.67,29.25,44.63,25.23,29.55,15.21,12.32,6.42,-19.4,19.4,divergent_over_5_vwc
S1,biochar,S1_S2,M,1,6.0,VWC_1_raw_S1_M,27,41.63,38.57,36.29,4.4,2023,2026,irrigation+precipitation,irrigation,2025-06-27_S1_S2_ff537961,2025-06-28 09:00:00.000000000,3.06,7.35,False,supported,38.57,25,2,41.63,33.24,38.77,31.52,36.39,24.63,1.99,12.18,-7.25,7.25,divergent_over_5_vwc
S1,biochar,S1_S2,M,2,12.0,VWC_2_raw_S1_M,26,39.43,37.47,34.89,2.91,2023,2026,irrigation+precipitation,irrigation,2025-06-27_S1_S2_ff537961,2025-06-28 11:45:00.000000000,1.96,4.98,False,supported,37.47,25,1,39.43,31.89,37.48,31.89,35.03,31.89,2.92,,-5.59,5.59,divergent_over_5_vwc
S1,biochar,S1_S2,M,3,18.0,VWC_3_raw_S1_M,32,41.98,40.54,38.7,4.03,2023,2026,irrigation+precipitation,irrigation,2025-06-27_S1_S2_ff537961,2025-06-28 12:30:00.000000000,1.44,3.43,False,supported,40.54,26,6,41.98,38.8,41.0,37.06,39.32,31.85,1.31,5.74,-3.95,3.95,within_5_vwc
S1,biochar,S1_S2,T,1,6.0,VWC_1_raw_S1_T,27,42.84,42.51,41.26,5.38,2023,2026,irrigation+precipitation,irrigation,2024-06-22_S1_S2_e95bd875,2024-06-22 21:00:00.000000000,0.33,0.77,False,supported,42.51,21,6,42.84,38.49,42.58,38.24,41.51,31.55,1.02,6.88,-4.34,4.34,within_5_vwc
S1,biochar,S1_S2,T,2,12.0,VWC_2_raw_S1_T,23,42.44,42.05,38.56,4.16,2023,2026,irrigation+precipitation,irrigation,2024-06-22_S1_S2_e95bd875,2024-06-22 17:30:00.000000000,0.39,0.92,False,supported,42.05,21,2,42.44,34.22,42.06,33.02,38.74,28.19,1.91,8.54,-9.04,9.04,divergent_over_5_vwc
S1,biochar,S1_S2,T,3,18.0,VWC_3_raw_S1_T,21,46.41,45.84,42.91,2.85,2023,2026,irrigation+precipitation,irrigation,2025-04-20_S1_S2_f3457ada,2025-04-21 07:45:00.000000000,0.57,1.23,False,supported,45.84,20,1,46.41,36.49,45.85,36.49,42.92,36.49,2.56,,-9.36,9.36,divergent_over_5_vwc
S2,control,S1_S2,B,1,6.0,VWC_1_raw_S2_B,36,39.2,38.21,30.26,8.15,2023,2026,irrigation+precipitation,irrigation,2024-08-10_S1_S2_de427086,2024-08-10 23:15:12.000000000,0.99,2.53,False,supported,38.21,23,13,39.2,29.49,38.89,27.45,32.85,22.99,3.8,7.39,-11.44,11.44,divergent_over_5_vwc
