year,event_id,pair,biochar_strip,control_strip,irrigation_regime,flow_gph,bio_arrival_T_min,ctrl_arrival_T_min,diff_arrival_T_min,bio_top_to_middle_min,ctrl_top_to_middle_min,diff_top_to_middle_min,bio_middle_to_bottom_min,ctrl_middle_to_bottom_min,diff_middle_to_bottom_min,bio_top_to_bottom_min,ctrl_top_to_bottom_min,diff_top_to_bottom_min,bio_unretained_fraction,ctrl_unretained_fraction,diff_unretained_fraction,bio_unretained_gal_strip,ctrl_unretained_gal_strip,diff_unretained_gal_strip,bio_estimated_storage_fraction_0_18in,ctrl_estimated_storage_fraction_0_18in,diff_estimated_storage_fraction_0_18in,both_arrival_model_eligible,both_unretained_eligible
2024,2024-07-11_S3_S4_d29231ea,S3_S4,S3,S4,biweekly,6100.917431192661,89.0,29.0,60.0,390.0,165.0,225.0,-375.0,,,15.0,,,0.44,,,20556.17,,,0.56,,,False,False
2024,2024-07-26_S3_S4_fd133a4c,S3_S4,S3,S4,biweekly,5831.980519480519,58.0,43.0,15.0,420.0,240.0,180.0,-360.0,495.0,-855.0,60.0,735.0,-675.0,0.53,,,37981.61,,,0.47,,,False,False
2024,2024-08-09_S3_S4_fd100e26,S3_S4,S3,S4,biweekly,6624.293785310734,45.0,45.0,0.0,450.0,225.0,225.0,-375.0,180.0,-555.0,75.0,405.0,-330.0,0.46,,,21430.82,,,0.54,,,True,False
2024,2024-08-23_S3_S4_0b64e5f5,S3_S4,S3,S4,biweekly,5452.0795660036165,58.0,43.0,15.0,420.0,210.0,210.0,-375.0,495.0,-870.0,45.0,705.0,-660.0,0.28,,,8375.64,,,0.72,,,True,False
2024,2024-09-06_S3_S4_9e0ce675,S3_S4,S3,S4,biweekly,7063.492063492064,57.0,42.0,15.0,420.0,165.0,255.0,-375.0,135.0,-510.0,45.0,300.0,-255.0,0.56,,,27549.23,,,0.44,,,True,False
2024,2024-09-20_S3_S4_032d9e33,S3_S4,S3,S4,biweekly,4809.941520467836,48.0,48.0,0.0,465.0,,,-360.0,,,105.0,,,0.0,,,0.0,,,1.23,,,False,False
2024,2024-10-04_S3_S4_bf53dc9a,S3_S4,S3,S4,biweekly,7712.418300653595,35.0,35.0,0.0,420.0,135.0,285.0,-360.0,90.0,-450.0,60.0,225.0,-165.0,0.49,0.49,0.0,23247.49,23076.44,171.0500000000029,0.51,0.51,0.0,True,True
2024,2024-10-18_S3_S4_e3314155,S3_S4,S3,S4,biweekly,6936.5284974093265,41.0,26.0,15.0,420.0,150.0,270.0,-375.0,,,45.0,,,0.61,,,32654.78,,,0.39,,,False,False
2025,2025-04-20_S3_S4_ead0e049,S3_S4,S3,S4,biweekly,5954.095409540954,105.0,45.0,60.0,-30.0,225.0,-255.0,60.0,120.0,-60.0,30.0,345.0,-315.0,0.74,0.75,-0.010000000000000009,98502.98,99104.29,-601.3099999999977,0.26,0.25,0.010000000000000009,True,True
2025,2025-05-02_S3_S4_3cb33cbf,S3_S4,S3,S4,biweekly,5823.2169954476485,154.97,34.97,120.0,-90.0,150.0,-240.0,45.0,255.00000000000003,-210.00000000000003,-45.0,405.0,-450.0,0.73,0.78,-0.050000000000000044,56176.37,59803.37,-3627.0,0.27,0.22,0.05000000000000002,False,True
2025,2025-05-28_S3_S4_120d46ab,S3_S4,S3,S4,biweekly,5127.693535514765,272.0,32.0,240.0,-195.0,210.0,-405.0,60.0,105.0,-45.0,-135.0,315.0,-450.0,0.57,,,36683.33,,,0.43,,,False,False
2025,2025-06-13_S3_S4_29345c78,S3_S4,S3,S4,biweekly,6733.727810650888,116.0,26.0,90.0,-60.0,165.0,-225.0,90.0,105.0,-15.0,30.0,270.0,-240.0,0.57,0.61,-0.040000000000000036,32526.53,34730.37,-2203.840000000004,0.43,0.39,0.03999999999999998,True,True
2025,2025-06-28_S3_S4_d9252a87,S3_S4,S3,S4,biweekly,5869.272237196766,145.0,40.0,105.0,-60.0,150.0,-210.0,90.0,-15.0,105.0,30.0,135.0,-105.0,0.46,0.6,-0.13999999999999996,20010.42,26013.0,-6002.580000000002,0.54,0.4,0.14,False,False
