src_file,leaf,table,frame_len,frame_hex,anchor_off,anchor_sec_le,anchor_iso,signed16_be@20,signed16_be@22,frame_number,tcp_stream
S1M_Table1.tsv,S1M,1,248,bdaffd00011ffd200389130000020000ff59000543074c78415288013e0fb54b3e0762ef41bad83e3e2215e53e521c7441b6fe3d3eb890d53faa0dd141b5e0ca43074ffc415246ad3e0fb38c3e077b6541bbac773e2194923e52007c41b70e063eb837b43fa9e7ce41b5ca3f4307538041521d6a3e0fac8f3e07ca0a41bcdc4fba3e21a98c3e5119cf41b721f53eb82e173fa9c12341b5bcdc564307570441520c393e0fa90f3e07d48741bcdd1cee3e21b9463e50b2b041b7406a3eb7e7513fa9a25541b5b7da43075a884151e6673e0fa5903e08057741bcdde49c3e21aecb3e5127ca41b74f143eb7c8bb3fa96f0041b5a92c011e3fbd,20,2018248515,2053-12-15T08:35:15+00:00,,,21,0
S1M_Table1.tsv,S1M,1,31,bda0016ffd10030ffd091400000600022c790000ff5e0000ffb70000558fbd,12,33555968,1991-01-24T09:06:08+00:00,-162,0,22,0
S1M_Table1.tsv,S1M,1,244,bdaffd00011ffd200389140000020000ff5e000543075e0c4151b6433e0f9e923e089a0241beb3223e21be843e50a4b741b783c43eb7a4093fa9503341b59baa430761904151b2d33e1052943e088f8641bf75b93e21b24a3e50ea9e41b7a4de3eb773f93fa93fd041b58ede43076514415189903e104f153e08d8ec41c052703e21b24a3e50f35b41b7cb453eb754833fa90a8341b59ccc430768984151a5133e10411a3e091d1441c130673e21be843e508e0041b7fec53eb75c613fa9000741b57d3b43076c1c4151596e3e10331f3e0987b041c1f7073e21c0443e508dfe41b83fde3eb6e82a3fa8fdd941b581ba01acacbd,24,1136021825,2025-12-31T09:37:05+00:00,,,24,0
S1M_Table1.tsv,S1M,1,31,bda0016ffd10030ffd091500000600022c790000ff630000ffb700000f00bd,12,33555968,1991-01-24T09:06:08+00:00,-157,0,25,0
S1M_Table1.tsv,S1M,1,246,bdaffd00011ffd200389150000020000ff63000543076fa041518d003e10d0693e09a56541c2c8633e21b0893e50e3a041b8664d3eb6e9e93fa8efa541b581b94307732441517bd03e10e0223e0a57a741c3990e3e21b7873e50cea741b8aaca3eb6ef273fa8ead641b58037430776a84151a1a23e10d5a53e0aab8b41c465513e21a0cf3e51862741b8de5f3eb6e66a3fa8f51c41b57c7043077a2c4151cae53e10cb293e0aea7441c505ab3e2198113e51c19341b930153eb6e58b3fa8f82a41b58c9b43077db04151e6673e115df53e0b6bc741c5bcdce43e21e8753e5234ec41b978bcdd3eb6d3313fa90f8a41b597e501a07cbd,28,1775243326,2046-04-03T19:08:46+00:00,,,27,0
S1M_Table1.tsv,S1M,1,31,bda0016ffd10030ffd091600000600022c790000ff680000ffb700003d63bd,12,33555968,1991-01-24T09:06:08+00:00,-152,0,28,0
S1M_Table1.tsv,S1M,1,245,bdaffd00011ffd200389160000020000ff6800054307813441520fa93e117bac3e0ba03541c661fd3e224c133e52934c41b9b55f3eb6cd123fa9184741b59c6a430784b841525b4e3e116bf13e0c11ce41c6f3b73e2243563e52f8a641b9f8643eb6a5bf3fa955a941b59f604307883c41529ca23e1164f33e0c623241c7a0f53e22355e3e53570641ba3ed43eb701803fa95fb541b5c07c43078bc041531f4b3e118d253e0ca11c41c8165d3e2229203e53be2241ba8d9b3eb703403fa97e8241b5bcdc5d43078f444151abf33e121ab43e0ccccd41c89b653e22adf23e5436ba41bae8743eb6e4aa3fa9b90e41b5c740015606bd,32,899681086,2018-07-05T23:24:46+00:00,,,30,0
S1M_Table1.tsv,S1M,1,31,bda0016ffd10030ffd091700000600022c790000ff6d0000ffb700007644bd,12,33555968,1991-01-24T09:06:08+00:00,-147,0,31,0
S1M_Table1.tsv,S1M,1,246,bdaffd00011ffd200389170000020000ff6d0005430792c84150e4873e1213b73e0cee0241c8ff673e22d7e23e54935a41bb2bee3eb7422a3fa9db2241b5db8f4307964c41506c2f3e120e7b3e0d2b2c41c958063e22cf253e550bee41bb6ea33eb72e123faa046d41b5e616430799d0414fd8563e12093c3e0d5a5c41c9c2f03e22c6693e55475a41bbc1f23eb77cb53faa3d7141b5fb8043079d54414faba43e12077c3e0d615a41c9f7d93e22c4ab3e55aaf941bcdc11ea3eb75f003faa68b241b61bd04307a0d8414f4ecd3e11febe3e0da74141ca1fc53e2378ac3e56095641bcdc501e3eb7b4a23faaa3e441b61812017b43bd,16,83914239,1992-08-29T05:30:39+00:00,,,33,0
S1M_Table1.tsv,S1M,1,31,bda0016ffd10030ffd091800000600022c790000ff720000ffb700009ec7bd,12,33555968,1991-01-24T09:06:08+00:00,-142,0,34,0
S1M_Table1.tsv,S1M,1,253,bdaffd00011ffd200389180000020000ff7200054307a45c414f221a3e1205bcdd3e0d6a1641ca551a3e2371ae3e564d8041bcdc8d313eb798ac3faad85341b641704307a7e0414ef5673e1205bcdd3e0d6bd541ca645a3e2368f13e569de441bcdcd71e3eb7f38c3faaf0c941b6573c4307ab64414ead333e12077d3e0d711341ca68f13e2360353e56e58a41bcdd1b073eb7da343fab21f241b6712e4307aee8414e762f3e1205bcdd3e0d765341ca58903e2353fa3e573cec41bcdd5fbcdd3eb7d9553fab53f741b68bdd4307b26c414e79a03e120cba3e0d519f41ca3de43e23b9553e5782d241bcdd8a023eb819ff3fab7ada41b6a99d018598bd,32,1779252957,2046-05-20T04:55:57+00:00,,,36,0
S1M_Table1.tsv,S1M,1,31,bda0016ffd10030ffd091900000600022c790000ff770000ffb700008d66bd,12,33555968,1991-01-24T09:06:08+00:00,-137,0,37,0
