leaf,table,frame_len,request_mode,n_hint,signed16_be@20,signed16_be@22,anchor_off,anchor_sec_le,anchor_iso,tcp_stream,frame_number,src_file,frame_hex
S3T,1,31,raw,,27418,0,,,,0,34,S3T_Table1.tsv,bda0016ffd10080ffd092500000600022c7900006b1a00006d97000037e8bd
S3T,1,245,,,,,,,,0,36,S3T_Table1.tsv,bdaffd00011ffd2008892500000200006b1a000542fd509c414c500d3ea72e823f2ff19341bacdb13e8c72cc3f5f5d7741b897fa3ecadff73f905c3141b3bab642fd5420414c424d3ea73abcdd3f2f995441ba38d33e8c78eb3f5f4cde41b88c4d3ecad73c3f9070b941b3cbfe42fd57a4414bd4463ea6f3f43f2f2baa41b986553e8c7aab3f5f48f141b885e23ecaa8eb3f90ea2f41b3d62142fd5b28414c26ca3ea7080e3f2ec3af41b8dec13e8c86043f5f251e41b8737c3ecafccd3f90ff6041b3ed0942fd5eac414bbfa43ea6d0223f2e68ce41b83f223e8c0d6f3f609aac41b8567e3ecb1ee23f90ae5341b3f7ee017e77bd
S3T,1,31,raw,,27423,0,,,,0,37,S3T_Table1.tsv,bda0016ffd10080ffd092600000600022c7900006b1f00006d9700000953bd
S3T,1,246,,,,,,,,0,39,S3T_Table1.tsv,bdaffd00011ffd2008892600000200006b1f000542fd6230414bc6843ea6cf423f2deafa41b7944d3e8c59753f5fb38c41b836d43ecae4593f91394341b4039642fd65b4414ba4233ea6c8443f2d410441b6f5963e8c8ec33f5f08b441b819dc3ecae9943f912fdf41b41a8342fd6938414b5f5e3ea6aeed3f2c8de141b6597e3e8c28863f6047a541b7ff8a3ecb14663f90c8fb41b4293142fd6cbcdc414b587e3ea6a0123f2cd0bcdc41b5c01a3e8bde3f3f603a8c41b7d56c3ecad57c3f91588041b42a4d42fd7040414b4e2e3ea663c73f2c79ca41b50f173e8bf3373f5f93a641b7b4b03ecb50b13f90f63241b43b9d01be94bd
S3T,1,31,raw,,27428,0,,,,0,40,S3T_Table1.tsv,bda0016ffd10080ffd092700000600022c7900006b2400006d97000074c7bd
S3T,1,31,raw,,27433,0,,,,0,43,S3T_Table1.tsv,bda0016ffd10080ffd092800000600022c7900006b2900006d970000349cbd
S3T,1,31,raw,,27438,0,,,,0,46,S3T_Table1.tsv,bda0016ffd10080ffd092900000600022c7900006b2e00006d970000532cbd
S3T,1,31,raw,,27438,0,,,,0,52,S3T_Table1.tsv,bda0016ffd10080ffd092900000600022c7900006b2e00006d970000532cbd
S3T,1,245,,,,,,,,0,54,S3T_Table1.tsv,bdaffd00011ffd2008892900000200006b2e000542fd96ec414abcddc43ea584f43f28a10041aeb1373e8c65b13f5d860e41b5a0203ecb3f363f914a4d41b44afc42fd9a70414bde963ea58f713f284edd41ae18b73e8bf3393f5e09ff41b564cb3ecb10e73f91b16941b45b2242fd9df4414ddb753ea58db13f27f15f41ada72c3e8bbecb3f5eacf541b5356a3ecb0e473f91b97e41b45c4442fda178415023fa3ea54de63f278f7f41ad030e3e8bc5c93f5e99be41b4f9513ecb02ed3f91d50541b43a1c42fda4fc415397a23ea55be33f274a7741ac751d3e8c4ef93f5ce70341b4b11d3ecb25df3f91c4db41b43f56017954bd
S3T,1,31,raw,,27443,0,,,,0,55,S3T_Table1.tsv,bda0016ffd10080ffd092a00000600022c7900006b3300006d9700006a7ebd
S3T,1,245,,,,,,,,0,57,S3T_Table1.tsv,bdaffd00011ffd2008892a00000200006b33000542fda8804158cdb53ea56b9e3f27018141abf9df3e8c1c4b3f5d8adb41b475663ecb0c8a3f91bcdda541b427a242fdac044157a9743ea530333f26b0ad41ab60563e8c170c3f5d6b6641b4431b3ecb25e03f91b52041b438fd42fdaf884156efc73ea527753f265beb41aaed673e8bf25a3f5c94e041b405733ecb10e93f91bb7541b4280c42fdb30c41567ae03ea532d23f26167241aa83d63e8bd3c33f5cf87e41b3c4823ecb1b643f91c7eb41b3f84d42fdb6904155ea773ea4dc4f3f25cfab41aa0a953e8c0acf3f5c4a2941b382c93ecb375b3f9159d041b404b6013209bd
S3T,1,31,raw,,27448,0,,,,0,58,S3T_Table1.tsv,bda0016ffd10080ffd092b00000600022c7900006b3800006d97000092c0bd
S3T,1,31,raw,,27453,0,,,,0,61,S3T_Table1.tsv,bda0016ffd10080ffd092c00000600022c7900006b3d00006d9700004bd2bd
S3T,1,31,raw,,27458,0,,,,0,64,S3T_Table1.tsv,bda0016ffd10080ffd092d00000600022c7900006b4200006d970000e2b3bd
S3T,1,245,,,,,,,,0,66,S3T_Table1.tsv,bdaffd00011ffd2008892d00000200006b42000542fddd3c415389e23ea3d7ea3f25009141aa5c8b3e8b14663f5aed1341b0f8573ecb44753f91415941b3230d42fde0c0415359bcdd3ea3ce4d3f25293441ab0a373e8b082a3f5aac6941b0c9753ecb11c53f91b1da41b3122742fde44441531f4b3ea3be923f257df641abc4513e8afb0e3f59c62b41b0a4553ecb2bfd3f913c8a41b3014142fde7c84153307c3ea3adf93f25c52e41aca6863e8acd9f3f5a550941b07e0c3ecaf9503f9144d641b2d8b042fdeb4c4152c5e53ea39ffd3f2613d341ada24d3e8b12a73f5975c641b05eee3ecaa80d3f91c00d41b2b9e7011c69bd
S3T,1,31,raw,,27463,0,,,,0,67,S3T_Table1.tsv,bda0016ffd10080ffd092e00000600022c7900006b4700006d9700003e78bd
S3T,1,245,,,,,,,,0,69,S3T_Table1.tsv,bdaffd00011ffd2008892e00000200006b47000542fdeed04152c2753ea386a73f268e9941aec03a3e8a48ce3f5ac9b041b04d4d3ecad65c3f91537a41b2b02042fdf2544152a0123ea377cc3f26fcb141afefee3e8ad81b3f58b27b41b03a2b3ecaa48c3f91c7ea41b2999e42fdf5d8415273603ea3bcdcd33f2783b341b14c0a3e8a6ae03f5a090241b02c4f3ecaa48d3f91c70a41b2783142fdf95c41523fcd3ea3a29d3f28042641b2909b3e8a72bf3f59fe8741b032ae3ecaae2b3f91ae5b41b25f7042fdfce04152357c3ea37fa93f28aa2e41b408203e8a4a8c3f59df8141b03f703ecaa2ce3f91cd9741b24ef1019fe2bd
S3T,1,31,raw,,27468,0,,,,0,70,S3T_Table1.tsv,bda0016ffd10080ffd092f00000600022c7900006b4c00006d9700001afdbd
S3T,1,245,,,,,,,,0,72,S3T_Table1.tsv,bdaffd00011ffd2008892f00000200006b4c000542fe00644151f4273ea3672f3f2928e141b582163e8a29593f595dbe41b039703ecadb9a3f9145f041b22ea442fe03e84151bcdd253ea361133f29c9a941b70d4c3e89c3fb3f5a9ede41b05bf13ecaa64d3f91be4e41b222a042fe076c4151a8833ea390423f2a51fa41b89da13e8a07433f59d26641b071473ecb0e493f90cb2a41b210a542fe0af041519e323ea370ce3f2aedf341ba2a2c3e89f08c3f5a168e41b09b543ecb07493f90e36941b1f29a42fe0e744151717f3ea34f9a3f2b91ca41bbbb293e89e98e3f5a28e941b0ca933eca93f23f91e8e641b1f1e301b9b1bd
S3T,1,31,raw,,27473,0,,,,0,73,S3T_Table1.tsv,bda0016ffd10080ffd093000000600022c7900006b5100006d970000437dbd
S3T,1,246,,,,,,,,0,75,S3T_Table1.tsv,bdaffd00011ffd2008893000000200006b51000542fe11f841516a9f3ea331043f2c1f5a41bcdd47373e8a209a3f597da341b1014f3eca99313f91e1b141b1ea5c42fe157c41515cde3ea363b23f2cb61441bec24e3e8a16fe3f599d1941b142a13eca93123f91ea6e41b1c71542fe19004151672f3ea365723f2d1da041c03e663e8a09023f59c70941b17fc43eca84393f920b3241b1bcdcec42fe1c8441512cbb3ea340be3f2dc9c441c1b6b23e89c15c3f5aa72d41b1cf4e3ecb15453f91a83d41b1d4ef42fe2008415125db3ea32ae53f2e346041c31ccb3e89ae223f5adc7941b212873ecadc7a3f920d9941b1b56a01c1d2bd
S3T,1,31,raw,,27478,0,,,,0,76,S3T_Table1.tsv,bda0016ffd10080ffd093100000600022c7900006b5600006d970000cc72bd
S3T,1,31,raw,,27483,0,,,,0,79,S3T_Table1.tsv,bda0016ffd10080ffd093200000600022c7900006b5b00006d970000b000bd
S3T,1,245,,,,,,,,0,81,S3T_Table1.tsv,bdaffd00011ffd2008893200000200006b5b000542fe35204151604e3ea2c2eb3f30195741c9d4743e89a3a63f5c6a7f41b45b2a3ecace7e3f92893e41b1b7aa42fe38a441514f1e3ea2bb0c3f3031ce41caa75f3e89cafa3f5bf1e941b4d2353ecb375a3f923c5a41b1afc642fe3c28415189903ea2b4ef3f3054c241cb68113e89fb063f5b8acd41b544123ecb020d3f92b83541b1c53242fe3fac415193e23ea2afb03f30720741cbf20b3e8a4b6b3f5bd19441b5bcdd193ecae6163f92f64041b1d24e42fe43304151abf33ea2adf03f307ac541cc783c3e8a2a373f5c399141b625fd3ecadabb3f930da041b1ee2101f0dbbd
S3T,1,31,raw,,27488,0,,,,0,82,S3T_Table1.tsv,bda0016ffd10080ffd093300000600022c7900006b6000006d97000044a7bd
S3T,1,245,,,,,,,,0,84,S3T_Table1.tsv,bdaffd00011ffd2008893300000200006b60000542fe46b4415201e93ea241973f308a7f41ccb90a3e8a0e413f5d399941b6a6343ecadc7a3f930ac941b1fa7b42fe4a384152320c3ea247b53f306fda41cd018b3e89f9493f5e425b41b716af3ecb0c893f93455541b205c342fe4dbcdc4151a8833ea244373f3083f241cd274e3e8a18be3f5de07d41b780be3ecb53513f92dbd141b21c9f42fe5140414ff3d83ea24dd23f3050d341cd50223e8a1dfd3f5ef7ac41b7ead73ecb11c63f9372c441b246af42fe54c4414f6a503ea250713f30457941cd46953e8a209b3f5f393441b85e5f3ecb39193f931a1541b250720187b4bd
S3T,1,31,raw,,27493,0,,,,0,85,S3T_Table1.tsv,bda0016ffd10080ffd093400000600022c7900006b6500006d9700009f93bd
S3T,1,246,,,,,,,,0,87,S3T_Table1.tsv,bdaffd00011ffd2008893400000200006b65000542fe5848414ee4363ea2602e3f3000df41cd42cd3e8ad03e3f5e2f9141b8bcdc243ecb49b33f93408641b267b242fe5bcc414ee4363ea1f7503f2ffdd141cd098d3e8aa1ee3f5f1d4041b91ce03ecb7aa23f9344e641b28d9f42fe5f50414e8e423ea209ab3f2fb4da41ccece93e8aba653f5f7f1d41b97a3d3ecb78e23f9367a141b2af0a42fe62d4414e72bf3ea217a63f2f6d3441cc82e73e8aaf0a3f606b7c41b9d8c73ecb692a3f938cfc41b2cfab42fe6658414e3f2c3ea1f0543f2f204e41cc1b943e8a91533f60bcdd2f41ba30ed3ecb23403f942a4441b2da950160c1bd
S3T,1,31,raw,,27498,0,,,,0,88,S3T_Table1.tsv,bda0016ffd10080ffd093500000600022c7900006b6a00006d9700001544bd
S3T,1,245,,,,,,,,0,90,S3T_Table1.tsv,bdaffd00011ffd2008893500000200006b6a000542fe69dc414e23ab3ea1d45d3f2ec33f41cb9a063e8ae3763f60ea2e41ba70fc3ecb5dcc3f943f3e41b2f53e42fe6d60414dbcdc843ea1e7963f2e6d2c41cb23243e8b23413f606f6741bacdaa3ecbdfff3f93618441b32d8f42fe70e4414dab533ea1be853f2e0a6e41ca8fbe3e8b17043f6095dc41bb051c3ecb9a173f9402bb41b33c9242fe7468414d8fd13ea1ab4c3f2da4a241c9ec0d3e8b11c63f61885941bb458a3ecb915a3f94166441b387aa42fe77ec414d7ea03ea18cb63f2d306b41c950d13e8b33db3f61ad0c41bb7b103ecb7fdf3f944a6341b3982d0155d7bd
S3T,1,31,raw,,27503,0,,,,0,91,S3T_Table1.tsv,bda0016ffd10080ffd093600000600022c7900006b6f00006d9700007f46bd
S3T,1,31,raw,,27508,0,,,,0,102,S3T_Table1.tsv,bda0016ffd10080ffd093700000600022c7900006b7400006d970000674abd
S3T,1,31,raw,,27513,0,,,,0,105,S3T_Table1.tsv,bda0016ffd10080ffd093800000600022c7900006b7900006d9700005a88bd
S3T,1,31,raw,,27518,0,,,,0,108,S3T_Table1.tsv,bda0016ffd10080ffd093900000600022c7900006b7e00006d970000e055bd
S3T,1,31,raw,,27523,0,,,,0,111,S3T_Table1.tsv,bda0016ffd10080ffd093a00000600022c7900006b8300006d97000062e6bd
S3T,1,245,,,,,,,,0,113,S3T_Table1.tsv,bdaffd00011ffd2008893a00000200006b83000542fec1c0414af4c83e9fa2813f24231041ba0d293e8bb8ad3f61949441bb29a43ecc42be3f960cd541b5d10942fec544414afba83e9f59193f23aca941b95c203e8b99393f61609441bb008c3ecc36813f96235441b5e55642fec8c8414acef53e9f67f33f23466d41b89b5d3e8bc4093f5ff82241bacc873ecbf9553f96b46341b5ec7742fecc4c414ad5d53e9f3ee33f22e41f41b7ec003e8b24213f61e41941baa5c13ecbfa363f96b00541b6006a42fecfd0414abcddc43e9f274c3f2287ee41b74af23e8b9a173f607b3441ba67873ecc1e0a3f96caab41b5f93b010e20bd
S3T,1,31,raw,,27528,0,,,,0,114,S3T_Table1.tsv,bda0016ffd10080ffd093b00000600022c7900006b8800006d9700005b8bbd
