leaf,table,frame_len,request_mode,n_hint,signed16_be@20,signed16_be@22,anchor_off,anchor_sec_le,anchor_iso,tcp_stream,frame_number,src_file,frame_hex
S2T,1,245,,,,,,,,0,84,S2T_Table1.tsv,bdaffd00011ffd200589860000020000fc08000542fdd2b04154fd393dba76ae3e24eb2a41ba5d6e3e2e7b963e95395e41b81ce43eaed21a3f6b47f341ba1ab042fdd6344154dad63dbae6863e261ec041bcdc702d3e2dd2123e956f8b41b816793eaecdba3f6b4e1141ba0d1f42fdd9b84154a3d33dbaae993e270c6d41be85d93e2dd5913e95555541b819e03eaed1393f6b44e541b9ef6042fddd3c415496123dbb83ce3e28160f41c098c13e2df6c63e94e2de41b82b833eaec95c3f6b5e3d41b9d99242fde0c041546ccf3dbb91cb3e28e0cb41c285643e2dfa453e94c98541b839193eaecb1b3f6b630c41b9abf7012564bd
S2T,1,31,last_n,1011,-1011,0,,,,0,85,S2T_Table1.tsv,bda0016ffd10050ffd098700000600022c790000fc0d0000fe4100003cacbd
S2T,1,31,last_n,1006,-1006,0,,,,0,88,S2T_Table1.tsv,bda0016ffd10050ffd098800000600022c790000fc120000fe410000cd52bd
S2T,1,31,last_n,996,-996,0,,,,0,94,S2T_Table1.tsv,bda0016ffd10050ffd098a00000600022c790000fc1c0000fe410000a88dbd
S2T,1,246,,,,,,,,0,96,S2T_Table1.tsv,bdaffd00011ffd2005898a0000020000fc1c000542fe19004152f6083dbe61d03e32a06641d45e413e2c2b243e9535e041bcdd30853ead09f73f6d2a4d41b94cb542fe1c844152fce83dbe7a4a3e33387141d4ae873e2c01343e95c36f41bcdd961b3ead02fa3f6d45d241b96cb542fe2008415300583dbe76ca3e3352aa41d4c8fe3e2c162d3e95792941be0b7f3eacefc03f6d8c2941b9773b42fe238c4152f2983dbe734b3e336b1f41d4f5fb3e2c06713e95bf1041be88dd3eace0e63f6dc8e441b982eb42fe2710415300583dbe57553e33b64641d505563e2c55163e963f8341bef16e3eaccbef3f6e19b941b99ec3018be9bd
S2T,1,31,last_n,991,-991,0,,,,0,97,S2T_Table1.tsv,bda0016ffd10050ffd098b00000600022c790000fc210000fe410000e658bd
S2T,1,245,,,,,,,,0,99,S2T_Table1.tsv,bdaffd00011ffd2005898b0000020000fc21000542fe2a944152ddf63dbe45db3e33eff241d4fb543e2ca8fa3e968f0741bf5c023eacb7d43f6e65bf41b9b43f42fe2e18415341ac3dbe4cd93e33de7641d4fe693e2c95bf3e96d4f041bfc8743eaca9d93f6e9d3c41b9b62042fe319c41536e5f3dbe3ede3e33fded41d4e0713e2c8d023e96fe0141c025d03eacd7473f6f00d941b9daad42fe3520415359bcdd3dbe4cd93e33e73441d4ac933e2c8b453e96fd2241c0765c3eacec423f6f411141b9fb0c42fe38a44153a5633dbe495a3e33e03741d472323e2c8b443e96f7e341c0dfd43eaccf6d3f6faf2e41ba1992010179bd
S2T,1,31,last_n,986,-986,0,,,,0,100,S2T_Table1.tsv,bda0016ffd10050ffd098c00000600022c790000fc260000fe4100004d60bd
S2T,1,245,,,,,,,,0,102,S2T_Table1.tsv,bdaffd00011ffd2005898c0000020000fc26000542fe3c28415405a83dbe65503e339a4f41d437d33e2c6bcf3e97707a41c132453ead250f3f6fee8541ba266442fe3fac415446fc3dbe6fcc3e33775c41d3f7c13e2ccdad3e97881241c18a6a3ead09173f70704b41ba52d242fe433041545f0e3dbe963e3e33094041d39c693e2d1fd03e97fb6a41c1e9053ead33ea3f70ab4441ba806c42fe46b44153c0e43dbe92bf3e3305c241d31bef3e2d10153e9835f541c236393ead527f3f70fd6641baa6e542fe4a38415341ac3dbcdde07d3e32e11041d280493e2cfe9c3e98811c41c276f03ead597c3f7153ea41babe3d018b19bd
S2T,1,31,last_n,981,-981,0,,,,0,103,S2T_Table1.tsv,bda0016ffd10050ffd098d00000600022c790000fc2b0000fe4100003852bd
S2T,1,31,last_n,976,-976,0,,,,0,106,S2T_Table1.tsv,bda0016ffd10050ffd098e00000600022c790000fc300000fe410000d13bbd
S2T,1,31,last_n,966,-966,0,,,,0,112,S2T_Table1.tsv,bda0016ffd10050ffd099000000600022c790000fc3a0000fe410000565fbd
S2T,1,31,last_n,961,-961,0,,,,0,115,S2T_Table1.tsv,bda0016ffd10050ffd099100000600022c790000fc3f0000fe410000cd3bbd
S2T,1,31,last_n,956,-956,0,,,,0,118,S2T_Table1.tsv,bda0016ffd10050ffd099200000600022c790000fc440000fe4100005802bd
S2T,1,31,last_n,951,-951,0,,,,0,121,S2T_Table1.tsv,bda0016ffd10050ffd099300000600022c790000fc490000fe4100008f59bd
S2T,1,31,last_n,946,-946,0,,,,0,124,S2T_Table1.tsv,bda0016ffd10050ffd099400000600022c790000fc4e0000fe4100000265bd
S2T,1,31,last_n,941,-941,0,,,,0,127,S2T_Table1.tsv,bda0016ffd10050ffd099500000600022c790000fc530000fe410000fa10bd
S2T,1,31,last_n,936,-936,0,,,,0,130,S2T_Table1.tsv,bda0016ffd10050ffd099600000600022c790000fc580000fe410000b68ebd
S2T,1,31,last_n,931,-931,0,,,,0,133,S2T_Table1.tsv,bda0016ffd10050ffd099700000600022c790000fc5d0000fe4100008cc7bd
S2T,1,31,last_n,926,-926,0,,,,0,136,S2T_Table1.tsv,bda0016ffd10050ffd099800000600022c790000fc620000fe410000d48ebd
S2T,1,245,,,,,,,,0,138,S2T_Table1.tsv,bdaffd00011ffd200589980000020000fc62000542ff0f184156285b3db3e1f73e1a107041b1d3773e2c61533e94722541ba15d53eae90903f77aa9441bcdc13c542ff129c4155ede83db3e1f73e1a9dff41b2e3353e2c80c93e93eb9341b9ef6d3eae8ecf3f77ae1341bbfded42ff16204155e3973db50b0f3e1b440441b400373e2c84473e93de7741b9d5c53eae86f33f77d09741bbebcc42ff19a44155ede83db4da1f3e1bc55941b541733e2c4e173e93d31c41b9b6e03eae83743f77d87641bbde3942ff1d284155ba543db497b53e1c8c9241b682163e2bc08b3e9389b541b99ce43eae6bdc3f77dc6441bbc0d001a269bd
S2T,1,31,last_n,921,-921,0,,,,0,139,S2T_Table1.tsv,bda0016ffd10050ffd099900000600022c790000fc670000fe41000032adbd
S2T,1,31,last_n,916,-916,0,,,,0,142,S2T_Table1.tsv,bda0016ffd10050ffd099a00000600022c790000fc6c0000fe410000943dbd
