frame.number	tcp.stream	ip.src	ip.dst	tcp.payload
12	0			bdaffd00011ffd200389100000020000ff4a0005430717bcdc4153c4543e0ee1d33e0671c341b436543e240b773e57df7341b82dd93ebad50c3fac7f0741b701fe43071b404153a8d33e0e59823e062f5a41b43d193e2420713e5753a441b7fec93eba85873fac5e4341b6f59143071ec4415378b03e0e57c23e062a1c41b4558a3e23a29d3e56e20d41b7e0563eba7f6a3fac211941b6d59f430722484153609f3e0e623f3e05dd3741b47b0c3e236fef3e5652bcdd41b7ab423eba272a3fac0e4f41b6c4b1430725cc4153609f3e0e59813e0603a941b4c6923e2381693e55e4a341b7811c3eba34433fabcc1e41b6a63a012029bd
13	0			bda0016ffd10030ffd091100000600022c790000ff4f0000ffb70000c61bbd
14	0			
15	0			bdaffd00011ffd200389110000020000ff4f00054307295041534f6d3e0e5b413e05fe6b41b510a13e2355b73e55784a41b75cfe3eb9ffd63fab931a41b6a69a43072cd4415341ac3e0e623f3e05d2ba41b572513e22cd663e54f8b341b7418d3eb9d9643fab699941b68b1e430730584153299b3e0e607f3e05e0b541b5d46e3e22dd213e54871e41b719af3eb9c46a3fab325441b66beb430733dc41531bdb3e0f12c13e0603a841b64c4f3e22e2603e543db641b706213eb973263fab257041b656d743073760415307393e0f0f423e066e4341b6e86f3e22f21b3e53baa341b70da53eb96b4a3fab004c41b65ce1017094bd
16	0			bda0016ffd10030ffd091200000600022c790000ff540000ffb7000068fcbd
17	0			
18	0			bdaffd00011ffd200389120000020000ff54000543073ae4415300583e0f11013e06700341b787e63e22301f3e53927241b6f1173eb913093faaeca341b637a543073e684152ef283e0f0f433e068a3a41b819843e22371c3e53458e41b6e9253eb920253faab67641b62355430741ec4152ddf63e0f04c63e06d56041b8ce313e223e1a3e52f36b41b6dfc33eb8d1803faa89e641b61210430745704152a0123e0f03093e06dfdc41b977403e2248933e52bcdd3d41b6e1443eb8b66a3faa75cd41b5eeb3430748f44152a0123e0f08463e07224541ba31b43e224f913e526e9741b6eaa93eb87d9c3faa352441b5e49101aea1bd
19	0			bda0016ffd10030ffd091300000600022c790000ff590000ffb70000a9ddbd
20	0			
21	0			bdaffd00011ffd200389130000020000ff59000543074c78415288013e0fb54b3e0762ef41bad83e3e2215e53e521c7441b6fe3d3eb890d53faa0dd141b5e0ca43074ffc415246ad3e0fb38c3e077b6541bbac773e2194923e52007c41b70e063eb837b43fa9e7ce41b5ca3f4307538041521d6a3e0fac8f3e07ca0a41bcdc4fba3e21a98c3e5119cf41b721f53eb82e173fa9c12341b5bcdc564307570441520c393e0fa90f3e07d48741bcdd1cee3e21b9463e50b2b041b7406a3eb7e7513fa9a25541b5b7da43075a884151e6673e0fa5903e08057741bcdde49c3e21aecb3e5127ca41b74f143eb7c8bb3fa96f0041b5a92c011e3fbd
22	0			bda0016ffd10030ffd091400000600022c790000ff5e0000ffb70000558fbd
23	0			
24	0			bdaffd00011ffd200389140000020000ff5e000543075e0c4151b6433e0f9e923e089a0241beb3223e21be843e50a4b741b783c43eb7a4093fa9503341b59baa430761904151b2d33e1052943e088f8641bf75b93e21b24a3e50ea9e41b7a4de3eb773f93fa93fd041b58ede43076514415189903e104f153e08d8ec41c052703e21b24a3e50f35b41b7cb453eb754833fa90a8341b59ccc430768984151a5133e10411a3e091d1441c130673e21be843e508e0041b7fec53eb75c613fa9000741b57d3b43076c1c4151596e3e10331f3e0987b041c1f7073e21c0443e508dfe41b83fde3eb6e82a3fa8fdd941b581ba01acacbd
25	0			bda0016ffd10030ffd091500000600022c790000ff630000ffb700000f00bd
26	0			
27	0			bdaffd00011ffd200389150000020000ff63000543076fa041518d003e10d0693e09a56541c2c8633e21b0893e50e3a041b8664d3eb6e9e93fa8efa541b581b94307732441517bd03e10e0223e0a57a741c3990e3e21b7873e50cea741b8aaca3eb6ef273fa8ead641b58037430776a84151a1a23e10d5a53e0aab8b41c465513e21a0cf3e51862741b8de5f3eb6e66a3fa8f51c41b57c7043077a2c4151cae53e10cb293e0aea7441c505ab3e2198113e51c19341b930153eb6e58b3fa8f82a41b58c9b43077db04151e6673e115df53e0b6bc741c5bcdce43e21e8753e5234ec41b978bcdd3eb6d3313fa90f8a41b597e501a07cbd
28	0			bda0016ffd10030ffd091600000600022c790000ff680000ffb700003d63bd
29	0			
