frame.number	tcp.stream	ip.src	ip.dst	tcp.payload
55	0			bda0016ffd10030ffd091f00000600022c790000ff950000ffb700000a07bd
56	0			
57	0			bdaffd00011ffd2003891f0000020000ff95000543081f68414bb5533e0f17ff3e06578c41bcddbffb3e2499063e59f9b941bcdd79633eba7e8c3faf208541b8ad76430822ec414bd0d63e0f18003e0640d341bcdd430a3e249ac53e59d50541bcdd52233ebaa87d3faf198941b8c04643082670414bd4463e0f243c3e06152341bcdcd9663e24a0043e59da4241bcdd1e103ebae9243faf403241b8ba3b430829f4414d1aea3e0ec09e3e05c9fc41bcdc48353e24aa813e5966ec41bcdcfb593ebae9243faf3ceb41b8ad6943082d78414f74a03e0e71fa3e055be441bbed533e24a1c33e59b21141bcdcd17d3ebae7643faf3ee341b8ac4b015717bd
58	0			bda0016ffd10030ffd092000000600022c790000ff9a0000ffb700009026bd
59	0			
60	0			bdaffd00011ffd200389200000020000ff9a0005430830fc41533e3c3e0e73b93e0546ea41bb756c3e249c843e59ef3c41bcdc97673ebac6303faf707a41b8af52430834804157c4f53e0e83733e04d55241baf3003e24a1c43e59a41541bcdc6fc73ebac0f23faf75b741b8a5df4308380441599c023e0e86f23e04c21a41ba7ca93e24a3823e59929c41bcdc43a23ebaceef3faf651d41b89b5a43083b8841585fae3e0e94ee3e045afd41ba26bf3e24adff3e594cb441bcdc1bb13ebac0143faf7bd341b889ac43083f0c41572dab3e0e3d8c3e04268e41b9aace3e24b4fd3e592b7f41bbdd753ebad26e3faf60f741b883ac01b6a0bd
61	0			bda0016ffd10030ffd092100000600022c790000ff9f0000ffb700008b40bd
62	0			
63	0			bdaffd00011ffd200389210000020000ff9f00054308429041566d1f3e0de46b3e0408d941b950763e24adff3e5951f241bbb4bb3ebae4c63faf430b41b88767430846144155ba543e0de62b3e03ac3a41b8ea103e24b4fe3e590c0d41bb8ae53ebaddc93faf1f6e41b87da0430849984155456d3e0df0a73e0377cb41b87c813e2485cd3e58793e41bb45273eba8f243faf0ca441b8676b43084d1c4154c9a53e0df0a73e034c1a41b823a53e2414353e57be3f41bb13623ebaa87c3faee24341b8694f430850a0415484e13e0df7a43e03206a41b7e0b13e2410b73e57ca7a41bae2c93eba67d03faed44941b85e04016226bd
64	0			bda0016ffd10030ffd092200000600022c790000ffa40000ffb70000cfcfbd
65	0			
66	0			bdaffd00011ffd200389220000020000ffa40005430854244154280b3e0e075f3e02d1c541b798d53e242cad3e56d41141babbed3eba64533fae916f41b8531c430857a84153fb583e0e0ade3e02aed141b75f423e2423f03e564bc041ba7d0a3eba1aee3fae8d1241b832b443085b2c4153b3243e0db8bb3e02523241b722ba3e237fa93e55dda441ba6b533eba1cac3fae44fc41b8301343085eb0415397a23e0d56dd3e02284141b6fa753e2383273e55a93a41ba20be3eb9d5e53fae262e41b81fe9430862344153a8d33e0d589d3e01ee9341b6dfc33e238f633e54e57d41ba04e03eb9d1863fadfa7d41b80287015c42bd
67	0			bda0016ffd10030ffd092300000600022c790000ffa90000ffb700000ee8bd
68	0			
69	0			bdaffd00011ffd200389230000020000ffa90005430865b841536aef3e0d615a3e01c2e341b6ca5c3e22db613e5496d741b9c22d3eb982013fadb73341b7f9e64308693c41534f6d3e0d6d953e01a6ee41b6d89f3e22e5de3e5434fa41b9ac4d3eb9644d3fad986641b7df3043086cc04153640f3e0d6bd63e018af741b6ed503e22f21b3e535e0641b97e673eb941573fad5c8c41b7ca7e4308704441533acc3e0d6f553e01727f41b7086a3e22371d3e535a8541b94b9a3eb8fa903fad189a41b7c963430873c841534f6d3e0d71153e013a9341b73ace3e2248953e52abc241b9452f3eb8bf253facf3e641b7bf3e01ab50bd
70	0			bda0016ffd10030ffd092400000600022c790000ffae0000ffb700008f4ebd
71	0			
72	0			bdaffd00011ffd200389240000020000ffae00054308774c415314f93e0d6d963e01530b41b7811f3e225f4d3e51f7c241b907643eb89ed13facc56141b7a17d43087ad04152d7163e0d74933e01259a41b7d8093e21bcdcc53e51c89141b8eb933eb86fa13fac6c7641b78d2b43087e54415300583e0d76533e0131d541b82ad13e2198113e51dd8b41b8db5d3eb82a9b3fac49bb41b769c6430881d84152ebb63e0d71143e01488e41b89f1a3e21aecb3e51085441b8c6ac3eb7fb6a3fac35da41b768ab4308855c4152ddf63e0d6d953e01743f41b944673e21b4093e50e8df41b8aa0e3eb7b2043fac10b641b75762015330bd
73	0			bda0016ffd10030ffd092500000600022c790000ffb30000ffb70000f3b6bd
74	0			
75	0			bdaffd00011ffd200389250000020000ffb30004430888e04152c2753e0d6bd63e01a1af41b9b7503e21be853e50933e41b8a6413eb7cdfa3fabda5141b7394743088c644152a6f23e0dba7b3e01e79541ba715e3e21c0453e50545341b881033eb75fdf3fabd04441b7370643088fe841526ff03e0e21973e01fc9041bb13c23e2137f43e5013a941b8785f3eb782d33fab9c0f41b7231e4308936c41524d8d3e0e171b3e0232bcdc41bbc2533e2107053e4fd14041b889ab3eb73c0c3fab681141b710af008fa1bd
76	0			
