year,column,nan_count,nan_fraction
2026,SWC_vol_gal_S2_T_3,170,0.03315132605304212
2026,SWCdiff_L_S1_S2_T_3,170,0.03315132605304212
2026,SWCdiff_L_S1_S2_T_2,170,0.03315132605304212
2026,SWCdiff_gal_S1_S2_T_2,170,0.03315132605304212
2026,T_3_raw_S2_T,170,0.03315132605304212
2026,EC_3_raw_S2_T,170,0.03315132605304212
2026,VWC_3_raw_S2_T,170,0.03315132605304212
2026,T_2_raw_S2_T,170,0.03315132605304212
2026,EC_2_raw_S2_T,170,0.03315132605304212
2026,VWC_2_raw_S2_T,170,0.03315132605304212
2026,T_1_raw_S2_T,170,0.03315132605304212
2026,EC_1_raw_S2_T,170,0.03315132605304212
2026,VWC_1_raw_S2_T,170,0.03315132605304212
2026,BattV_Min_S2_T,170,0.03315132605304212
2026,SWCdiff_L_S1_S2_T_1,170,0.03315132605304212
2026,SWCdiff_gal_S1_S2_T_1,170,0.03315132605304212
2026,SWCdiff_gal_S1_S2_T_3,170,0.03315132605304212
2026,Tdiff_1_S1_S2_T,170,0.03315132605304212
2026,SWC_vol_L_S2_T_3,170,0.03315132605304212
2026,SWC_vol_gal_S2_T_2,170,0.03315132605304212
