logger_tag,year,file,file_row_idx,prev_time,time,gap_min,event_type,event_class
S2M,2023,biochar_app/data-raw/datfiles_2023/S2M_Table1_late2023_withBattV.dat,2607,2023-11-06 10:45:00,2023-12-15 09:15:00,56070.0,downtime_gap,downtime
S2T,2023,biochar_app/data-raw/datfiles_2023/S2T_Table1.dat,2,2023-05-01 09:30:00,2023-05-12 12:00:00,15990.0,downtime_gap,downtime
S2T,2023,biochar_app/data-raw/datfiles_2023/S2T_Table1.dat,2012,2023-06-02 10:15:00,2023-05-12 12:00:00,-30135.0,nonmonotonic,other
S2T,2023,biochar_app/data-raw/datfiles_2023/S2T_Table1.dat,10472,2023-08-08 15:30:00,2023-07-29 17:00:00,-14310.0,nonmonotonic,other
S2T,2023,biochar_app/data-raw/datfiles_2023/S2T_Table1_late2023_withBattV.dat,2501,2023-11-06 10:45:00,2023-12-16 10:15:00,57570.0,downtime_gap,downtime
S3B,2023,biochar_app/data-raw/datfiles_2023/S3B_Table1.dat,5,2023-04-26 16:15:00,2023-04-27 09:30:00,1035.0,downtime_gap,downtime
S3B,2023,biochar_app/data-raw/datfiles_2023/S3B_Table1.dat,6,2023-04-27 09:30:00,2023-04-27 19:30:00,600.0,downtime_gap,downtime
S3B,2023,biochar_app/data-raw/datfiles_2023/S3B_Table1.dat,63,2023-04-28 09:30:00,2023-04-28 10:45:00,75.0,setclock_forward,clock
S3B,2023,biochar_app/data-raw/datfiles_2023/S3B_Table1.dat,346,2023-05-01 09:15:00,2023-05-12 11:45:00,15990.0,downtime_gap,downtime
S3B,2023,biochar_app/data-raw/datfiles_2023/S3B_Table1.dat,456,2023-05-13 15:00:00,2023-05-16 11:00:00,4080.0,downtime_gap,downtime
S3B,2023,biochar_app/data-raw/datfiles_2023/S3B_Table1.dat,476,2023-05-16 15:45:00,2023-05-17 13:15:00,1290.0,downtime_gap,downtime
S3B,2023,biochar_app/data-raw/datfiles_2023/S3B_Table1.dat,8458,2023-08-08 16:30:00,2023-08-02 05:00:00,-9330.0,nonmonotonic,other
S3B,2023,biochar_app/data-raw/datfiles_2023/S3B_Table1_late2023_withBattV.dat,1,2023-10-12 15:30:00,2023-10-12 15:30:00,0.0,duplicate_timestamp,order
S3B,2023,biochar_app/data-raw/datfiles_2023/S3B_Table1_late2023_withBattV.dat,3,2023-10-12 15:45:00,2023-10-12 15:45:00,0.0,duplicate_timestamp,order
S3B,2023,biochar_app/data-raw/datfiles_2023/S3B_Table1_late2023_withBattV.dat,5,2023-10-12 16:00:00,2023-10-12 16:00:00,0.0,duplicate_timestamp,order
S3B,2023,biochar_app/data-raw/datfiles_2023/S3B_Table1_late2023_withBattV.dat,7,2023-10-12 16:15:00,2023-10-12 16:15:00,0.0,duplicate_timestamp,order
S3B,2023,biochar_app/data-raw/datfiles_2023/S3B_Table1_late2023_withBattV.dat,9,2023-10-12 16:30:00,2023-10-12 16:30:00,0.0,duplicate_timestamp,order
S3B,2023,biochar_app/data-raw/datfiles_2023/S3B_Table1_late2023_withBattV.dat,11,2023-10-12 16:45:00,2023-10-12 16:45:00,0.0,duplicate_timestamp,order
S3B,2023,biochar_app/data-raw/datfiles_2023/S3B_Table1_late2023_withBattV.dat,13,2023-10-12 17:00:00,2023-10-12 17:00:00,0.0,duplicate_timestamp,order
S3B,2023,biochar_app/data-raw/datfiles_2023/S3B_Table1_late2023_withBattV.dat,15,2023-10-12 17:15:00,2023-10-12 17:15:00,0.0,duplicate_timestamp,order
S3B,2023,biochar_app/data-raw/datfiles_2023/S3B_Table1_late2023_withBattV.dat,17,2023-10-12 17:30:00,2023-10-12 17:30:00,0.0,duplicate_timestamp,order
S3B,2023,biochar_app/data-raw/datfiles_2023/S3B_Table1_late2023_withBattV.dat,19,2023-10-12 17:45:00,2023-10-12 17:45:00,0.0,duplicate_timestamp,order
S3B,2023,biochar_app/data-raw/datfiles_2023/S3B_Table1_late2023_withBattV.dat,2389,2023-11-06 10:00:00,2023-11-06 10:00:00,0.0,duplicate_timestamp,order
S3B,2023,biochar_app/data-raw/datfiles_2023/S3B_Table1_late2023_withBattV.dat,2391,2023-11-06 10:15:00,2023-11-06 10:15:00,0.0,duplicate_timestamp,order
S3B,2023,biochar_app/data-raw/datfiles_2023/S3B_Table1_late2023_withBattV.dat,2393,2023-11-06 10:30:00,2023-11-06 10:30:00,0.0,duplicate_timestamp,order
S3B,2023,biochar_app/data-raw/datfiles_2023/S3B_Table1_late2023_withBattV.dat,2395,2023-11-06 10:45:00,2023-11-06 10:45:00,0.0,duplicate_timestamp,order
S3B,2023,biochar_app/data-raw/datfiles_2023/S3B_Table1_late2023_withBattV.dat,2397,2023-11-06 11:00:00,2023-12-11 10:45:00,50385.0,downtime_gap,downtime
S3M,2023,biochar_app/data-raw/datfiles_2023/S3M_Table1.dat,261,2023-05-01 09:15:00,2023-05-15 17:00:00,20625.0,downtime_gap,downtime
S3M,2023,biochar_app/data-raw/datfiles_2023/S3M_Table1.dat,271,2023-05-15 19:15:00,2023-05-16 07:45:00,750.0,downtime_gap,downtime
S3M,2023,biochar_app/data-raw/datfiles_2023/S3M_Table1.dat,319,2023-05-16 19:30:00,2023-05-17 07:45:00,735.0,downtime_gap,downtime
S3M,2023,biochar_app/data-raw/datfiles_2023/S3M_Table1.dat,367,2023-05-17 19:30:00,2023-05-18 07:30:00,720.0,downtime_gap,downtime
