logger_tag,year,file,n_rows,forward_setclock,backward_setclock,duplicate_timestamps,out_of_order,nonmonotonic_events,downtime_gaps,first_forward_time,first_backward_time,first_out_of_order_time,has_FF,has_BB,classification,reasons,status
S2B,2025,biochar_app/data-raw/datfiles_2025/S2B_Table1.dat,35017,0,0,0,0,0,0,,,,False,False,likely_explained,,ok
S2M,2025,biochar_app/data-raw/datfiles_2025/S2M_Table1.dat,35017,0,0,0,0,0,0,,,,False,False,likely_explained,,ok
S2T,2025,biochar_app/data-raw/datfiles_2025/S2T_Table1.dat,35012,0,0,0,0,0,0,,,,False,False,likely_explained,,ok
S3B,2025,biochar_app/data-raw/datfiles_2025/S3B_Table1.dat,35017,0,0,0,0,0,0,,,,False,False,likely_explained,,ok
S3M,2025,biochar_app/data-raw/datfiles_2025/S3M_Table1.dat,34594,1,0,0,0,0,13,2025-01-16 23:45:00,,,False,False,likely_explained,,ok
S3T,2025,biochar_app/data-raw/datfiles_2025/S3T_Table1.dat,35017,0,0,0,0,0,0,,,,False,False,likely_explained,,ok
S4B,2025,biochar_app/data-raw/datfiles_2025/S4B_Table1.dat,35017,0,0,0,0,0,0,,,,False,False,likely_explained,,ok
S4M,2025,biochar_app/data-raw/datfiles_2025/S4M_Table1.dat,35017,0,0,0,0,0,0,,,,False,False,likely_explained,,ok
S4T,2025,biochar_app/data-raw/datfiles_2025/S4T_Table1.dat,35634,0,0,0,0,1,0,,,,False,False,likely_explained,,ok
S1B,2026,biochar_app/data-raw/datfiles_2026/S1B_Table1.dat,5807,0,0,1,0,1,0,,,,False,False,likely_explained,,ok
S1M,2026,biochar_app/data-raw/datfiles_2026/S1M_Table1.dat,5812,0,1,0,0,0,0,,2026-02-23 08:45:00,,False,False,likely_explained,,ok
S1T,2026,biochar_app/data-raw/datfiles_2026/S1T_Table1.dat,5813,0,1,0,0,0,0,,2026-02-23 08:45:00,,False,False,likely_explained,,ok
S2B,2026,biochar_app/data-raw/datfiles_2026/S2B_Table1.dat,5813,0,1,0,0,0,0,,2026-02-23 08:45:00,,False,False,likely_explained,,ok
S2M,2026,biochar_app/data-raw/datfiles_2026/S2M_Table1.dat,5814,0,1,0,0,0,0,,2026-02-23 08:45:00,,False,False,likely_explained,,ok
S2T,2026,biochar_app/data-raw/datfiles_2026/S2T_Table1.dat,5809,0,0,0,0,0,0,,,,False,False,likely_explained,,ok
S3B,2026,biochar_app/data-raw/datfiles_2026/S3B_Table1.dat,5815,0,1,0,0,0,0,,2026-02-23 08:45:00,,False,False,likely_explained,,ok
S3M,2026,biochar_app/data-raw/datfiles_2026/S3M_Table1.dat,5794,0,0,0,0,0,1,,,,False,False,likely_explained,,ok
S3T,2026,biochar_app/data-raw/datfiles_2026/S3T_Table1.dat,5816,0,1,0,0,0,0,,2026-02-23 08:45:00,,False,False,likely_explained,,ok
S4B,2026,biochar_app/data-raw/datfiles_2026/S4B_Table1.dat,5895,0,1,0,0,1,0,,2026-02-23 09:00:00,,False,False,likely_explained,,ok
S4M,2026,biochar_app/data-raw/datfiles_2026/S4M_Table1.dat,5816,0,1,0,0,0,0,,2026-02-23 09:00:00,,False,False,likely_explained,,ok
S4T,2026,biochar_app/data-raw/datfiles_2026/S4T_Table1.dat,5817,0,1,0,0,0,0,,2026-02-23 09:00:00,,False,False,likely_explained,,ok
