logger,year,event_time,event_type,gap_min,normalized_delta_min,cumulative_offset_min,implied_mode
S4B,2023,2023-08-29 09:00:00,DOWNTIME,840.0,0,0,MDT
S4B,2023,2023-08-30 09:00:00,DOWNTIME,840.0,0,0,MDT
S4B,2023,2023-08-31 09:00:00,DOWNTIME,840.0,0,0,MDT
S4B,2023,2023-09-01 09:00:00,DOWNTIME,840.0,0,0,MDT
S4B,2023,2023-09-02 09:15:00,DOWNTIME,960.0,0,0,MDT
S4B,2023,2023-09-03 08:45:00,DOWNTIME,900.0,0,0,MDT
S4B,2023,2023-09-04 09:00:00,DOWNTIME,855.0,0,0,MDT
S4B,2023,2023-09-04 10:30:00,FORWARD_SET_CLOCK,75.0,60,60,MST
S4B,2023,2023-09-05 09:15:00,DOWNTIME,870.0,0,60,MST
S4B,2023,2023-09-06 09:15:00,DOWNTIME,870.0,0,60,MST
S4B,2023,2023-09-07 09:15:00,DOWNTIME,870.0,0,60,MST
S4B,2023,2023-09-08 09:15:00,DOWNTIME,870.0,0,60,MST
S4B,2023,2023-09-09 09:15:00,DOWNTIME,870.0,0,60,MST
S4B,2023,2023-09-10 09:15:00,DOWNTIME,885.0,0,60,MST
S4B,2023,2023-09-11 09:00:00,DOWNTIME,960.0,0,60,MST
S4B,2023,2023-09-12 09:00:00,DOWNTIME,870.0,0,60,MST
S4B,2023,2023-09-13 08:45:00,DOWNTIME,870.0,0,60,MST
S4B,2023,2023-09-14 09:00:00,DOWNTIME,945.0,0,60,MST
S4B,2023,2023-09-15 09:00:00,DOWNTIME,945.0,0,60,MST
S4B,2023,2023-09-16 09:00:00,DOWNTIME,900.0,0,60,MST
S4B,2023,2023-09-17 09:00:00,DOWNTIME,855.0,0,60,MST
S4B,2023,2023-09-18 08:45:00,DOWNTIME,840.0,0,60,MST
S4B,2023,2023-09-18 13:45:00,DOWNTIME,135.0,0,60,MST
S4B,2023,2023-09-19 09:00:00,DOWNTIME,900.0,0,60,MST
S4B,2023,2023-09-20 09:00:00,DOWNTIME,870.0,0,60,MST
S4B,2023,2023-09-20 18:30:00,FORWARD_SET_CLOCK,75.0,60,120,MDT
S4B,2023,2023-09-21 09:00:00,DOWNTIME,870.0,0,120,MDT
S4B,2023,2023-09-22 09:00:00,DOWNTIME,870.0,0,120,MDT
S4B,2023,2023-09-23 09:00:00,DOWNTIME,870.0,0,120,MDT
S4B,2023,2023-09-24 09:00:00,DOWNTIME,870.0,0,120,MDT
S4B,2023,2023-09-25 09:15:00,DOWNTIME,885.0,0,120,MDT
S4B,2023,2023-09-26 09:15:00,DOWNTIME,885.0,0,120,MDT
S4B,2023,2023-09-27 09:15:00,DOWNTIME,885.0,0,120,MDT
S4B,2023,2023-09-28 09:15:00,DOWNTIME,885.0,0,120,MDT
S4B,2023,2023-09-29 09:15:00,DOWNTIME,885.0,0,120,MDT
S4B,2023,2023-09-30 09:00:00,DOWNTIME,870.0,0,120,MDT
S4B,2023,2023-10-01 09:45:00,DOWNTIME,960.0,0,120,MDT
S4B,2024,2024-03-15 11:00:00,DOWNTIME,180.0,0,120,MDT
S4B,2024,2024-04-01 13:45:00,DOWNTIME,5520.0,0,120,MDT
S4B,2024,2024-06-25 09:30:00,DOWNTIME,47460.0,0,120,MDT
S4B,2024,2024-10-21 16:00:00,DOWNTIME,5565.0,0,120,MDT
S4B,2026,2026-02-12 15:00:00,NONMONOTONIC,-1170.0,0,120,MDT
S4B,2026,2026-02-23 09:00:00,BACKWARD_SET_CLOCK,-45.0,-60,60,MST
S4M,2023,2023-04-25 15:30:00,DOWNTIME,300.0,0,0,MDT
S4M,2023,2023-04-29 12:30:00,DOWNTIME,5505.0,0,0,MDT
S4M,2023,2023-05-15 17:00:00,DOWNTIME,21045.0,0,0,MDT
S4M,2024,2024-02-23 14:30:00,BACKWARD_SET_CLOCK,-45.0,-60,-60,MST
S4M,2024,2024-04-02 15:45:00,FORWARD_SET_CLOCK,75.0,60,0,MDT
S4M,2026,2026-02-23 09:00:00,BACKWARD_SET_CLOCK,-45.0,-60,-60,MST
S4T,2023,2023-05-01 13:45:00,DOWNTIME,8235.0,0,0,MDT
S4T,2023,2023-05-15 17:00:00,DOWNTIME,19545.0,0,0,MDT
S4T,2024,2024-02-23 11:45:00,BACKWARD_SET_CLOCK,-45.0,-60,-60,MST
S4T,2024,2024-03-21 15:45:00,FORWARD_SET_CLOCK,75.0,60,0,MDT
S4T,2025,2025-09-30 10:15:00,NONMONOTONIC,-9240.0,0,0,MDT
S4T,2026,2026-02-23 09:00:00,BACKWARD_SET_CLOCK,-45.0,-60,-60,MST
