src_file,leaf,table,frame_len,frame_hex,anchor_off,anchor_sec_le,anchor_iso,signed16_be@20,signed16_be@22,frame_number,tcp_stream
S4B_Table1.tsv,S4B,1,244,bdaffd00011ffd200d89fb00000200009c46000543066b78414f10e93e8346dc3f4b2bfe41d0ec9c3eac94003f9e58dc41c8f0f13eb11f0d3fb4543641bfcd5f43066efc414effb93e831a4b3f4a94d341d008f13eac94003f9e575341c8fea53eb1561a3fb4710d41bfe95443067280414ecf963e8305533f4a3d0141cf2d193eac31443f9e5e1941c8ee4a3eb140423fb48de241c0153043067604414ec5443e82cd663f49c07d41ce41043eac17ed3f9e513741c8f82a3eb1537b3fb4756c41c046b243067988414eb7833e827fa23f494e0341cd5f053eac1e093f9e4b8741c8e1bf3eb149de3fb4839f41c063700196f6bd,20,2020279875,2054-01-07T20:51:15+00:00,,,21,0
S4B_Table1.tsv,S4B,1,31,bda0016ffd100d0ffd09fc00000600022c7900009c4b00009ce40000889bbd,12,33555968,1991-01-24T09:06:08+00:00,-25525,0,22,0
S4B_Table1.tsv,S4B,1,244,bdaffd00011ffd200d89fc00000200009c4b000543067d0c414e87603e8254d13f48f32341cc76553eac2ea33f9e331141c8c04f3eb13b033fb4951641c08e8643068090414e6bdf3e8247b53f4859c941cb97bf3eac3bbf3f9e243441c8aff03eb15df63fb4681741c0abaa43068414414e4cee3e81f2133f48073441caade03eac455b3f9e167241c891e93eb138633fb4989641c0d10c43068798414e429c3e81e0993f4790d041c9e4133eac55f73f9dfff241c8669c3eb1180e3fb4c1a941c0efb343068b1c414e203b3e81c2e33f47216541c907c43eac2ea33f9de3fc41c84b343eb130863fb4a34c41c1017901af4bbd,24,1619480129,2041-04-26T23:35:29+00:00,,,24,0
S4B_Table1.tsv,S4B,1,31,bda0016ffd100d0ffd09fd00000600022c7900009c5000009ce40000ec9abd,12,33555968,1991-01-24T09:06:08+00:00,-25520,0,25,0
S4B_Table1.tsv,S4B,1,244,bdaffd00011ffd200d89fd00000200009c50000543068ea0414e15ea3e8177be3f46ad9e41c832843eabe29e3f9dec8141c81e563eb132453fb4a0ac41c1219e43069224414e0b9a3e81522b3f4641b341c76aa53eabff753f9dc7cd41c7e4ff3eb11feb3fb4b9cd41c13542430695a8414dfa683e8135543f45ba4241c6910f3eac12ae3f9daffe41c7b9a23eb127ca3fb4ae0041c14f614306992c414ddb753e80e7913f45673e41c5cfdc3eac146d3f9d955741c788ff3eb131663fb4a03d41c168c543069cb0414dca453e80c11d3f45174a41c504293eabcf633f9d5a2341c73be63eb127ca3fb4b09f41c17f19013bd3bd,16,83906716,1992-08-29T03:25:16+00:00,,,27,0
S4B_Table1.tsv,S4B,1,31,bda0016ffd100d0ffd09fe00000600022c7900009c5500009ce400008c2cbd,12,33555968,1991-01-24T09:06:08+00:00,-25515,0,28,0
S4B_Table1.tsv,S4B,1,244,bdaffd00011ffd200d89fe00000200009c5500054306a034414db9143e80b1633f449b3641c440f03eabe29e3f9d43dc41c706ba3eb118ef3fb49eb541c1735f4306a3b8414db5a43e80956d3f442d1d41c37c973eac26c73f9d227041c6ddaf3eb0b2b33fb4997741c179c54306a73c414d96b13e8079763f43d1ce41c2be853eac5eb33f9d0fde41c68c7e3eb0b5523fb4951741c17fdd4306aac0414d8c613e80354d3f43791c41c20b743eac28863f9ce73c41c648ec3eb0beee3fb487fe41c1888f4306ae44414d88f13e8028323f43118f41c150e53eac33023f9cda2041c60b0b3eb0cc0a3fb4787a41c1950a01e229bd,28,1672577086,2043-01-01T12:44:46+00:00,,,30,0
S4B_Table1.tsv,S4B,1,31,bda0016ffd100d0ffd09ff00000600022c7900009c5a00009ce400002cc5bd,12,33555968,1991-01-24T09:06:08+00:00,-25510,0,31,0
S4B_Table1.tsv,S4B,1,246,bdaffd00011ffd200d89ff00000200009c5a00054306b1c8414d85803e80037f3f4253f041c0a6553eac5eb33f9ca34c41c5bcdced3eb0da033fb4650941c194494306b54c414d96b13e7fdb4d3f42023e41bfed803eac33e33f9c741c41c565f73eb0ee1d3fb44a9a41c1888d4306b8d0414d6d6e3e7ff3c43f40feb741bf467d3eac0f2f3f9c5fcc41c52cb63eb0efdd3fb44a2a41c185824306bcdc54414d85803e7f0b543f4154ca41bea1c93eac22693f9c452441c4d8f63eb103f63fb431b341c18b354306bfd8414d74503e7f43423f409c6941be026c3eac19ab3f9c154d41c4969a3eb110323fb4207141c183490155dbbd,28,2130935870,2057-07-11T14:37:50+00:00,,,33,0
S4B_Table1.tsv,S4B,1,31,bda0016ffd100d0ffd090100000600022c7900009c5f00009ce40000a0dcbd,12,33555968,1991-01-24T09:06:08+00:00,-25505,0,34,0
S4B_Table1.tsv,S4B,1,248,bdaffd00011ffd200d890100000200009c5f00054306c35c414d6d6e3e7ebe713f40a13941bcdd60d93eabea7b3f9be5e641c442743eb0cb293fb411cf41c17fd64306c6e0414d631e3e7e52163f409b8a41bcdcc3233eabbcdc2d3f9bd3c341c3f20f3eb0a2193fb404b241c1753b4306ca64414d58cd3e7e29e33f3ffac041bcdc23fe3eaba1143f9b9af641c3ac563eb0b2b23fb3ee3241c16f314306cde8414d51ed3e7dc8043f3ffa5441bb8c613eab70263f9b989041c3590a3eb1180f3fb3661a41c14cbe4306d16c414d442c3e7d8adb3f3fb1cb41bafe4b3eab5a4e3f9b4e8241c306763eb0d0663fb3c78941c148fb01c7bfbd,28,1908309566,2050-06-21T21:59:26+00:00,,,36,0
S4B_Table1.tsv,S4B,1,31,bda0016ffd100d0ffd090200000600022c7900009c6400009ce400002f14bd,12,33555968,1991-01-24T09:06:08+00:00,-25500,0,37,0
S4B_Table1.tsv,S4B,1,245,bdaffd00011ffd200d890200000200009c6400054306d4f0414d631e3e7daf8c3f3eaac741ba5e233eab64c93f9b416641c2bf443eb0c5eb3fb3a88341c13dfd4306d874414e2a8b3e7d582d3f3eaf2641b9cddd3eab6ca73f9b146541c262813eb072093fb393fa41c123da4306dbf8415016393e7ce1553f3e742a41b938c23eab2bfe3f9ae30741c20e763eb078263fb38e8441c1109b4306df7c4152b8243e7d48713f3d84bcdd41b8b4f93eab39f93f9ad0ad41c1c87c3eb094fd3fb367a041c0fff54306e3004155f4c83e7c733c3f3da74141b835573eab70263f9a9e6f41c171d73eb0a6763fb3519041c0f31901369abd,24,509824321,2006-02-26T17:52:01+00:00,,,39,0
S4B_Table1.tsv,S4B,1,31,bda0016ffd100d0ffd090300000600022c7900009c6900009ce4000074d5bd,12,33555968,1991-01-24T09:06:08+00:00,-25495,0,40,0
S4B_Table1.tsv,S4B,1,244,bdaffd00011ffd200d890300000200009c6900054306e68441595e1f3e7ca7ab3f3d566e41b7aae33eab72c53f9a6d1141c125c93eb09bf93fb3317341c0cb074306ea08415ba3333e7c34513f3cf42041b730a23eab923b3f9a58c041c0cf2a3eb03d9b3fb32d1641c0afcd4306ed8c415b389c3e7ba1833f3d749241b6c9ef3eabb52f3f9a2d7e41c07e443eb06bea3fb2f28a41c090004306f110415a55ae3e7b858f3f3cdb3741b659203eab8c1b3f9a074441c029933eb078263fb2e25e41c079564306f49441590b9a3e7b4a233f3c836941b609033eab6ca73f99e10741bfdb603eb065ce3fb2ce0e41c063ce0153f7bd,32,1851145535,2048-08-29T07:05:35+00:00,,,42,0
S4B_Table1.tsv,S4B,1,31,bda0016ffd100d0ffd090400000600022c7900009c6e00009ce40000b91bbd,12,33555968,1991-01-24T09:06:08+00:00,-25490,0,43,0
S4B_Table1.tsv,S4B,1,246,bdaffd00011ffd200d890400000200009c6e00054306f81841579bb23e7ace0e3f3ba49241b5a74f3eab897e3f99bcdcfd41bf94b63eb021a53fb2a56b41c03e564306fb9c415704683e7a22cb3f3b00bcdd41b55ec13eab6bc63f999df741bf45bf3eb027c13fb2a06741c024a94306ff2041567ae03e796b4a3f3aafe741b520043eab40163f99743f41befa213eb04c753fb26f0741c002a3430702a4415632ac3e78c0043f3a3c9041b511533eab668a3f993e4a41bead153eafeef53fb2531141bfeada430706284155cb853e78b74a3f38d10e41b51b253eaaf4f13f992a6941be65023eb004ce3fb2209c41bfc26a017c45bd,20,418907715,2003-04-11T11:15:15+00:00,,,45,0
S4B_Table1.tsv,S4B,1,31,bda0016ffd100d0ffd090500000600022c7900009c7300009ce40000237dbd,12,33555968,1991-01-24T09:06:08+00:00,-25485,0,46,0
S4B_Table1.tsv,S4B,1,249,bdaffd00011ffd200d890500000200009c730005430709ac415583513e77c29e3f393bab41b54f623eaabfa43f98ead641be15a73eb0092c3fb219d541bf9be243070d3041554c4d3e777e753f382bea41b5a92a3eaac1623f98c62241bcddda673eafde5d3fb2023d41bf7b04430710b4415530cc3e778e303f37975c41b62ae53eaa80ba3f98a83641bcdd9ce33eafba893fb1d34541bf6dcd43071438415511da3e7713dc3f37612f41b6d3b93eaa70ff3f98834a41bcdd5a0f3eb0369e3fb12d7741bf44fe430717bcdc4154fd393e76f4643f3793de41b7acc93eaa88963f98667441bcdd20503eafe47a3fb19f4941bf1d4e0188b8bd,24,1367561537,2033-05-03T06:12:17+00:00,,,48,0
S4B_Table1.tsv,S4B,1,31,bda0016ffd100d0ffd090600000600022c7900009c7800009ce4000073edbd,12,33555968,1991-01-24T09:06:08+00:00,-25480,0,49,0
S4B_Table1.tsv,S4B,1,251,bdaffd00011ffd200d890600000200009c78000543071b404154e8983e768b8a3f38327641b8c5243eaa5b263f982ef741bcdcf5b23eafaf2c3fb1885741bef71543071ec44154bf553e76b57c3f37ee4f41b9efc53eaabb443f98224c41bcdcd0b93eaf9f713fb14e7441bed5e1430722484154b8733e76d1703f37c1bcdc41bb4e933eaaca203f980ea241bcdcb4d43eafba893fb12a3141beb562430725cc4154b8733e763ce43f38a94d41bcdcd6693eaad8fb3f97f8cb41bcdca1fa3eaf97953fb1134041be9e514307295041548bc13e766a553f38e60941be7f0b3eaaad4a3f97e47a41bcdc96423eaf65c53fb0ea6741be6b6401cc43bd,32,1983002687,2052-11-02T10:04:47+00:00,,,51,0
S4B_Table1.tsv,S4B,1,31,bda0016ffd100d0ffd090700000600022c7900009c7d00009ce400004526bd,12,33555968,1991-01-24T09:06:08+00:00,-25475,0,52,0
