OrigRowIndex,TimestampUTC,TimestampLocal,MatchScore,BattV_Min,VWC_1_Avg,EC_1_Avg,T_1_Avg,VWC_2_Avg,EC_2_Avg,T_2_Avg,VWC_3_Avg,EC_3_Avg,T_3_Avg
5,,,0.0,13.412553787231445,0.14090000092983246,0.23400664329528809,22.26215171813965,0.16088667511940002,0.2981800138950348,23.349124908447266,0.3482666611671448,0.5905800461769104,23.391460418701172
6,,,0.0,13.389888763427734,0.14087334275245667,0.23411330580711365,22.248228073120117,0.16092665493488312,0.29776668548583984,23.327999114990234,0.34826669096946716,0.5906199812889099,23.38153839111328
7,,,0.0,13.35966968536377,0.14092665910720825,0.23381999135017395,22.241092681884766,0.1607999950647354,0.2971533238887787,23.295772552490234,0.3481733202934265,0.5916200280189514,23.37029457092285
8,,,0.0,13.346238136291504,0.14086666703224182,0.23413333296775818,22.251874923706055,0.16025333106517792,0.2967333197593689,23.278486251831055,0.3481599986553192,0.591866672039032,23.365882873535156
9,,,0.0,13.326091766357422,0.1408199965953827,0.23455998301506042,22.265439987182617,0.1603066772222519,0.29630663990974426,23.238035202026367,0.3481200337409973,0.5924466252326965,23.346385955810547
10,,,0.0,13.317697525024414,0.14110665023326874,0.23469334840774536,22.299528121948242,0.16007332503795624,0.2956799864768982,23.22129249572754,0.3480733633041382,0.5928066372871399,23.334054946899414
11,,,0.0,13.289996147155762,0.14149999618530273,0.23535333573818207,22.334901809692383,0.159620001912117,0.2953599989414215,23.194814682006836,0.34804004430770874,0.5935133695602417,23.33424949645996
12,,,0.0,13.2908353805542,0.1414533257484436,0.23576666414737701,22.37175750732422,0.15970666706562042,0.2947666347026825,23.177160263061523,0.3480066955089569,0.5938800573348999,23.314180374145508
42,,,0.0,13.574565887451172,0.14158667623996735,0.23483997583389282,22.459033966064453,0.1614733189344406,0.2999266982078552,23.493452072143555,0.3490133285522461,0.5901666879653931,23.43967628479004
43,,,0.0,13.526718139648438,0.1415800154209137,0.23486000299453735,22.393016815185547,0.1614999771118164,0.2996533513069153,23.47171974182129,0.34872666001319885,0.5900866985321045,23.430492401123047
44,,,0.0,13.480548858642578,0.14125999808311462,0.23454666137695312,22.352327346801758,0.16155332326889038,0.29940667748451233,23.434911727905273,0.3483133316040039,0.5899266600608826,23.43325424194336
45,,,0.0,13.44697093963623,0.14086668193340302,0.23414000868797302,22.30851173400879,0.16131332516670227,0.29901331663131714,23.404348373413086,0.34827330708503723,0.5903133153915405,23.406574249267578
165,2025-08-24 22:15:00,2025-08-24 16:15:00-0600,0.0,13.480548858642578,0.14125999808311462,0.23454666137695312,22.352327346801758,0.16155332326889038,0.29940667748451233,23.434911727905273,0.3483133316040039,0.5899266600608826,23.43325424194336
161,2025-08-24 22:30:00,2025-08-24 16:30:00-0600,0.0,13.480548858642578,0.14125999808311462,0.23454666137695312,22.352327346801758,0.16155332326889038,0.29940667748451233,23.434911727905273,0.3483133316040039,0.5899266600608826,23.43325424194336
164,2025-08-24 22:30:00,2025-08-24 16:30:00-0600,0.0,13.526718139648438,0.1415800154209137,0.23486000299453735,22.393016815185547,0.1614999771118164,0.2996533513069153,23.47171974182129,0.34872666001319885,0.5900866985321045,23.430492401123047
157,2025-08-24 22:45:00,2025-08-24 16:45:00-0600,0.0,13.480548858642578,0.14125999808311462,0.23454666137695312,22.352327346801758,0.16155332326889038,0.29940667748451233,23.434911727905273,0.3483133316040039,0.5899266600608826,23.43325424194336
160,2025-08-24 22:45:00,2025-08-24 16:45:00-0600,0.0,13.526718139648438,0.1415800154209137,0.23486000299453735,22.393016815185547,0.1614999771118164,0.2996533513069153,23.47171974182129,0.34872666001319885,0.5900866985321045,23.430492401123047
163,2025-08-24 22:45:00,2025-08-24 16:45:00-0600,0.0,13.574565887451172,0.14158667623996735,0.23483997583389282,22.459033966064453,0.1614733189344406,0.2999266982078552,23.493452072143555,0.3490133285522461,0.5901666879653931,23.43967628479004
153,2025-08-24 23:00:00,2025-08-24 17:00:00-0600,0.0,13.480548858642578,0.14125999808311462,0.23454666137695312,22.352327346801758,0.16155332326889038,0.29940667748451233,23.434911727905273,0.3483133316040039,0.5899266600608826,23.43325424194336
156,2025-08-24 23:00:00,2025-08-24 17:00:00-0600,0.0,13.526718139648438,0.1415800154209137,0.23486000299453735,22.393016815185547,0.1614999771118164,0.2996533513069153,23.47171974182129,0.34872666001319885,0.5900866985321045,23.430492401123047
159,2025-08-24 23:00:00,2025-08-24 17:00:00-0600,0.0,13.574565887451172,0.14158667623996735,0.23483997583389282,22.459033966064453,0.1614733189344406,0.2999266982078552,23.493452072143555,0.3490133285522461,0.5901666879653931,23.43967628479004
149,2025-08-24 23:15:00,2025-08-24 17:15:00-0600,0.0,13.480548858642578,0.14125999808311462,0.23454666137695312,22.352327346801758,0.16155332326889038,0.29940667748451233,23.434911727905273,0.3483133316040039,0.5899266600608826,23.43325424194336
152,2025-08-24 23:15:00,2025-08-24 17:15:00-0600,0.0,13.526718139648438,0.1415800154209137,0.23486000299453735,22.393016815185547,0.1614999771118164,0.2996533513069153,23.47171974182129,0.34872666001319885,0.5900866985321045,23.430492401123047
155,2025-08-24 23:15:00,2025-08-24 17:15:00-0600,0.0,13.574565887451172,0.14158667623996735,0.23483997583389282,22.459033966064453,0.1614733189344406,0.2999266982078552,23.493452072143555,0.3490133285522461,0.5901666879653931,23.43967628479004
145,2025-08-24 23:30:00,2025-08-24 17:30:00-0600,0.0,13.480548858642578,0.14125999808311462,0.23454666137695312,22.352327346801758,0.16155332326889038,0.29940667748451233,23.434911727905273,0.3483133316040039,0.5899266600608826,23.43325424194336
148,2025-08-24 23:30:00,2025-08-24 17:30:00-0600,0.0,13.526718139648438,0.1415800154209137,0.23486000299453735,22.393016815185547,0.1614999771118164,0.2996533513069153,23.47171974182129,0.34872666001319885,0.5900866985321045,23.430492401123047
151,2025-08-24 23:30:00,2025-08-24 17:30:00-0600,0.0,13.574565887451172,0.14158667623996735,0.23483997583389282,22.459033966064453,0.1614733189344406,0.2999266982078552,23.493452072143555,0.3490133285522461,0.5901666879653931,23.43967628479004
144,2025-08-24 23:45:00,2025-08-24 17:45:00-0600,0.0,13.526718139648438,0.1415800154209137,0.23486000299453735,22.393016815185547,0.1614999771118164,0.2996533513069153,23.47171974182129,0.34872666001319885,0.5900866985321045,23.430492401123047
147,2025-08-24 23:45:00,2025-08-24 17:45:00-0600,0.0,13.574565887451172,0.14158667623996735,0.23483997583389282,22.459033966064453,0.1614733189344406,0.2999266982078552,23.493452072143555,0.3490133285522461,0.5901666879653931,23.43967628479004
