DateTime,Epoch,ByteLen,PayloadHex
2025-08-19 23:15:32.611601+00:00,1755645332.611601,248,bdaffd00011ffd200b890e0000020000fd8f00054304dab0415303c93dfae4c73e5737ad41c356c13e5673f13ec8e7c941bb6a1c3ea24dd33edcf80f41b648964304de3441534bfd3dfa43ff3e57396b41c3cb693e5675b13ec8ed0541bbd7193ea242773edd9fd141b6706d4304e1b841537f903dfa40803e57422941c41ed43e566b333ec9199741bcdc3cde3ea245173edd6e0541b6827c4304e53c4153dc663dfa40803e5743e941c487d33e5659bcdc3ec95e9e41bcdc928b3ea240b73eddb68d41b6a0314304e8c04153fb583dfa43ff3e574e6441c4cc6b3e56db0c3ec9914e41bcdcf30c3ea261ed3ede01b241b6ce12017e47bd
2025-08-19 23:15:32.617438+00:00,1755645332.617438,31,bda0016ffd100b0ffd090f00000600022c790000fd940000fde80000e12cbd
2025-08-19 23:15:34.271296+00:00,1755645334.271296,246,bdaffd00011ffd200b890f0000020000fd9400054304ec444153564d3dfa40803e57263441c5048c3e57113c3ec9dc7141bcdd55273ea2a0d73edda0b441b6f0af4304efc841530e193dfa43ff3e5714b941c5326a3e5701803eca2b1641bcdda64e3ea2a6153edd734341b70ce64304f34c4152d3a53dfa5ff63e56d09141c557f03e56f5443eca596941be0ede3ea29d573eddf9d341b72c7f4304f6d0415292513dfa74f03e56a6a041c55c193e57acc43ecaa9cc41be5d693ea2957a3ede3b5c41b755254304fa544152622e3dfa89ea3e563a4541c55e643e57a7853ecae45741beaef43ea2973c3ede441a41b778700166a1bd
2025-08-19 23:15:34.277235+00:00,1755645334.277235,31,bda0016ffd100b0ffd091000000600022c790000fd990000fde80000dc4dbd
2025-08-19 23:15:35.516158+00:00,1755645335.516158,244,bdaffd00011ffd200b89100000020000fd9900054304fdd84152320c3dfa9b623e55b1f441c54a4e3e579eca3ecb170641bef2fd3ea2965b3ede37dd41b7a3c24305015c41520c393df98ac03e55379f41c5203b3e5790cf3ecb49b441bf34643ea293bb3ede70ac41b7cb42430504e0415208c93df959d03e54d5c341c4ed643e5786533ecb843f41bf5d8d3ea28cbe3edec10f41b7f7a5430508644151df863df980403e5459ac41c4b9733e5781153ecb907a41bf92d13ea28f5c3edea27941b81b5c43050be84151c7753df9aa323e53c52141c482253e579d0b3ecb9bd641bfcf453ea28e7c3ede98dc41b8476701b0e5bd
2025-08-19 23:15:35.519916+00:00,1755645335.519916,31,bda0016ffd100b0ffd091100000600022c790000fd9e0000fde800007c28bd
2025-08-19 23:15:36.759853+00:00,1755645336.759853,244,bdaffd00011ffd200b89110000020000fd9e000543050f6c4151a1a23df8a78d3e532b5541c432863e584d8c3ecbbb4c41bfdebe3ea28a1e3eded60741b87073430512f041517bd03df857293e52bb7e41c3e22a3e581e5e3ecbd74241bfffa33ea2893f3edee6a141b89f7f4305167441517f403df8849a3e5236ac41c38f973e579ecb3ecbc5c741c01d243ea2869f3edf362541b8be61430519f84151672f3df8b20b3e51a59e41c32bf23e57715b3ecbde4141c019b53ea285c03edf32a641b8db5c43051d7c4151302b3df7abe63e510bd241c2d0b23e5773193ecbd04441c027523ea280813edf62b741b90763016800bd
2025-08-19 23:15:36.765438+00:00,1755645336.765438,31,bda0016ffd100b0ffd091200000600022c790000fda30000fde800005a33bd
2025-08-19 23:15:38.055218+00:00,1755645338.055218,244,bdaffd00011ffd200b89120000020000fda30005430521004151339b3df762803e50987c41c257db3e576c1d3ecbf17b41c02fa23ea282403edf45e141b91a9d430524844151294b3df785743e501e2541c1f2753e57769a3ecbc32a41c028da3ea281623edf61d741b94959430528084150fc983df7b9e23e4f66a441c16ff53e577bd73ecba73541c01f043ea27ec13edf751041b969b143052b8c415106e83df694493e4eee0f41c119463e5781153ecb9af641c019c23ea280813edf513c41b97fe043052f104150e4873df663593e4e7ab941c0b5da3e5786533ecb7c6341c007353ea27c233edfa1a041b98e95015711bd
2025-08-19 23:15:38.060177+00:00,1755645338.060177,31,bda0016ffd100b0ffd091300000600022c790000fda80000fde800001d99bd
2025-08-19 23:15:39.254879+00:00,1755645339.254879,244,bdaffd00011ffd200b89130000020000fda80005430532944150c9063df68d473e4df0a941c0360f3e5789d33ecb710441bfebfd3ea2b1703edfe6a941b9b439430536184150cfe63df6b3ba3e4d615a41bfb7133e578b913ecb56ce41bfd5513ea2db613edfb5ba41b9c4104305399c41509fc33df6d6ad3e4cf18041bf45573e579b4a3ecb2bfe41bfac1e3ea2dd213edf910641b9d14743053d204150a6a33df5d0893e4c677141beeb0c3e57998b3ecb20a141bf9fa63ea2dd213edf84cb41b9daac430540a4415084403df575a93e4c1c4b41be7d2a3e579ec93ecb1a8441bf6c443ea2d0e43ee039ac41b9f3ef015452bd
2025-08-19 23:15:39.258607+00:00,1755645339.258607,31,bda0016ffd100b0ffd091400000600022c790000fdad0000fde800002aa3bd
2025-08-19 23:15:40.743585+00:00,1755645340.743585,250,bdaffd00011ffd200b89140000020000fdad000543054428415073103df5989e3e4bbfab41bcddf58e3e57a7863ecaefb341bf39ab3ea2d6243edff3c441b9fff9430547ac415005093df5bf113e4b305c41bcdd98be3e57cdfa3ecabb4641bf08843ea2d7e23edfd36f41ba0d8743054b30415061df3df5e5843e4abb4441bcdd13823e580ce33ecab6e641bee3763ea2db613edfbafa41ba157743054eb44150352c3df46c073e4a3f3141bcdc9ef43e589a733eca77fe41beb5c13ea2d8c23edfc11741ba1cf743055238415050ad3df4927b3e49bcdddd41bcdc446f3e589fb03eca668241be8a553ea2d8c23edfe86741ba1b1201323cbd
2025-08-19 23:15:40.748596+00:00,1755645340.748596,31,bda0016ffd100b0ffd091500000600022c790000fdb20000fde800007c5bbd
2025-08-19 23:15:42.282881+00:00,1755645342.282881,249,bdaffd00011ffd200b89150000020000fdb20005430555bcdc414fbcdcd43df4a3f53e498b2f41bbb39f3e57d6b63eca2a3741be4f193ea2d6233edfebe741ba278343055940415049cd3df4c36a3e4910da41bb63453e57e1333ec9fda541be215e3ea2dc413edfa28241ba23ba43055cc441503f7c3df4f4573e48834a41bae0873e57e9ef3ec9dff141bcddeb0a3ea2d7023edfce3241ba1f3b430560484150389c3df3b9c63e48382441ba6e553e57ef2f3ec9c5b941bcddadd93ea2d9a23edf9f0241ba2d2f430563cc414f9de23df388d53e47f07e41ba0f093e57f9aa3ec9897041bcdd704d3ea2d9a23edfbe7641ba260201ab99bd
