year,strip,event_id,depth_inches,irrigation_start,irrigation_end,gallons_strip,event_duration_hours,distance_T_ft,distance_M_ft,distance_B_ft,arrival_T_min,arrival_M_min,arrival_B_min,T_to_M_min,M_to_B_min,T_to_B_min,T_to_M_ft_per_min,M_to_B_ft_per_min,T_to_B_ft_per_min,alt_arrival_T_min,alt_arrival_M_min,alt_arrival_B_min,alt_T_to_M_min,alt_M_to_B_min,alt_T_to_B_min,alt_T_to_M_ft_per_min,alt_M_to_B_ft_per_min,alt_T_to_B_ft_per_min
2026.00,S1,2026-04-21_S1_S2_001c30f6,6.00,2026-04-21 14:54:00,2026-04-22 08:52:00,110850.00,17.97,54.00,169.00,284.00,36.00,216.00,501.00,180.00,285.00,465.00,0.64,0.40,0.49,36.00,276.00,561.00,240.00,285.00,525.00,0.48,0.40,0.44
2026.00,S1,2026-04-21_S1_S2_001c30f6,12.00,2026-04-21 14:54:00,2026-04-22 08:52:00,110850.00,17.97,54.00,169.00,284.00,36.00,306.00,606.00,270.00,300.00,570.00,0.43,0.38,0.40,51.00,321.00,636.00,270.00,315.00,585.00,0.43,0.37,0.39
2026.00,S1,2026-04-21_S1_S2_001c30f6,18.00,2026-04-21 14:54:00,2026-04-22 08:52:00,110850.00,17.97,54.00,169.00,284.00,36.00,351.00,696.00,315.00,345.00,660.00,0.37,0.33,0.35,36.00,351.00,711.00,315.00,360.00,675.00,0.37,0.32,0.34
2026.00,S2,2026-04-21_S1_S2_001c30f6,6.00,2026-04-21 14:54:00,2026-04-22 08:52:00,110850.00,17.97,54.00,169.00,284.00,21.00,51.00,171.00,30.00,120.00,150.00,3.83,0.96,1.53,21.00,66.00,216.00,45.00,150.00,195.00,2.56,0.77,1.18
2026.00,S2,2026-04-21_S1_S2_001c30f6,12.00,2026-04-21 14:54:00,2026-04-22 08:52:00,110850.00,17.97,54.00,169.00,284.00,21.00,51.00,186.00,30.00,135.00,165.00,3.83,0.85,1.39,21.00,51.00,186.00,30.00,135.00,165.00,3.83,0.85,1.39
2026.00,S2,2026-04-21_S1_S2_001c30f6,18.00,2026-04-21 14:54:00,2026-04-22 08:52:00,110850.00,17.97,54.00,169.00,284.00,21.00,51.00,186.00,30.00,135.00,165.00,3.83,0.85,1.39,21.00,51.00,186.00,30.00,135.00,165.00,3.83,0.85,1.39
2026.00,S3,2026-04-21_S3_S4_ed1ed131,6.00,2026-04-21 14:54:00,2026-04-22 08:52:00,110850.00,17.97,54.00,169.00,284.00,81.00,51.00,96.00,-30.00,45.00,15.00,,2.56,15.33,96.00,51.00,111.00,-45.00,60.00,15.00,,1.92,15.33
2026.00,S3,2026-04-21_S3_S4_ed1ed131,12.00,2026-04-21 14:54:00,2026-04-22 08:52:00,110850.00,17.97,54.00,169.00,284.00,276.00,51.00,126.00,-225.00,75.00,-150.00,,1.53,,336.00,51.00,126.00,-285.00,75.00,-210.00,,1.53,
2026.00,S3,2026-04-21_S3_S4_ed1ed131,18.00,2026-04-21 14:54:00,2026-04-22 08:52:00,110850.00,17.97,54.00,169.00,284.00,516.00,66.00,141.00,-450.00,75.00,-375.00,,1.53,,651.00,66.00,141.00,-585.00,75.00,-510.00,,1.53,
2026.00,S4,2026-04-21_S3_S4_ed1ed131,6.00,2026-04-21 14:54:00,2026-04-22 08:52:00,110850.00,17.97,54.00,169.00,284.00,21.00,126.00,696.00,105.00,570.00,675.00,1.10,0.20,0.34,21.00,126.00,681.00,105.00,555.00,660.00,1.10,0.21,0.35
2026.00,S4,2026-04-21_S3_S4_ed1ed131,12.00,2026-04-21 14:54:00,2026-04-22 08:52:00,110850.00,17.97,54.00,169.00,284.00,21.00,126.00,801.00,105.00,675.00,780.00,1.10,0.17,0.29,21.00,126.00,861.00,105.00,735.00,840.00,1.10,0.16,0.27
2026.00,S4,2026-04-21_S3_S4_ed1ed131,18.00,2026-04-21 14:54:00,2026-04-22 08:52:00,110850.00,17.97,54.00,169.00,284.00,21.00,156.00,876.00,135.00,720.00,855.00,0.85,0.16,0.27,21.00,156.00,936.00,135.00,780.00,915.00,0.85,0.15,0.25
2026.00,S3,2026-05-08_S3_S4_989607cc,6.00,2026-05-08 09:00:00,2026-05-08 19:14:00,90350.00,10.23,54.00,169.00,284.00,135.00,75.00,120.00,-60.00,45.00,-15.00,,2.56,,135.00,75.00,120.00,-60.00,45.00,-15.00,,2.56,
2026.00,S3,2026-05-08_S3_S4_989607cc,12.00,2026-05-08 09:00:00,2026-05-08 19:14:00,90350.00,10.23,54.00,169.00,284.00,465.00,75.00,135.00,-390.00,60.00,-330.00,,1.92,,465.00,75.00,135.00,-390.00,60.00,-330.00,,1.92,
2026.00,S3,2026-05-08_S3_S4_989607cc,18.00,2026-05-08 09:00:00,2026-05-08 19:14:00,90350.00,10.23,54.00,169.00,284.00,570.00,75.00,150.00,-495.00,75.00,-420.00,,1.53,,645.00,75.00,150.00,-570.00,75.00,-495.00,,1.53,
2026.00,S4,2026-05-08_S3_S4_989607cc,6.00,2026-05-08 09:00:00,2026-05-08 19:14:00,90350.00,10.23,54.00,169.00,284.00,30.00,90.00,390.00,60.00,300.00,360.00,1.92,0.38,0.64,30.00,90.00,465.00,60.00,375.00,435.00,1.92,0.31,0.53
2026.00,S4,2026-05-08_S3_S4_989607cc,12.00,2026-05-08 09:00:00,2026-05-08 19:14:00,90350.00,10.23,54.00,169.00,284.00,30.00,90.00,600.00,60.00,510.00,570.00,1.92,0.23,0.40,30.00,90.00,615.00,60.00,525.00,585.00,1.92,0.22,0.39
