year,strip,event_id,logger_position,irrigation_start,irrigation_end,event_duration_hours,gallons_strip,avg_flow_gph_strip,alt_arrival_minutes_after_irrigation_start_6in,alt_arrival_minutes_after_irrigation_start_12in,alt_arrival_minutes_after_irrigation_start_18in,alt_arrival_vwc_6in,alt_arrival_vwc_12in,alt_arrival_vwc_18in,arrival_minutes_after_irrigation_start_6in,arrival_minutes_after_irrigation_start_12in,arrival_minutes_after_irrigation_start_18in,arrival_vwc_6in,arrival_vwc_12in,arrival_vwc_18in,peak_vwc_6in,peak_vwc_12in,peak_vwc_18in,pre_vwc_6in,pre_vwc_12in,pre_vwc_18in,pre_profile_vwc_mean,pre_profile_vwc_min,pre_profile_vwc_max,delta_vwc_6in,delta_vwc_12in,delta_vwc_18in,delta_profile_vwc_mean,first_arrival_min,last_arrival_min,vertical_spread_min,distance_from_furrow_start_ft,vertical_velocity_6_to_12_in_per_min,vertical_velocity_12_to_18_in_per_min,vertical_velocity_6_to_18_in_per_min
2026.00,S1,2026-04-21_S1_S2_001c30f6,B,2026-04-21 14:54:00,2026-04-22 08:52:00,17.97,110850.00,6169.76,561.0,636.0,711.0,16.98,14.15,13.09,501.0,606.0,696.0,15.27,13.35,12.22,34.73,37.27,28.68,14.91,13.03,11.89,13.28,11.89,14.91,19.81,24.24,16.79,20.28,501.0,696.0,195.0,284.00,0.06,0.07,0.06
2026.00,S1,2026-04-21_S1_S2_001c30f6,M,2026-04-21 14:54:00,2026-04-22 08:52:00,17.97,110850.00,6169.76,276.0,321.0,351.0,21.03,20.97,33.15,216.0,306.0,351.0,17.18,18.58,33.15,39.21,35.05,39.70,16.46,18.14,32.54,22.38,16.46,32.54,22.75,16.91,7.16,15.61,216.0,351.0,135.0,169.00,0.07,0.13,0.09
2026.00,S1,2026-04-21_S1_S2_001c30f6,T,2026-04-21 14:54:00,2026-04-22 08:52:00,17.97,110850.00,6169.76,36.0,51.0,36.0,27.26,25.31,28.51,36.0,36.0,36.0,27.26,22.52,28.51,41.49,44.47,45.94,24.62,22.26,27.31,24.73,22.26,27.31,16.88,22.21,18.63,19.24,36.0,36.0,0.0,54.00,,,
2026.00,S2,2026-04-21_S1_S2_001c30f6,B,2026-04-21 14:54:00,2026-04-22 08:52:00,17.97,110850.00,6169.76,216.0,186.0,186.0,13.01,11.21,12.37,171.0,186.0,186.0,10.29,11.21,12.37,41.82,37.01,40.21,9.91,9.14,8.48,9.18,8.48,9.91,31.91,27.87,31.73,30.50,171.0,186.0,15.0,284.00,0.40,,0.80
2026.00,S2,2026-04-21_S1_S2_001c30f6,M,2026-04-21 14:54:00,2026-04-22 08:52:00,17.97,110850.00,6169.76,66.0,51.0,51.0,26.49,17.70,21.56,51.0,51.0,51.0,16.09,17.70,21.56,38.02,40.16,43.51,15.69,16.38,18.46,16.84,15.69,18.46,22.34,23.79,25.05,23.73,51.0,51.0,0.0,169.00,,,
2026.00,S2,2026-04-21_S1_S2_001c30f6,T,2026-04-21 14:54:00,2026-04-22 08:52:00,17.97,110850.00,6169.76,21.0,21.0,21.0,33.69,37.64,34.55,21.0,21.0,21.0,33.69,37.64,34.55,49.54,45.85,40.91,10.68,20.81,30.41,20.64,10.68,30.41,38.86,25.03,10.49,24.80,21.0,21.0,0.0,54.00,,,
2026.00,S3,2026-04-21_S3_S4_ed1ed131,B,2026-04-21 14:54:00,2026-04-22 08:52:00,17.97,110850.00,6169.76,111.0,126.0,141.0,20.09,18.60,15.27,96.0,126.0,141.0,11.12,18.60,15.27,34.61,32.80,29.27,10.78,11.78,9.30,10.62,9.30,11.78,23.83,21.03,19.97,21.61,96.0,141.0,45.0,284.00,0.20,0.40,0.27
2026.00,S3,2026-04-21_S3_S4_ed1ed131,M,2026-04-21 14:54:00,2026-04-22 08:52:00,17.97,110850.00,6169.76,51.0,51.0,66.0,17.28,22.74,34.74,51.0,51.0,66.0,17.28,22.74,34.74,42.03,37.70,39.52,14.18,19.29,20.32,17.93,14.18,20.32,27.85,18.42,19.20,21.82,51.0,66.0,15.0,169.00,,0.40,0.80
2026.00,S3,2026-04-21_S3_S4_ed1ed131,T,2026-04-21 14:54:00,2026-04-22 08:52:00,17.97,110850.00,6169.76,96.0,336.0,651.0,20.02,28.36,45.74,81.0,276.0,516.0,18.97,26.11,42.88,39.16,39.02,51.35,18.59,25.14,42.50,28.75,18.59,42.50,20.57,13.88,8.85,14.43,81.0,516.0,435.0,54.00,0.03,0.03,0.03
2026.00,S4,2026-04-21_S3_S4_ed1ed131,B,2026-04-21 14:54:00,2026-04-22 08:52:00,17.97,110850.00,6169.76,681.0,861.0,936.0,18.57,27.00,20.15,696.0,801.0,876.0,22.40,25.75,18.07,49.66,39.88,44.61,21.62,24.95,17.62,21.40,17.62,24.95,28.04,14.93,26.99,23.32,696.0,876.0,180.0,284.00,0.06,0.08,0.07
