year,event_id,strip,logger_position,arrival_6in_min,arrival_12in_min,arrival_18in_min,arrival_order,expected_order,order_class,alt_arrival_6in_min,alt_arrival_12in_min,alt_arrival_18in_min,alt_arrival_order,alt_expected_order,alt_order_class,alt_before_start_depths,any_alt_before_start,all_alt_before_start,arrival_6in_T_min,arrival_6in_M_min,arrival_6in_B_min,arrival_6in_logger_order_class,alt_arrival_6in_T_min,alt_arrival_6in_M_min,alt_arrival_6in_B_min,alt_arrival_6in_logger_order_class,arrival_12in_T_min,arrival_12in_M_min,arrival_12in_B_min,arrival_12in_logger_order_class,alt_arrival_12in_T_min,alt_arrival_12in_M_min,alt_arrival_12in_B_min,alt_arrival_12in_logger_order_class,arrival_18in_T_min,arrival_18in_M_min,arrival_18in_B_min,arrival_18in_logger_order_class,alt_arrival_18in_T_min,alt_arrival_18in_M_min,alt_arrival_18in_B_min,alt_arrival_18in_logger_order_class,any_bottom_before_top_or_middle,any_alt_bottom_before_top_or_middle,any_all_loggers_before_start
2024,2024-06-15_S3_S4_b6aa9839,S3,B,1.0,1.0,16.0,6→12→18,True,expected,-14.0,1.0,16.0,6→12→18,True,expected,6,True,False,166.0,91.0,1.0,bottom_before_top_or_middle,166.0,91.0,-14.0,bottom_before_top_or_middle,166.0,91.0,1.0,bottom_before_top_or_middle,181.0,91.0,1.0,bottom_before_top_or_middle,181.0,106.0,16.0,bottom_before_top_or_middle,196.0,106.0,16.0,bottom_before_top_or_middle,True,True,False
2024,2024-06-15_S3_S4_b6aa9839,S3,M,91.0,91.0,106.0,6→12→18,True,expected,91.0,91.0,106.0,6→12→18,True,expected,,False,False,166.0,91.0,1.0,bottom_before_top_or_middle,166.0,91.0,-14.0,bottom_before_top_or_middle,166.0,91.0,1.0,bottom_before_top_or_middle,181.0,91.0,1.0,bottom_before_top_or_middle,181.0,106.0,16.0,bottom_before_top_or_middle,196.0,106.0,16.0,bottom_before_top_or_middle,True,True,False
2024,2024-06-15_S3_S4_b6aa9839,S3,T,166.0,166.0,181.0,6→12→18,True,expected,166.0,181.0,196.0,6→12→18,True,expected,,False,False,166.0,91.0,1.0,bottom_before_top_or_middle,166.0,91.0,-14.0,bottom_before_top_or_middle,166.0,91.0,1.0,bottom_before_top_or_middle,181.0,91.0,1.0,bottom_before_top_or_middle,181.0,106.0,16.0,bottom_before_top_or_middle,196.0,106.0,16.0,bottom_before_top_or_middle,True,True,False
2024,2024-06-15_S3_S4_b6aa9839,S4,M,241.0,241.0,256.0,6→12→18,True,expected,241.0,241.0,271.0,6→12→18,True,expected,,False,False,151.0,241.0,,missing_loggers,151.0,241.0,,missing_loggers,151.0,241.0,,missing_loggers,151.0,241.0,,missing_loggers,151.0,256.0,,missing_loggers,151.0,271.0,,missing_loggers,False,False,False
2024,2024-06-15_S3_S4_b6aa9839,S4,T,151.0,151.0,151.0,6→12→18,True,expected,151.0,151.0,151.0,6→12→18,True,expected,,False,False,151.0,241.0,,missing_loggers,151.0,241.0,,missing_loggers,151.0,241.0,,missing_loggers,151.0,241.0,,missing_loggers,151.0,256.0,,missing_loggers,151.0,271.0,,missing_loggers,False,False,False
2024,2024-06-22_S1_S2_e95bd875,S1,B,270.0,450.0,570.0,6→12→18,True,expected,600.0,615.0,540.0,18→6→12,False,18_before_12,,False,False,150.0,255.0,270.0,expected,150.0,255.0,600.0,expected,150.0,360.0,450.0,expected,150.0,360.0,615.0,expected,150.0,405.0,570.0,expected,150.0,405.0,540.0,expected,False,False,False
2024,2024-06-22_S1_S2_e95bd875,S1,M,255.0,360.0,405.0,6→12→18,True,expected,255.0,360.0,405.0,6→12→18,True,expected,,False,False,150.0,255.0,270.0,expected,150.0,255.0,600.0,expected,150.0,360.0,450.0,expected,150.0,360.0,615.0,expected,150.0,405.0,570.0,expected,150.0,405.0,540.0,expected,False,False,False
2024,2024-06-22_S1_S2_e95bd875,S1,T,150.0,150.0,150.0,6→12→18,True,expected,150.0,150.0,150.0,6→12→18,True,expected,,False,False,150.0,255.0,270.0,expected,150.0,255.0,600.0,expected,150.0,360.0,450.0,expected,150.0,360.0,615.0,expected,150.0,405.0,570.0,expected,150.0,405.0,540.0,expected,False,False,False
2024,2024-06-22_S1_S2_e95bd875,S2,B,345.0,300.0,315.0,12→18→6,False,12_before_6,345.0,300.0,315.0,12→18→6,False,12_before_6,,False,False,15.0,120.0,345.0,expected,15.0,120.0,345.0,expected,15.0,135.0,300.0,expected,15.0,135.0,300.0,expected,15.0,135.0,315.0,expected,15.0,135.0,315.0,expected,False,False,False
2024,2024-06-22_S1_S2_e95bd875,S2,M,120.0,135.0,135.0,6→12→18,True,expected,120.0,135.0,135.0,6→12→18,True,expected,,False,False,15.0,120.0,345.0,expected,15.0,120.0,345.0,expected,15.0,135.0,300.0,expected,15.0,135.0,300.0,expected,15.0,135.0,315.0,expected,15.0,135.0,315.0,expected,False,False,False
