year,strip_group,location,strip,event_id,sensor_col,depth_index,depth_inches,logger_position,irrigation_start,irrigation_end,plot_start,plot_end,baseline_vwc,arrival_threshold_vwc,arrival_time,arrival_vwc,arrival_minutes_after_irrigation_start,arrival_before_irrigation_start,gallons_strip,event_duration_hours,alt_arrival_threshold_vwc,alt_arrival_time,alt_arrival_vwc,alt_arrival_step_vwc,alt_arrival_minutes_after_irrigation_start,alt_arrival_before_irrigation_start
2026,S1_S2,west,S2,2026-04-21_S1_S2_bbe65f90,VWC_3_raw_S2_M,3,18,M,2026-04-21 14:54:00,2026-04-22 08:52:00,2026-04-21 02:54:00,2026-04-22 20:54:00,18.523,0.25,2026-04-21 16:45:00,21.559,111.0,False,110850.0,17.967,0.5,2026-04-21 16:45:00,21.559,3.242,111.0,False
2026,S1_S2,west,S2,2026-04-21_S1_S2_bbe65f90,VWC_1_raw_S2_T,1,6,T,2026-04-21 14:54:00,2026-04-22 08:52:00,2026-04-21 02:54:00,2026-04-22 20:54:00,10.742,0.25,,,,,110850.0,17.967,0.5,2026-04-21 14:15:00,33.687,22.94,-39.0,True
2026,S1_S2,west,S2,2026-04-21_S1_S2_bbe65f90,VWC_2_raw_S2_T,2,12,T,2026-04-21 14:54:00,2026-04-22 08:52:00,2026-04-21 02:54:00,2026-04-22 20:54:00,20.809,0.25,,,,,110850.0,17.967,0.5,2026-04-21 14:15:00,37.639,16.847,-39.0,True
2026,S1_S2,west,S2,2026-04-21_S1_S2_bbe65f90,VWC_3_raw_S2_T,3,18,T,2026-04-21 14:54:00,2026-04-22 08:52:00,2026-04-21 02:54:00,2026-04-22 20:54:00,30.422,0.25,,,,,110850.0,17.967,0.5,2026-04-21 14:15:00,34.545,4.122,-39.0,True
2026,S1_S2,west,S1,2026-05-20_S1_S2_49743b7c,VWC_1_raw_S1_B,1,6,B,2026-05-20 11:23:00,2026-05-20 17:53:00,2026-05-19 23:23:00,2026-05-21 17:23:00,17.047,0.25,2026-05-20 18:45:00,17.723,442.0,False,54400.0,6.5,0.5,2026-05-20 19:30:00,18.743,0.558,487.0,False
2026,S1_S2,west,S1,2026-05-20_S1_S2_49743b7c,VWC_2_raw_S1_B,2,12,B,2026-05-20 11:23:00,2026-05-20 17:53:00,2026-05-19 23:23:00,2026-05-21 17:23:00,17.502,0.25,2026-05-20 20:15:00,19.674,532.0,False,54400.0,6.5,0.5,2026-05-20 20:15:00,19.674,2.055,532.0,False
2026,S1_S2,west,S1,2026-05-20_S1_S2_49743b7c,VWC_3_raw_S1_B,3,18,B,2026-05-20 11:23:00,2026-05-20 17:53:00,2026-05-19 23:23:00,2026-05-21 17:23:00,13.237,0.25,2026-05-20 21:45:00,14.204,622.0,False,54400.0,6.5,0.5,2026-05-20 21:45:00,14.204,0.811,622.0,False
2026,S1_S2,west,S1,2026-05-20_S1_S2_49743b7c,VWC_1_raw_S1_M,1,6,M,2026-05-20 11:23:00,2026-05-20 17:53:00,2026-05-19 23:23:00,2026-05-21 17:23:00,19.224,0.25,2026-05-20 14:15:00,19.675,172.0,False,54400.0,6.5,0.5,2026-05-20 14:30:00,20.523,0.848,187.0,False
2026,S1_S2,west,S1,2026-05-20_S1_S2_49743b7c,VWC_2_raw_S1_M,2,12,M,2026-05-20 11:23:00,2026-05-20 17:53:00,2026-05-19 23:23:00,2026-05-21 17:23:00,19.261,0.25,2026-05-20 14:45:00,20.981,202.0,False,54400.0,6.5,0.5,2026-05-20 14:45:00,20.981,1.745,202.0,False
2026,S1_S2,west,S1,2026-05-20_S1_S2_49743b7c,VWC_3_raw_S1_M,3,18,M,2026-05-20 11:23:00,2026-05-20 17:53:00,2026-05-19 23:23:00,2026-05-21 17:23:00,33.866,0.25,2026-05-20 15:15:00,34.563,232.0,False,54400.0,6.5,0.5,2026-05-20 15:15:00,34.563,0.726,232.0,False
2026,S1_S2,west,S1,2026-05-20_S1_S2_49743b7c,VWC_1_raw_S1_T,1,6,T,2026-05-20 11:23:00,2026-05-20 17:53:00,2026-05-19 23:23:00,2026-05-21 17:23:00,29.066,0.25,2026-05-20 12:45:00,29.86,82.0,False,54400.0,6.5,0.5,2026-05-20 12:45:00,29.86,0.765,82.0,False
2026,S1_S2,west,S1,2026-05-20_S1_S2_49743b7c,VWC_2_raw_S1_T,2,12,T,2026-05-20 11:23:00,2026-05-20 17:53:00,2026-05-19 23:23:00,2026-05-21 17:23:00,27.51,0.25,2026-05-20 13:00:00,32.867,97.0,False,54400.0,6.5,0.5,2026-05-20 13:00:00,32.867,5.354,97.0,False
2026,S1_S2,west,S1,2026-05-20_S1_S2_49743b7c,VWC_3_raw_S1_T,3,18,T,2026-05-20 11:23:00,2026-05-20 17:53:00,2026-05-19 23:23:00,2026-05-21 17:23:00,31.962,0.25,2026-05-20 13:30:00,35.67,127.0,False,54400.0,6.5,0.5,2026-05-20 13:30:00,35.67,3.699,127.0,False
2026,S1_S2,west,S2,2026-05-20_S1_S2_49743b7c,VWC_1_raw_S2_B,1,6,B,2026-05-20 11:23:00,2026-05-20 17:53:00,2026-05-19 23:23:00,2026-05-21 17:23:00,10.162,0.25,2026-05-20 13:45:00,10.583,142.0,False,54400.0,6.5,0.5,2026-05-20 14:30:00,14.51,3.692,187.0,False
2026,S1_S2,west,S2,2026-05-20_S1_S2_49743b7c,VWC_2_raw_S2_B,2,12,B,2026-05-20 11:23:00,2026-05-20 17:53:00,2026-05-19 23:23:00,2026-05-21 17:23:00,12.433,0.25,2026-05-20 14:15:00,13.067,172.0,False,54400.0,6.5,0.5,2026-05-20 14:15:00,13.067,0.756,172.0,False
2026,S1_S2,west,S2,2026-05-20_S1_S2_49743b7c,VWC_3_raw_S2_B,3,18,B,2026-05-20 11:23:00,2026-05-20 17:53:00,2026-05-19 23:23:00,2026-05-21 17:23:00,17.481,0.25,2026-05-20 14:15:00,17.959,172.0,False,54400.0,6.5,0.5,2026-05-20 14:15:00,17.959,0.666,172.0,False
2026,S1_S2,west,S2,2026-05-20_S1_S2_49743b7c,VWC_1_raw_S2_M,1,6,M,2026-05-20 11:23:00,2026-05-20 17:53:00,2026-05-19 23:23:00,2026-05-21 17:23:00,15.142,0.25,2026-05-20 13:15:00,16.278,112.0,False,54400.0,6.5,0.5,2026-05-20 13:15:00,16.278,0.947,112.0,False
