year,event_id,strip,logger_position,arrival_6in_min,arrival_12in_min,arrival_18in_min,arrival_order,expected_order,order_class,alt_arrival_6in_min,alt_arrival_12in_min,alt_arrival_18in_min,alt_arrival_order,alt_expected_order,alt_order_class,alt_before_start_depths,any_alt_before_start,all_alt_before_start,baseline_vwc_6in,baseline_vwc_12in,baseline_vwc_18in,elevated_18in_baseline_context,depth_profile_interpretation,arrival_6in_T_min,arrival_6in_M_min,arrival_6in_B_min,arrival_6in_logger_order_class,alt_arrival_6in_T_min,alt_arrival_6in_M_min,alt_arrival_6in_B_min,alt_arrival_6in_logger_order_class,arrival_12in_T_min,arrival_12in_M_min,arrival_12in_B_min,arrival_12in_logger_order_class,alt_arrival_12in_T_min,alt_arrival_12in_M_min,alt_arrival_12in_B_min,alt_arrival_12in_logger_order_class,arrival_18in_T_min,arrival_18in_M_min,arrival_18in_B_min,arrival_18in_logger_order_class,alt_arrival_18in_T_min,alt_arrival_18in_M_min,alt_arrival_18in_B_min,alt_arrival_18in_logger_order_class,any_bottom_before_top_or_middle,any_alt_bottom_before_top_or_middle,any_all_loggers_before_start
2023,2023-05-23_S1_S2_176caf9a,S1,B,,,5.0,18,False,missing_depths,5.0,,5.0,6→18,False,missing_depths,,False,False,14.752,16.2615,4.498,False,,5.0,140.0,,some_loggers_arrived_before_start,-85.0,140.0,5.0,bottom_before_top_or_middle,20.0,245.0,,missing_loggers,35.0,245.0,,missing_loggers,35.0,365.0,5.0,bottom_before_top_or_middle,-85.0,365.0,5.0,bottom_before_top_or_middle,True,True,False
2023,2023-05-23_S1_S2_176caf9a,S1,M,140.0,245.0,365.0,6→12→18,True,expected,140.0,245.0,365.0,6→12→18,True,expected,,False,False,11.2455,16.8305,23.7875,True,"18-inch baseline exceeds both shallower baselines; treat as a site/depth-profile characteristic, not an anomaly by itself.",5.0,140.0,,some_loggers_arrived_before_start,-85.0,140.0,5.0,bottom_before_top_or_middle,20.0,245.0,,missing_loggers,35.0,245.0,,missing_loggers,35.0,365.0,5.0,bottom_before_top_or_middle,-85.0,365.0,5.0,bottom_before_top_or_middle,True,True,False
2023,2023-05-23_S1_S2_176caf9a,S1,T,5.0,20.0,35.0,6→12→18,True,expected,-85.0,35.0,-85.0,6→18→12,False,18_before_12,"6,18",True,False,9.7785,13.248,15.249,True,"18-inch baseline exceeds both shallower baselines; treat as a site/depth-profile characteristic, not an anomaly by itself.",5.0,140.0,,some_loggers_arrived_before_start,-85.0,140.0,5.0,bottom_before_top_or_middle,20.0,245.0,,missing_loggers,35.0,245.0,,missing_loggers,35.0,365.0,5.0,bottom_before_top_or_middle,-85.0,365.0,5.0,bottom_before_top_or_middle,True,True,False
2023,2023-05-23_S1_S2_176caf9a,S2,B,50.0,80.0,110.0,6→12→18,True,expected,-415.0,80.0,110.0,6→12→18,True,expected,6,True,False,8.6385,7.574,6.4425,False,,140.0,5.0,50.0,bottom_before_top_or_middle,-235.0,-340.0,-415.0,bottom_before_top_or_middle,140.0,50.0,80.0,bottom_before_top_or_middle,-235.0,-340.0,80.0,middle_before_top,,110.0,110.0,some_loggers_arrived_before_start,,-340.0,110.0,some_loggers_arrived_before_start,True,True,True
2023,2023-05-23_S1_S2_176caf9a,S2,M,5.0,50.0,110.0,6→12→18,True,expected,-340.0,-340.0,-340.0,6→12→18,True,expected,"6,12,18",True,True,8.4455,9.036,5.804,False,,140.0,5.0,50.0,bottom_before_top_or_middle,-235.0,-340.0,-415.0,bottom_before_top_or_middle,140.0,50.0,80.0,bottom_before_top_or_middle,-235.0,-340.0,80.0,middle_before_top,,110.0,110.0,some_loggers_arrived_before_start,,-340.0,110.0,some_loggers_arrived_before_start,True,True,True
2023,2023-05-23_S1_S2_176caf9a,S2,T,140.0,140.0,,6→12,False,some_depths_arrived_before_start,-235.0,-235.0,,6→12,False,some_depths_arrived_before_start,"6,12",True,False,14.4855,19.156,,False,,140.0,5.0,50.0,bottom_before_top_or_middle,-235.0,-340.0,-415.0,bottom_before_top_or_middle,140.0,50.0,80.0,bottom_before_top_or_middle,-235.0,-340.0,80.0,middle_before_top,,110.0,110.0,some_loggers_arrived_before_start,,-340.0,110.0,some_loggers_arrived_before_start,True,True,True
2023,2023-05-24_S3_S4_31cada45,S3,B,230.0,275.0,365.0,6→12→18,True,expected,230.0,290.0,380.0,6→12→18,True,expected,,False,False,6.305,6.846,4.839,False,,,605.0,230.0,missing_loggers,,605.0,230.0,missing_loggers,35.0,680.0,275.0,bottom_before_top_or_middle,65.0,-580.0,290.0,middle_before_top,140.0,740.0,365.0,bottom_before_top_or_middle,185.0,740.0,380.0,bottom_before_top_or_middle,True,True,False
2023,2023-05-24_S3_S4_31cada45,S3,M,605.0,680.0,740.0,6→12→18,True,expected,605.0,-580.0,740.0,12→6→18,False,12_before_6,12,True,False,4.767,10.239,7.868,False,,,605.0,230.0,missing_loggers,,605.0,230.0,missing_loggers,35.0,680.0,275.0,bottom_before_top_or_middle,65.0,-580.0,290.0,middle_before_top,140.0,740.0,365.0,bottom_before_top_or_middle,185.0,740.0,380.0,bottom_before_top_or_middle,True,True,False
2023,2023-05-24_S3_S4_31cada45,S3,T,,35.0,140.0,12→18,False,missing_depths,,65.0,185.0,12→18,False,missing_depths,,False,False,,20.8765,37.3275,False,,,605.0,230.0,missing_loggers,,605.0,230.0,missing_loggers,35.0,680.0,275.0,bottom_before_top_or_middle,65.0,-580.0,290.0,middle_before_top,140.0,740.0,365.0,bottom_before_top_or_middle,185.0,740.0,380.0,bottom_before_top_or_middle,True,True,False
2023,2023-05-24_S3_S4_31cada45,S4,B,365.0,,,6,False,missing_depths,380.0,,,6,False,missing_depths,,False,False,6.619,21.777,9.797,False,,20.0,125.0,365.0,expected,35.0,140.0,380.0,expected,65.0,170.0,,missing_loggers,65.0,170.0,,missing_loggers,95.0,230.0,,missing_loggers,95.0,230.0,,missing_loggers,False,False,False
