year,strip_group,location,strip,event_id,sensor_col,logger_position,depth_index,depth_inches,irrigation_start,irrigation_end,bottom_response_delay_hr,time_to_peak_hours,time_to_plateau_hours,event_duration_hours,gallons_strip,flag_pre_start_response,flag_unexplained_pre_start_response,likely_precip_driven_pre_start_response,possible_battery_or_logger_issue,vwc_missing_fraction_pre_start_window,battery_col,battery_pre_start_min_v,battery_event_min_v,total_precip_in_pre_start_window,trustworthy_event,trustworthy_reason,trustworthy_min_bottom_response_delay_hr
2025,S1_S2,west,S1,2025-04-20_S1_S2_f3457ada,VWC_1_raw_S1_B,B,1,6,2025-04-20 08:15:00,2025-04-21 06:28:00,9.25,9.25,13.25,22.2167,132300.0,False,False,False,False,0.0,BattV_Min_S1_B,12.668,12.689,0.0,True,ok,0.5
2025,S1_S2,west,S1,2025-04-20_S1_S2_f3457ada,VWC_2_raw_S1_B,B,2,12,2025-04-20 08:15:00,2025-04-21 06:28:00,10.25,10.25,14.25,22.2167,132300.0,False,False,False,False,0.0,BattV_Min_S1_B,12.668,12.689,0.0,True,ok,0.5
2025,S1_S2,west,S1,2025-04-20_S1_S2_f3457ada,VWC_3_raw_S1_B,B,3,18,2025-04-20 08:15:00,2025-04-21 06:28:00,10.0,10.0,14.0,22.2167,132300.0,False,False,False,False,0.0,BattV_Min_S1_B,12.668,12.689,0.0,True,ok,0.5
2025,S1_S2,west,S1,2025-05-16_S1_S2_799859ac,VWC_1_raw_S1_B,B,1,6,2025-05-16 15:36:41,2025-05-17 07:37:42,18.6386,18.6386,22.1386,16.0169,92450.0,False,False,False,False,0.0,BattV_Min_S1_B,13.444,12.704,0.0,True,ok,0.5
2025,S1_S2,west,S1,2025-05-16_S1_S2_799859ac,VWC_2_raw_S1_B,B,2,12,2025-05-16 15:36:41,2025-05-17 07:37:42,18.6386,18.6386,27.6386,16.0169,92450.0,False,False,False,False,0.0,BattV_Min_S1_B,13.444,12.704,0.0,True,ok,0.5
2025,S1_S2,west,S1,2025-05-16_S1_S2_799859ac,VWC_3_raw_S1_B,B,3,18,2025-05-16 15:36:41,2025-05-17 07:37:42,16.8886,16.8886,28.1386,16.0169,92450.0,False,False,False,False,0.0,BattV_Min_S1_B,13.444,12.704,0.0,True,ok,0.5
2025,S1_S2,west,S1,2025-05-28_S1_S2_ca363c43,VWC_1_raw_S1_B,B,1,6,2025-05-28 18:58:00,2025-05-29 07:30:00,14.7833,14.7833,22.0333,12.5333,64250.0,False,False,False,False,0.0,BattV_Min_S1_B,13.327,12.754,0.0,True,ok,0.5
2025,S1_S2,west,S1,2025-05-28_S1_S2_ca363c43,VWC_2_raw_S1_B,B,2,12,2025-05-28 18:58:00,2025-05-29 07:30:00,13.2833,13.2833,15.0333,12.5333,64250.0,False,False,False,False,0.0,BattV_Min_S1_B,13.327,12.754,0.0,True,ok,0.5
2025,S1_S2,west,S1,2025-05-28_S1_S2_ca363c43,VWC_3_raw_S1_B,B,3,18,2025-05-28 18:58:00,2025-05-29 07:30:00,23.0333,23.0333,32.0333,12.5333,64250.0,False,False,False,False,0.0,BattV_Min_S1_B,13.327,12.754,0.0,True,ok,0.5
2025,S1_S2,west,S1,2025-06-27_S1_S2_ff537961,VWC_2_raw_S1_B,B,2,12,2025-06-27 15:33:00,2025-06-28 07:49:00,11.2,11.2,16.2,16.2667,95500.0,False,False,False,False,0.0,BattV_Min_S1_B,13.264,12.723,0.0,True,ok,0.5
2025,S1_S2,west,S1,2025-06-27_S1_S2_ff537961,VWC_3_raw_S1_B,B,3,18,2025-06-27 15:33:00,2025-06-28 07:49:00,14.2,14.2,18.2,16.2667,95500.0,False,False,False,False,0.0,BattV_Min_S1_B,13.264,12.723,0.0,True,ok,0.5
2025,S1_S2,west,S1,2025-07-26_S1_S2_98e2053f,VWC_1_raw_S1_B,B,1,6,2025-07-26 08:45:00,2025-07-26 17:50:00,9.0,9.0,18.0,9.0833,53225.0,False,False,False,False,0.0,BattV_Min_S1_B,12.733,13.251,0.0,True,ok,0.5
2025,S1_S2,west,S1,2025-07-26_S1_S2_98e2053f,VWC_2_raw_S1_B,B,2,12,2025-07-26 08:45:00,2025-07-26 17:50:00,9.0,9.0,13.0,9.0833,53225.0,False,False,False,False,0.0,BattV_Min_S1_B,12.733,13.251,0.0,True,ok,0.5
2025,S1_S2,west,S1,2025-07-26_S1_S2_98e2053f,VWC_3_raw_S1_B,B,3,18,2025-07-26 08:45:00,2025-07-26 17:50:00,8.75,8.75,24.0,9.0833,53225.0,False,False,False,False,0.0,BattV_Min_S1_B,12.733,13.251,0.0,True,ok,0.5
2025,S1_S2,west,S1,2025-08-22_S1_S2_9f8675d7,VWC_1_raw_S1_B,B,1,6,2025-08-22 09:07:00,2025-08-22 19:04:00,19.1333,19.1333,19.3833,9.95,30625.0,False,False,False,False,0.0,BattV_Min_S1_B,12.782,13.228,0.0,True,ok,0.5
2025,S1_S2,west,S1,2025-08-22_S1_S2_9f8675d7,VWC_2_raw_S1_B,B,2,12,2025-08-22 09:07:00,2025-08-22 19:04:00,23.8833,23.8833,24.1333,9.95,30625.0,False,False,False,False,0.0,BattV_Min_S1_B,12.782,13.228,0.0,True,ok,0.5
2025,S1_S2,west,S1,2025-08-22_S1_S2_9f8675d7,VWC_3_raw_S1_B,B,3,18,2025-08-22 09:07:00,2025-08-22 19:04:00,23.8833,23.8833,28.1333,9.95,30625.0,False,False,False,False,0.0,BattV_Min_S1_B,12.782,13.228,0.0,True,ok,0.5
2025,S1_S2,west,S1,2025-09-20_S1_S2_81d8ab0f,VWC_1_raw_S1_B,B,1,6,2025-09-20 10:42:00,2025-09-20 17:31:00,7.8,7.8,13.55,6.8167,86100.0,False,False,False,False,0.0,BattV_Min_S1_B,12.744,13.37,0.0,True,ok,0.5
2025,S1_S2,west,S1,2025-09-20_S1_S2_81d8ab0f,VWC_2_raw_S1_B,B,2,12,2025-09-20 10:42:00,2025-09-20 17:31:00,15.05,15.05,19.3,6.8167,86100.0,False,False,False,False,0.0,BattV_Min_S1_B,12.744,13.37,0.0,True,ok,0.5
2025,S1_S2,west,S1,2025-09-20_S1_S2_81d8ab0f,VWC_3_raw_S1_B,B,3,18,2025-09-20 10:42:00,2025-09-20 17:31:00,9.05,9.05,13.05,6.8167,86100.0,False,False,False,False,0.0,BattV_Min_S1_B,12.744,13.37,0.0,True,ok,0.5
2025,S1_S2,west,S2,2025-04-20_S1_S2_f3457ada,VWC_1_raw_S2_B,B,1,6,2025-04-20 08:15:00,2025-04-21 06:28:00,22.75,22.75,24.75,22.2167,132300.0,False,False,False,False,0.0,BattV_Min_S2_B,12.341,12.343,0.0,True,ok,0.5
2025,S1_S2,west,S2,2025-04-20_S1_S2_f3457ada,VWC_2_raw_S2_B,B,2,12,2025-04-20 08:15:00,2025-04-21 06:28:00,23.25,23.25,24.5,22.2167,132300.0,False,False,False,False,0.0,BattV_Min_S2_B,12.341,12.343,0.0,True,ok,0.5
2025,S1_S2,west,S2,2025-04-20_S1_S2_f3457ada,VWC_3_raw_S2_B,B,3,18,2025-04-20 08:15:00,2025-04-21 06:28:00,22.25,22.25,22.5,22.2167,132300.0,False,False,False,False,0.0,BattV_Min_S2_B,12.341,12.343,0.0,True,ok,0.5
2025,S1_S2,west,S2,2025-05-16_S1_S2_799859ac,VWC_1_raw_S2_B,B,1,6,2025-05-16 15:36:41,2025-05-17 07:37:42,16.1386,16.1386,18.1386,16.0169,92450.0,False,False,False,False,0.0,BattV_Min_S2_B,13.372,12.486,0.0,True,ok,0.5
