year,strip,event_id,logger_position,irrigation_start,irrigation_end,event_duration_hours,gallons_strip,avg_flow_gph_strip,alt_arrival_minutes_after_irrigation_start_6in,alt_arrival_minutes_after_irrigation_start_12in,alt_arrival_minutes_after_irrigation_start_18in,alt_arrival_vwc_6in,alt_arrival_vwc_12in,alt_arrival_vwc_18in,arrival_minutes_after_irrigation_start_6in,arrival_minutes_after_irrigation_start_12in,arrival_minutes_after_irrigation_start_18in,arrival_vwc_6in,arrival_vwc_12in,arrival_vwc_18in,peak_vwc_6in,peak_vwc_12in,peak_vwc_18in,pre_vwc_6in,pre_vwc_12in,pre_vwc_18in,pre_profile_vwc_mean,pre_profile_vwc_min,pre_profile_vwc_max,delta_vwc_6in,delta_vwc_12in,delta_vwc_18in,delta_profile_vwc_mean,first_arrival_min,last_arrival_min,vertical_spread_min,distance_from_furrow_start_ft,vertical_velocity_6_to_12_in_per_min,vertical_velocity_12_to_18_in_per_min,vertical_velocity_6_to_18_in_per_min
2025.00,S1,2025-04-20_S1_S2_f3457ada,B,2025-04-20 08:15:00,2025-04-21 06:28:00,22.22,132300.00,5954.99,435.0,480.0,435.0,21.88,23.52,21.45,360.0,405.0,435.0,20.25,21.41,21.45,46.97,56.16,39.35,19.66,21.05,19.72,20.14,19.66,21.05,27.32,35.12,19.63,27.35,360.0,435.0,75.0,284.00,0.13,0.20,0.16
2025.00,S1,2025-04-20_S1_S2_f3457ada,M,2025-04-20 08:15:00,2025-04-21 06:28:00,22.22,132300.00,5954.99,225.0,210.0,315.0,16.16,17.36,32.77,195.0,210.0,300.0,12.14,17.36,27.32,42.46,38.68,41.90,11.76,16.69,27.04,18.50,11.76,27.04,30.70,21.99,14.86,22.52,195.0,300.0,105.0,169.00,0.40,0.07,0.11
2025.00,S1,2025-04-20_S1_S2_f3457ada,T,2025-04-20 08:15:00,2025-04-21 06:28:00,22.22,132300.00,5954.99,45.0,45.0,45.0,34.49,30.59,18.71,30.0,45.0,45.0,17.57,30.59,18.71,41.54,42.33,46.41,17.07,14.81,17.34,16.41,14.81,17.34,24.47,27.52,29.07,27.02,30.0,45.0,15.0,54.00,0.40,,0.80
2025.00,S2,2025-04-20_S1_S2_f3457ada,B,2025-04-20 08:15:00,2025-04-21 06:28:00,22.22,132300.00,5954.99,285.0,255.0,255.0,13.74,9.97,22.67,270.0,255.0,255.0,8.87,9.97,22.67,39.47,35.37,39.50,8.17,6.99,6.33,7.16,6.33,8.17,31.30,28.38,33.17,30.95,255.0,270.0,15.0,284.00,,,
2025.00,S2,2025-04-20_S1_S2_f3457ada,M,2025-04-20 08:15:00,2025-04-21 06:28:00,22.22,132300.00,5954.99,75.0,75.0,75.0,18.77,26.42,29.59,75.0,75.0,75.0,18.77,26.42,29.59,40.23,40.86,43.63,11.37,12.88,12.14,12.13,11.37,12.88,28.85,27.98,31.49,29.44,75.0,75.0,0.0,169.00,,,
2025.00,S2,2025-04-20_S1_S2_f3457ada,T,2025-04-20 08:15:00,2025-04-21 06:28:00,22.22,132300.00,5954.99,15.0,15.0,15.0,10.40,18.82,25.13,15.0,15.0,15.0,10.40,18.82,25.13,50.42,45.16,40.43,7.92,15.80,24.08,15.93,7.92,24.08,42.50,29.36,16.35,29.40,15.0,15.0,0.0,54.00,,,
2025.00,S3,2025-04-20_S3_S4_ead0e049,B,2025-04-20 08:15:00,2025-04-21 06:28:00,22.22,132300.00,5954.99,135.0,135.0,150.0,20.07,19.32,18.95,135.0,135.0,150.0,20.07,19.32,18.95,35.58,33.36,30.94,14.55,18.51,11.25,14.77,11.25,18.51,21.03,14.85,19.69,18.52,135.0,150.0,15.0,284.00,,0.40,0.80
2025.00,S3,2025-04-20_S3_S4_ead0e049,M,2025-04-20 08:15:00,2025-04-21 06:28:00,22.22,132300.00,5954.99,75.0,75.0,90.0,15.87,24.37,26.51,75.0,75.0,90.0,15.87,24.37,26.51,43.88,38.35,39.05,12.17,18.63,19.39,16.73,12.17,19.39,31.71,19.72,19.66,23.70,75.0,90.0,15.0,169.00,,0.40,0.80
2025.00,S3,2025-04-20_S3_S4_ead0e049,T,2025-04-20 08:15:00,2025-04-21 06:28:00,22.22,132300.00,5954.99,105.0,135.0,165.0,19.86,22.89,35.14,105.0,135.0,150.0,19.86,22.89,33.78,40.13,35.20,44.02,16.78,19.27,33.49,23.18,16.78,33.49,23.35,15.94,10.53,16.61,105.0,150.0,45.0,54.00,0.20,0.40,0.27
2025.00,S4,2025-04-20_S3_S4_ead0e049,B,2025-04-20 08:15:00,2025-04-21 06:28:00,22.22,132300.00,5954.99,435.0,480.0,570.0,19.01,26.70,23.64,390.0,480.0,570.0,17.47,26.70,23.64,37.88,36.22,39.15,16.96,25.45,20.06,20.82,16.96,25.45,20.92,10.77,19.09,16.93,390.0,570.0,180.0,284.00,0.07,0.07,0.07
2025.00,S4,2025-04-20_S3_S4_ead0e049,M,2025-04-20 08:15:00,2025-04-21 06:28:00,22.22,132300.00,5954.99,270.0,240.0,285.0,16.39,15.16,19.63,270.0,240.0,285.0,16.39,15.16,19.63,39.33,33.13,33.36,10.79,12.91,17.64,13.78,10.79,17.64,28.54,20.22,15.72,21.49,240.0,285.0,45.0,169.00,,0.13,0.80
2025.00,S4,2025-04-20_S3_S4_ead0e049,T,2025-04-20 08:15:00,2025-04-21 06:28:00,22.22,132300.00,5954.99,45.0,45.0,45.0,17.93,22.10,32.21,45.0,45.0,45.0,17.93,22.10,32.21,43.07,38.27,39.84,9.36,16.80,24.33,16.83,9.36,24.33,33.71,21.48,15.51,23.57,45.0,45.0,0.0,54.00,,,
2025.00,S3,2025-05-02_S3_S4_3cb33cbf,B,2025-05-02 19:10:02,2025-05-03 08:21:02,13.18,76750.00,5821.74,109.96666666666667,124.96666666666667,139.96666666666667,23.24,27.36,21.76,109.96666666666667,124.96666666666667,124.96666666666667,23.24,27.36,14.62,35.29,32.97,28.96,22.33,24.49,14.26,20.36,14.26,24.49,12.96,8.47,14.70,12.04,109.96666666666667,124.96666666666667,15.0,284.00,0.40,,0.80
2025.00,S3,2025-05-02_S3_S4_3cb33cbf,M,2025-05-02 19:10:02,2025-05-03 08:21:02,13.18,76750.00,5821.74,64.96666666666667,64.96666666666667,79.96666666666667,28.47,27.09,30.92,64.96666666666667,64.96666666666667,79.96666666666667,28.47,27.09,30.92,43.25,37.26,39.19,19.58,22.41,23.77,21.92,19.58,23.77,23.67,14.85,15.42,17.98,64.96666666666667,79.96666666666667,15.0,169.00,,0.40,0.80
2025.00,S3,2025-05-02_S3_S4_3cb33cbf,T,2025-05-02 19:10:02,2025-05-03 08:21:02,13.18,76750.00,5821.74,154.96666666666667,244.96666666666667,304.96666666666664,26.85,30.12,39.72,154.96666666666667,184.96666666666667,259.96666666666664,26.85,26.83,38.90,40.33,36.37,44.03,26.27,26.29,38.64,30.40,26.27,38.64,14.06,10.08,5.39,9.84,154.96666666666667,259.96666666666664,104.99999999999997,54.00,0.20,0.08,0.11
2025.00,S4,2025-05-02_S3_S4_3cb33cbf,B,2025-05-02 19:10:02,2025-05-03 08:21:02,13.18,76750.00,5821.74,439.96666666666664,589.9666666666667,544.9666666666667,22.56,32.30,36.27,439.96666666666664,529.9666666666667,484.96666666666664,22.56,30.99,35.12,34.94,38.37,42.95,21.72,30.56,34.21,28.83,21.72,34.21,13.22,7.80,8.74,9.92,439.96666666666664,529.9666666666667,90.00000000000006,284.00,0.07,,0.27
2025.00,S4,2025-05-02_S3_S4_3cb33cbf,M,2025-05-02 19:10:02,2025-05-03 08:21:02,13.18,76750.00,5821.74,184.96666666666667,199.96666666666667,244.96666666666667,24.64,21.03,27.29,184.96666666666667,199.96666666666667,229.96666666666667,24.64,21.03,23.85,38.25,34.45,32.34,18.25,18.32,23.39,19.99,18.25,23.39,20.00,16.12,8.96,15.03,184.96666666666667,229.96666666666667,45.0,169.00,0.40,0.20,0.27
2025.00,S4,2025-05-02_S3_S4_3cb33cbf,T,2025-05-02 19:10:02,2025-05-03 08:21:02,13.18,76750.00,5821.74,34.96666666666667,34.96666666666667,34.96666666666667,31.74,32.81,37.39,34.96666666666667,34.96666666666667,34.96666666666667,31.74,32.81,37.39,42.49,39.51,40.11,15.22,24.43,30.00,23.21,15.22,30.00,27.27,15.07,10.12,17.49,34.96666666666667,34.96666666666667,0.0,54.00,,,
