year,strip,event_id,logger_position,irrigation_start,irrigation_end,event_duration_hours,gallons_strip,avg_flow_gph_strip,alt_arrival_minutes_after_irrigation_start_6in,alt_arrival_minutes_after_irrigation_start_12in,alt_arrival_minutes_after_irrigation_start_18in,alt_arrival_vwc_6in,alt_arrival_vwc_12in,alt_arrival_vwc_18in,arrival_minutes_after_irrigation_start_6in,arrival_minutes_after_irrigation_start_12in,arrival_minutes_after_irrigation_start_18in,arrival_vwc_6in,arrival_vwc_12in,arrival_vwc_18in,peak_vwc_6in,peak_vwc_12in,peak_vwc_18in,pre_vwc_6in,pre_vwc_12in,pre_vwc_18in,pre_profile_vwc_mean,pre_profile_vwc_min,pre_profile_vwc_max,delta_vwc_6in,delta_vwc_12in,delta_vwc_18in,delta_profile_vwc_mean,first_arrival_min,last_arrival_min,vertical_spread_min,distance_from_furrow_start_ft,vertical_velocity_6_to_12_in_per_min,vertical_velocity_12_to_18_in_per_min,vertical_velocity_6_to_18_in_per_min
2023.00,S1,2023-05-23_S1_S2_176caf9a,B,2023-05-23 15:25:00,2023-05-23 19:19:00,3.90,72500.00,18589.74,5.0,,5.0,14.87,,5.91,,,5.0,,,5.91,16.77,16.37,7.67,14.75,16.26,4.50,11.84,4.50,16.26,2.02,0.11,3.17,1.77,5.0,5.0,0.0,284.00,,,
2023.00,S1,2023-05-23_S1_S2_176caf9a,M,2023-05-23 15:25:00,2023-05-23 19:19:00,3.90,72500.00,18589.74,140.0,245.0,365.0,19.70,18.21,24.36,140.0,245.0,365.0,19.70,18.21,24.36,43.18,35.09,37.90,11.25,16.83,23.79,17.29,11.25,23.79,31.94,18.26,14.12,21.44,140.0,365.0,225.0,169.00,0.06,0.05,0.05
2023.00,S1,2023-05-23_S1_S2_176caf9a,T,2023-05-23 15:25:00,2023-05-23 19:19:00,3.90,72500.00,18589.74,-85.0,35.0,-85.0,9.69,16.64,15.07,5.0,20.0,35.0,30.59,13.64,15.73,45.65,43.64,42.74,9.78,13.25,15.25,12.76,9.78,15.25,35.87,30.39,27.49,31.25,5.0,35.0,30.0,54.00,0.40,0.40,0.40
2023.00,S2,2023-05-23_S1_S2_176caf9a,B,2023-05-23 15:25:00,2023-05-23 19:19:00,3.90,72500.00,18589.74,-415.0,80.0,110.0,8.36,11.57,9.77,50.0,80.0,110.0,10.46,11.57,9.77,39.26,36.30,35.94,8.64,7.57,6.44,7.55,6.44,8.64,30.62,28.72,29.50,29.61,50.0,110.0,60.0,284.00,0.20,0.20,0.20
2023.00,S2,2023-05-23_S1_S2_176caf9a,M,2023-05-23 15:25:00,2023-05-23 19:19:00,3.90,72500.00,18589.74,-340.0,-340.0,-340.0,8.39,9.55,6.52,5.0,50.0,110.0,8.94,9.52,6.76,41.25,37.38,30.12,8.45,9.04,5.80,7.76,5.80,9.04,32.81,28.34,24.31,28.49,5.0,110.0,105.0,169.00,0.13,0.10,0.11
2023.00,S2,2023-05-23_S1_S2_176caf9a,T,2023-05-23 15:25:00,2023-05-23 19:19:00,3.90,72500.00,18589.74,-235.0,-235.0,,13.70,18.11,,140.0,140.0,,29.57,26.21,,45.51,41.81,,14.49,19.16,,16.82,14.49,19.16,31.02,22.65,,26.84,140.0,140.0,0.0,54.00,,,
2023.00,S3,2023-05-24_S3_S4_31cada45,B,2023-05-24 09:25:00,2023-05-24 13:19:00,3.90,73300.00,18794.87,230.0,290.0,380.0,7.82,8.06,6.60,230.0,275.0,365.0,7.82,7.11,5.19,27.96,17.06,14.82,6.30,6.85,4.84,6.00,4.84,6.85,21.66,10.21,9.98,13.95,230.0,365.0,135.0,284.00,0.13,0.07,0.09
2023.00,S3,2023-05-24_S3_S4_31cada45,M,2023-05-24 09:25:00,2023-05-24 13:19:00,3.90,73300.00,18794.87,605.0,-580.0,740.0,5.31,10.38,10.68,605.0,680.0,740.0,5.31,17.09,10.68,36.00,23.18,23.75,,,,,,,,,,,605.0,740.0,135.0,169.00,0.08,0.10,0.09
2023.00,S3,2023-05-24_S3_S4_31cada45,T,2023-05-24 09:25:00,2023-05-24 13:19:00,3.90,73300.00,18794.87,,65.0,185.0,,22.10,38.27,,35.0,140.0,,21.21,37.76,,39.29,50.30,,20.88,37.33,29.10,20.88,37.33,,18.41,12.98,15.69,35.0,140.0,105.0,54.00,,0.06,
2023.00,S4,2023-05-24_S3_S4_31cada45,B,2023-05-24 09:25:00,2023-05-24 13:19:00,3.90,73300.00,18794.87,380.0,,,7.84,,,365.0,,,6.98,,,23.52,21.77,10.50,6.62,21.78,9.80,12.73,6.62,21.78,16.90,-0.01,0.70,5.86,365.0,365.0,0.0,284.00,,,
2023.00,S4,2023-05-24_S3_S4_31cada45,M,2023-05-24 09:25:00,2023-05-24 13:19:00,3.90,73300.00,18794.87,140.0,170.0,230.0,8.73,7.75,10.94,125.0,170.0,230.0,7.02,7.75,10.94,33.02,17.73,20.10,6.65,6.29,9.81,7.58,6.29,9.81,26.37,11.44,10.29,16.03,125.0,230.0,105.0,169.00,0.13,0.10,0.11
2023.00,S4,2023-05-24_S3_S4_31cada45,T,2023-05-24 09:25:00,2023-05-24 13:19:00,3.90,73300.00,18794.87,35.0,65.0,95.0,22.90,17.01,22.82,20.0,65.0,95.0,6.01,17.01,22.82,38.09,26.96,29.54,5.74,16.08,20.07,13.96,5.74,20.07,32.35,10.88,9.47,17.56,20.0,95.0,75.0,54.00,0.13,0.20,0.16
2023.00,S1,2023-06-01_S1_S2_5b27ce31,B,2023-06-01 11:16:08,2023-06-01 18:45:00,7.48,33650.00,4497.99,,,,,,,,,,,,,20.81,16.88,11.73,19.68,16.63,11.45,15.92,11.45,19.68,1.13,0.25,0.28,0.55,,,,284.00,,,
2023.00,S1,2023-06-01_S1_S2_5b27ce31,M,2023-06-01 11:16:08,2023-06-01 18:45:00,7.48,33650.00,4497.99,223.86666666666667,298.8666666666667,388.8666666666667,37.14,32.73,37.60,223.86666666666667,283.8666666666667,358.8666666666667,37.14,32.11,36.60,41.98,37.58,40.19,32.36,31.50,36.30,33.39,31.50,36.30,9.62,6.08,3.89,6.53,223.86666666666667,358.8666666666667,135.0,169.00,0.10,0.08,0.09
2023.00,S1,2023-06-01_S1_S2_5b27ce31,T,2023-06-01 11:16:08,2023-06-01 18:45:00,7.48,33650.00,4497.99,238.86666666666667,223.86666666666667,313.8666666666667,33.95,33.98,36.37,208.86666666666667,223.86666666666667,268.8666666666667,33.05,33.98,35.29,41.83,41.87,44.60,32.75,30.77,35.04,32.86,30.77,35.04,9.08,11.09,9.56,9.91,208.86666666666667,268.8666666666667,60.0,54.00,0.40,0.13,0.20
2023.00,S2,2023-06-01_S1_S2_5b27ce31,B,2023-06-01 11:16:08,2023-06-01 18:45:00,7.48,33650.00,4497.99,313.8666666666667,313.8666666666667,313.8666666666667,26.26,28.33,30.54,313.8666666666667,298.8666666666667,268.8666666666667,26.26,26.19,26.71,35.69,34.05,39.06,24.27,25.94,25.80,25.34,24.27,25.94,11.42,8.11,13.26,10.93,268.8666666666667,313.8666666666667,45.0,284.00,,,
