year,strip,event_id,depth_inches,irrigation_start,irrigation_end,gallons_strip,event_duration_hours,distance_T_ft,distance_M_ft,distance_B_ft,arrival_T_min,arrival_M_min,arrival_B_min,T_to_M_min,M_to_B_min,T_to_B_min,T_to_M_ft_per_min,M_to_B_ft_per_min,T_to_B_ft_per_min,alt_arrival_T_min,alt_arrival_M_min,alt_arrival_B_min,alt_T_to_M_min,alt_M_to_B_min,alt_T_to_B_min,alt_T_to_M_ft_per_min,alt_M_to_B_ft_per_min,alt_T_to_B_ft_per_min
2025.00,S1,2025-04-20_S1_S2_f3457ada,6.00,2025-04-20 08:15:00,2025-04-21 06:28:00,132300.00,22.22,54.00,169.00,284.00,30.00,195.00,360.00,165.00,165.00,330.00,0.70,0.70,0.70,45.00,225.00,435.00,180.00,210.00,390.00,0.64,0.55,0.59
2025.00,S1,2025-04-20_S1_S2_f3457ada,12.00,2025-04-20 08:15:00,2025-04-21 06:28:00,132300.00,22.22,54.00,169.00,284.00,45.00,210.00,405.00,165.00,195.00,360.00,0.70,0.59,0.64,45.00,210.00,480.00,165.00,270.00,435.00,0.70,0.43,0.53
2025.00,S1,2025-04-20_S1_S2_f3457ada,18.00,2025-04-20 08:15:00,2025-04-21 06:28:00,132300.00,22.22,54.00,169.00,284.00,45.00,300.00,435.00,255.00,135.00,390.00,0.45,0.85,0.59,45.00,315.00,435.00,270.00,120.00,390.00,0.43,0.96,0.59
2025.00,S2,2025-04-20_S1_S2_f3457ada,6.00,2025-04-20 08:15:00,2025-04-21 06:28:00,132300.00,22.22,54.00,169.00,284.00,15.00,75.00,270.00,60.00,195.00,255.00,1.92,0.59,0.90,15.00,75.00,285.00,60.00,210.00,270.00,1.92,0.55,0.85
2025.00,S2,2025-04-20_S1_S2_f3457ada,12.00,2025-04-20 08:15:00,2025-04-21 06:28:00,132300.00,22.22,54.00,169.00,284.00,15.00,75.00,255.00,60.00,180.00,240.00,1.92,0.64,0.96,15.00,75.00,255.00,60.00,180.00,240.00,1.92,0.64,0.96
2025.00,S2,2025-04-20_S1_S2_f3457ada,18.00,2025-04-20 08:15:00,2025-04-21 06:28:00,132300.00,22.22,54.00,169.00,284.00,15.00,75.00,255.00,60.00,180.00,240.00,1.92,0.64,0.96,15.00,75.00,255.00,60.00,180.00,240.00,1.92,0.64,0.96
2025.00,S3,2025-04-20_S3_S4_ead0e049,6.00,2025-04-20 08:15:00,2025-04-21 06:28:00,132300.00,22.22,54.00,169.00,284.00,105.00,75.00,135.00,-30.00,60.00,30.00,,1.92,7.67,105.00,75.00,135.00,-30.00,60.00,30.00,,1.92,7.67
2025.00,S3,2025-04-20_S3_S4_ead0e049,12.00,2025-04-20 08:15:00,2025-04-21 06:28:00,132300.00,22.22,54.00,169.00,284.00,135.00,75.00,135.00,-60.00,60.00,0.00,,1.92,,135.00,75.00,135.00,-60.00,60.00,0.00,,1.92,
2025.00,S3,2025-04-20_S3_S4_ead0e049,18.00,2025-04-20 08:15:00,2025-04-21 06:28:00,132300.00,22.22,54.00,169.00,284.00,150.00,90.00,150.00,-60.00,60.00,0.00,,1.92,,165.00,90.00,150.00,-75.00,60.00,-15.00,,1.92,
2025.00,S4,2025-04-20_S3_S4_ead0e049,6.00,2025-04-20 08:15:00,2025-04-21 06:28:00,132300.00,22.22,54.00,169.00,284.00,45.00,270.00,390.00,225.00,120.00,345.00,0.51,0.96,0.67,45.00,270.00,435.00,225.00,165.00,390.00,0.51,0.70,0.59
2025.00,S4,2025-04-20_S3_S4_ead0e049,12.00,2025-04-20 08:15:00,2025-04-21 06:28:00,132300.00,22.22,54.00,169.00,284.00,45.00,240.00,480.00,195.00,240.00,435.00,0.59,0.48,0.53,45.00,240.00,480.00,195.00,240.00,435.00,0.59,0.48,0.53
2025.00,S4,2025-04-20_S3_S4_ead0e049,18.00,2025-04-20 08:15:00,2025-04-21 06:28:00,132300.00,22.22,54.00,169.00,284.00,45.00,285.00,570.00,240.00,285.00,525.00,0.48,0.40,0.44,45.00,285.00,570.00,240.00,285.00,525.00,0.48,0.40,0.44
2025.00,S3,2025-05-02_S3_S4_3cb33cbf,6.00,2025-05-02 19:10:02,2025-05-03 08:21:02,76750.00,13.18,54.00,169.00,284.00,154.97,64.97,109.97,-90.00,45.00,-45.00,,2.56,,154.97,64.97,109.97,-90.00,45.00,-45.00,,2.56,
2025.00,S3,2025-05-02_S3_S4_3cb33cbf,12.00,2025-05-02 19:10:02,2025-05-03 08:21:02,76750.00,13.18,54.00,169.00,284.00,184.97,64.97,124.97,-120.00,60.00,-60.00,,1.92,,244.97,64.97,124.97,-180.00,60.00,-120.00,,1.92,
2025.00,S3,2025-05-02_S3_S4_3cb33cbf,18.00,2025-05-02 19:10:02,2025-05-03 08:21:02,76750.00,13.18,54.00,169.00,284.00,259.97,79.97,124.97,-180.00,45.00,-135.00,,2.56,,304.97,79.97,139.97,-225.00,60.00,-165.00,,1.92,
2025.00,S4,2025-05-02_S3_S4_3cb33cbf,6.00,2025-05-02 19:10:02,2025-05-03 08:21:02,76750.00,13.18,54.00,169.00,284.00,34.97,184.97,439.97,150.00,255.00,405.00,0.77,0.45,0.57,34.97,184.97,439.97,150.00,255.00,405.00,0.77,0.45,0.57
2025.00,S4,2025-05-02_S3_S4_3cb33cbf,12.00,2025-05-02 19:10:02,2025-05-03 08:21:02,76750.00,13.18,54.00,169.00,284.00,34.97,199.97,529.97,165.00,330.00,495.00,0.70,0.35,0.46,34.97,199.97,589.97,165.00,390.00,555.00,0.70,0.29,0.41
2025.00,S4,2025-05-02_S3_S4_3cb33cbf,18.00,2025-05-02 19:10:02,2025-05-03 08:21:02,76750.00,13.18,54.00,169.00,284.00,34.97,229.97,484.97,195.00,255.00,450.00,0.59,0.45,0.51,34.97,244.97,544.97,210.00,300.00,510.00,0.55,0.38,0.45
2025.00,S1,2025-05-16_S1_S2_799859ac,6.00,2025-05-16 15:36:41,2025-05-17 07:37:42,92450.00,16.02,54.00,169.00,284.00,38.32,218.32,458.32,180.00,240.00,420.00,0.64,0.48,0.55,38.32,278.32,518.32,240.00,240.00,480.00,0.48,0.48,0.48
2025.00,S1,2025-05-16_S1_S2_799859ac,12.00,2025-05-16 15:36:41,2025-05-17 07:37:42,92450.00,16.02,54.00,169.00,284.00,38.32,278.32,563.32,240.00,285.00,525.00,0.48,0.40,0.44,38.32,293.32,623.32,255.00,330.00,585.00,0.45,0.35,0.39
2025.00,S1,2025-05-16_S1_S2_799859ac,18.00,2025-05-16 15:36:41,2025-05-17 07:37:42,92450.00,16.02,54.00,169.00,284.00,98.32,338.32,698.32,240.00,360.00,600.00,0.48,0.32,0.38,98.32,338.32,713.32,240.00,375.00,615.00,0.48,0.31,0.37
2025.00,S2,2025-05-16_S1_S2_799859ac,6.00,2025-05-16 15:36:41,2025-05-17 07:37:42,92450.00,16.02,54.00,169.00,284.00,23.32,83.32,203.32,60.00,120.00,180.00,1.92,0.96,1.28,23.32,83.32,233.32,60.00,150.00,210.00,1.92,0.77,1.10
2025.00,S2,2025-05-16_S1_S2_799859ac,12.00,2025-05-16 15:36:41,2025-05-17 07:37:42,92450.00,16.02,54.00,169.00,284.00,23.32,83.32,233.32,60.00,150.00,210.00,1.92,0.77,1.10,23.32,83.32,233.32,60.00,150.00,210.00,1.92,0.77,1.10
2025.00,S2,2025-05-16_S1_S2_799859ac,18.00,2025-05-16 15:36:41,2025-05-17 07:37:42,92450.00,16.02,54.00,169.00,284.00,23.32,83.32,233.32,60.00,150.00,210.00,1.92,0.77,1.10,23.32,83.32,233.32,60.00,150.00,210.00,1.92,0.77,1.10
2025.00,S1,2025-05-28_S1_S2_ca363c43,6.00,2025-05-28 18:58:00,2025-05-29 07:30:00,64250.00,12.53,54.00,169.00,284.00,32.00,227.00,407.00,195.00,180.00,375.00,0.59,0.64,0.61,32.00,227.00,392.00,195.00,165.00,360.00,0.59,0.70,0.64
2025.00,S1,2025-05-28_S1_S2_ca363c43,12.00,2025-05-28 18:58:00,2025-05-29 07:30:00,64250.00,12.53,54.00,169.00,284.00,92.00,272.00,422.00,180.00,150.00,330.00,0.64,0.77,0.70,137.00,287.00,482.00,150.00,195.00,345.00,0.77,0.59,0.67
2025.00,S1,2025-05-28_S1_S2_ca363c43,18.00,2025-05-28 18:58:00,2025-05-29 07:30:00,64250.00,12.53,54.00,169.00,284.00,107.00,287.00,527.00,180.00,240.00,420.00,0.64,0.48,0.55,107.00,317.00,572.00,210.00,255.00,465.00,0.55,0.45,0.49
2025.00,S2,2025-05-28_S1_S2_ca363c43,6.00,2025-05-28 18:58:00,2025-05-29 07:30:00,64250.00,12.53,54.00,169.00,284.00,17.00,77.00,227.00,60.00,150.00,210.00,1.92,0.77,1.10,17.00,77.00,227.00,60.00,150.00,210.00,1.92,0.77,1.10
2025.00,S2,2025-05-28_S1_S2_ca363c43,12.00,2025-05-28 18:58:00,2025-05-29 07:30:00,64250.00,12.53,54.00,169.00,284.00,17.00,77.00,227.00,60.00,150.00,210.00,1.92,0.77,1.10,17.00,77.00,227.00,60.00,150.00,210.00,1.92,0.77,1.10
2025.00,S2,2025-05-28_S1_S2_ca363c43,18.00,2025-05-28 18:58:00,2025-05-29 07:30:00,64250.00,12.53,54.00,169.00,284.00,17.00,77.00,182.00,60.00,105.00,165.00,1.92,1.10,1.39,17.00,77.00,227.00,60.00,150.00,210.00,1.92,0.77,1.10
2025.00,S3,2025-05-28_S3_S4_120d46ab,6.00,2025-05-28 18:58:00,2025-05-29 07:30:00,64250.00,12.53,54.00,169.00,284.00,272.00,77.00,137.00,-195.00,60.00,-135.00,,1.92,,272.00,77.00,137.00,-195.00,60.00,-135.00,,1.92,
2025.00,S3,2025-05-28_S3_S4_120d46ab,12.00,2025-05-28 18:58:00,2025-05-29 07:30:00,64250.00,12.53,54.00,169.00,284.00,347.00,77.00,107.00,-270.00,30.00,-240.00,,3.83,,392.00,77.00,152.00,-315.00,75.00,-240.00,,1.53,
2025.00,S3,2025-05-28_S3_S4_120d46ab,18.00,2025-05-28 18:58:00,2025-05-29 07:30:00,64250.00,12.53,54.00,169.00,284.00,452.00,92.00,152.00,-360.00,60.00,-300.00,,1.92,,512.00,92.00,152.00,-420.00,60.00,-360.00,,1.92,
2025.00,S4,2025-05-28_S3_S4_120d46ab,6.00,2025-05-28 18:58:00,2025-05-29 07:30:00,64250.00,12.53,54.00,169.00,284.00,32.00,242.00,347.00,210.00,105.00,315.00,0.55,1.10,0.73,32.00,302.00,437.00,270.00,135.00,405.00,0.43,0.85,0.57
2025.00,S4,2025-05-28_S3_S4_120d46ab,12.00,2025-05-28 18:58:00,2025-05-29 07:30:00,64250.00,12.53,54.00,169.00,284.00,32.00,197.00,,165.00,,,0.70,,,47.00,242.00,,195.00,,,0.59,,
2025.00,S4,2025-05-28_S3_S4_120d46ab,18.00,2025-05-28 18:58:00,2025-05-29 07:30:00,64250.00,12.53,54.00,169.00,284.00,32.00,347.00,,315.00,,,0.37,,,32.00,,,,,,,,
2025.00,S3,2025-06-13_S3_S4_29345c78,6.00,2025-06-13 10:49:00,2025-06-13 19:16:00,56900.00,8.45,54.00,169.00,284.00,116.00,56.00,146.00,-60.00,90.00,30.00,,1.28,7.67,116.00,56.00,146.00,-60.00,90.00,30.00,,1.28,7.67
2025.00,S3,2025-06-13_S3_S4_29345c78,12.00,2025-06-13 10:49:00,2025-06-13 19:16:00,56900.00,8.45,54.00,169.00,284.00,176.00,71.00,146.00,-105.00,75.00,-30.00,,1.53,,176.00,71.00,146.00,-105.00,75.00,-30.00,,1.53,
2025.00,S3,2025-06-13_S3_S4_29345c78,18.00,2025-06-13 10:49:00,2025-06-13 19:16:00,56900.00,8.45,54.00,169.00,284.00,236.00,71.00,146.00,-165.00,75.00,-90.00,,1.53,,,71.00,146.00,,75.00,,,1.53,
2025.00,S4,2025-06-13_S3_S4_29345c78,6.00,2025-06-13 10:49:00,2025-06-13 19:16:00,56900.00,8.45,54.00,169.00,284.00,26.00,191.00,296.00,165.00,105.00,270.00,0.70,1.10,0.85,26.00,206.00,356.00,180.00,150.00,330.00,0.64,0.77,0.70
