year,event_id,strip,logger_position,arrival_6in_min,arrival_12in_min,arrival_18in_min,arrival_order,expected_order,order_class,alt_arrival_6in_min,alt_arrival_12in_min,alt_arrival_18in_min,alt_arrival_order,alt_expected_order,alt_order_class,alt_before_start_depths,any_alt_before_start,all_alt_before_start,baseline_vwc_6in,baseline_vwc_12in,baseline_vwc_18in,elevated_18in_baseline_context,depth_profile_interpretation,arrival_6in_T_min,arrival_6in_M_min,arrival_6in_B_min,arrival_6in_logger_order_class,alt_arrival_6in_T_min,alt_arrival_6in_M_min,alt_arrival_6in_B_min,alt_arrival_6in_logger_order_class,arrival_12in_T_min,arrival_12in_M_min,arrival_12in_B_min,arrival_12in_logger_order_class,alt_arrival_12in_T_min,alt_arrival_12in_M_min,alt_arrival_12in_B_min,alt_arrival_12in_logger_order_class,arrival_18in_T_min,arrival_18in_M_min,arrival_18in_B_min,arrival_18in_logger_order_class,alt_arrival_18in_T_min,alt_arrival_18in_M_min,alt_arrival_18in_B_min,alt_arrival_18in_logger_order_class,any_bottom_before_top_or_middle,any_alt_bottom_before_top_or_middle,any_all_loggers_before_start
2025,2025-04-20_S1_S2_f3457ada,S1,B,360.0,405.0,435.0,6→12→18,True,expected,435.0,480.0,435.0,6→18→12,False,18_before_12,,False,False,19.657,21.045,19.717,False,,30.0,195.0,360.0,expected,45.0,225.0,435.0,expected,45.0,210.0,405.0,expected,45.0,210.0,480.0,expected,45.0,300.0,435.0,expected,45.0,315.0,435.0,expected,False,False,False
2025,2025-04-20_S1_S2_f3457ada,S1,M,195.0,210.0,300.0,6→12→18,True,expected,225.0,210.0,315.0,12→6→18,False,12_before_6,,False,False,11.76,16.69,27.041,True,"18-inch baseline exceeds both shallower baselines; treat as a site/depth-profile characteristic, not an anomaly by itself.",30.0,195.0,360.0,expected,45.0,225.0,435.0,expected,45.0,210.0,405.0,expected,45.0,210.0,480.0,expected,45.0,300.0,435.0,expected,45.0,315.0,435.0,expected,False,False,False
2025,2025-04-20_S1_S2_f3457ada,S1,T,30.0,45.0,45.0,6→12→18,True,expected,45.0,45.0,45.0,6→12→18,True,expected,,False,False,17.073,14.809,17.345,True,"18-inch baseline exceeds both shallower baselines; treat as a site/depth-profile characteristic, not an anomaly by itself.",30.0,195.0,360.0,expected,45.0,225.0,435.0,expected,45.0,210.0,405.0,expected,45.0,210.0,480.0,expected,45.0,300.0,435.0,expected,45.0,315.0,435.0,expected,False,False,False
2025,2025-04-20_S1_S2_f3457ada,S2,B,270.0,255.0,255.0,12→18→6,False,12_before_6,285.0,255.0,255.0,12→18→6,False,12_before_6,,False,False,8.172,6.987,6.334,False,,15.0,75.0,270.0,expected,15.0,75.0,285.0,expected,15.0,75.0,255.0,expected,15.0,75.0,255.0,expected,15.0,75.0,255.0,expected,15.0,75.0,255.0,expected,False,False,False
2025,2025-04-20_S1_S2_f3457ada,S2,M,75.0,75.0,75.0,6→12→18,True,expected,75.0,75.0,75.0,6→12→18,True,expected,,False,False,11.373,12.879,12.145,False,,15.0,75.0,270.0,expected,15.0,75.0,285.0,expected,15.0,75.0,255.0,expected,15.0,75.0,255.0,expected,15.0,75.0,255.0,expected,15.0,75.0,255.0,expected,False,False,False
2025,2025-04-20_S1_S2_f3457ada,S2,T,15.0,15.0,15.0,6→12→18,True,expected,15.0,15.0,15.0,6→12→18,True,expected,,False,False,7.922,15.796,24.079,True,"18-inch baseline exceeds both shallower baselines; treat as a site/depth-profile characteristic, not an anomaly by itself.",15.0,75.0,270.0,expected,15.0,75.0,285.0,expected,15.0,75.0,255.0,expected,15.0,75.0,255.0,expected,15.0,75.0,255.0,expected,15.0,75.0,255.0,expected,False,False,False
2025,2025-04-20_S3_S4_ead0e049,S3,B,135.0,135.0,150.0,6→12→18,True,expected,135.0,135.0,150.0,6→12→18,True,expected,,False,False,14.549,18.513,11.249,False,,105.0,75.0,135.0,middle_before_top,105.0,75.0,135.0,middle_before_top,135.0,75.0,135.0,middle_before_top,135.0,75.0,135.0,middle_before_top,150.0,90.0,150.0,middle_before_top,165.0,90.0,150.0,bottom_before_top_or_middle,False,True,False
2025,2025-04-20_S3_S4_ead0e049,S3,M,75.0,75.0,90.0,6→12→18,True,expected,75.0,75.0,90.0,6→12→18,True,expected,,False,False,12.171,18.629,19.388,True,"18-inch baseline exceeds both shallower baselines; treat as a site/depth-profile characteristic, not an anomaly by itself.",105.0,75.0,135.0,middle_before_top,105.0,75.0,135.0,middle_before_top,135.0,75.0,135.0,middle_before_top,135.0,75.0,135.0,middle_before_top,150.0,90.0,150.0,middle_before_top,165.0,90.0,150.0,bottom_before_top_or_middle,False,True,False
2025,2025-04-20_S3_S4_ead0e049,S3,T,105.0,135.0,150.0,6→12→18,True,expected,105.0,135.0,165.0,6→12→18,True,expected,,False,False,16.78,19.266,33.486,True,"18-inch baseline exceeds both shallower baselines; treat as a site/depth-profile characteristic, not an anomaly by itself.",105.0,75.0,135.0,middle_before_top,105.0,75.0,135.0,middle_before_top,135.0,75.0,135.0,middle_before_top,135.0,75.0,135.0,middle_before_top,150.0,90.0,150.0,middle_before_top,165.0,90.0,150.0,bottom_before_top_or_middle,False,True,False
2025,2025-04-20_S3_S4_ead0e049,S4,B,390.0,480.0,570.0,6→12→18,True,expected,435.0,480.0,570.0,6→12→18,True,expected,,False,False,16.965,25.451,20.056,False,,45.0,270.0,390.0,expected,45.0,270.0,435.0,expected,45.0,240.0,480.0,expected,45.0,240.0,480.0,expected,45.0,285.0,570.0,expected,45.0,285.0,570.0,expected,False,False,False
