year,strip,event_id,depth_inches,irrigation_start,irrigation_end,gallons_strip,event_duration_hours,distance_T_ft,distance_M_ft,distance_B_ft,arrival_T_min,arrival_M_min,arrival_B_min,T_to_M_min,M_to_B_min,T_to_B_min,T_to_M_ft_per_min,M_to_B_ft_per_min,T_to_B_ft_per_min,alt_arrival_T_min,alt_arrival_M_min,alt_arrival_B_min,alt_T_to_M_min,alt_M_to_B_min,alt_T_to_B_min,alt_T_to_M_ft_per_min,alt_M_to_B_ft_per_min,alt_T_to_B_ft_per_min
2024.00,S3,2024-04-19_S3_S4_c5bf8374,6.00,2024-04-19 14:14:00,2024-04-19 21:33:00,54875.00,7.32,54.00,169.00,284.00,76.00,571.00,106.00,495.00,-465.00,30.00,0.23,,7.67,106.00,571.00,106.00,465.00,-465.00,0.00,0.25,,
2024.00,S3,2024-04-19_S3_S4_c5bf8374,12.00,2024-04-19 14:14:00,2024-04-19 21:33:00,54875.00,7.32,54.00,169.00,284.00,166.00,571.00,121.00,405.00,-450.00,-45.00,0.28,,,166.00,571.00,121.00,405.00,-450.00,-45.00,0.28,,
2024.00,S3,2024-04-19_S3_S4_c5bf8374,18.00,2024-04-19 14:14:00,2024-04-19 21:33:00,54875.00,7.32,54.00,169.00,284.00,196.00,601.00,136.00,405.00,-465.00,-60.00,0.28,,,211.00,601.00,136.00,390.00,-465.00,-75.00,0.29,,
2024.00,S4,2024-04-19_S3_S4_c5bf8374,6.00,2024-04-19 14:14:00,2024-04-19 21:33:00,54875.00,7.32,54.00,169.00,284.00,46.00,241.00,,195.00,,,0.59,,,46.00,271.00,,225.00,,,0.51,,
2024.00,S4,2024-04-19_S3_S4_c5bf8374,12.00,2024-04-19 14:14:00,2024-04-19 21:33:00,54875.00,7.32,54.00,169.00,284.00,46.00,361.00,,315.00,,,0.37,,,46.00,376.00,,330.00,,,0.35,,
2024.00,S4,2024-04-19_S3_S4_c5bf8374,18.00,2024-04-19 14:14:00,2024-04-19 21:33:00,54875.00,7.32,54.00,169.00,284.00,46.00,466.00,481.00,420.00,15.00,435.00,0.27,7.67,0.53,61.00,466.00,496.00,405.00,30.00,435.00,0.28,3.83,0.53
2024.00,S1,2024-04-20_S1_S2_5f2fb725,6.00,2024-04-20 10:11:00,2024-04-20 17:54:00,62950.00,7.72,54.00,169.00,284.00,34.00,139.00,454.00,105.00,315.00,420.00,1.10,0.37,0.55,34.00,184.00,529.00,150.00,345.00,495.00,0.77,0.33,0.46
2024.00,S1,2024-04-20_S1_S2_5f2fb725,12.00,2024-04-20 10:11:00,2024-04-20 17:54:00,62950.00,7.72,54.00,169.00,284.00,34.00,214.00,469.00,180.00,255.00,435.00,0.64,0.45,0.53,34.00,259.00,589.00,225.00,330.00,555.00,0.51,0.35,0.41
2024.00,S1,2024-04-20_S1_S2_5f2fb725,18.00,2024-04-20 10:11:00,2024-04-20 17:54:00,62950.00,7.72,54.00,169.00,284.00,34.00,304.00,469.00,270.00,165.00,435.00,0.43,0.70,0.53,34.00,289.00,484.00,255.00,195.00,450.00,0.45,0.59,0.51
2024.00,S2,2024-04-20_S1_S2_5f2fb725,6.00,2024-04-20 10:11:00,2024-04-20 17:54:00,62950.00,7.72,54.00,169.00,284.00,79.00,79.00,154.00,0.00,75.00,75.00,,1.53,3.07,79.00,79.00,199.00,0.00,120.00,120.00,,0.96,1.92
2024.00,S2,2024-04-20_S1_S2_5f2fb725,12.00,2024-04-20 10:11:00,2024-04-20 17:54:00,62950.00,7.72,54.00,169.00,284.00,79.00,79.00,139.00,0.00,60.00,60.00,,1.92,3.83,79.00,79.00,139.00,0.00,60.00,60.00,,1.92,3.83
2024.00,S2,2024-04-20_S1_S2_5f2fb725,18.00,2024-04-20 10:11:00,2024-04-20 17:54:00,62950.00,7.72,54.00,169.00,284.00,79.00,79.00,139.00,0.00,60.00,60.00,,1.92,3.83,79.00,79.00,139.00,0.00,60.00,60.00,,1.92,3.83
2024.00,S3,2024-05-03_S3_S4_13e4749a,6.00,2024-05-03 08:37:00,2024-05-03 15:28:00,44600.00,6.85,54.00,169.00,284.00,68.00,533.00,98.00,465.00,-435.00,30.00,0.25,,7.67,68.00,533.00,98.00,465.00,-435.00,30.00,0.25,,7.67
2024.00,S3,2024-05-03_S3_S4_13e4749a,12.00,2024-05-03 08:37:00,2024-05-03 15:28:00,44600.00,6.85,54.00,169.00,284.00,68.00,518.00,98.00,450.00,-420.00,30.00,0.26,,7.67,68.00,518.00,98.00,450.00,-420.00,30.00,0.26,,7.67
2024.00,S3,2024-05-03_S3_S4_13e4749a,18.00,2024-05-03 08:37:00,2024-05-03 15:28:00,44600.00,6.85,54.00,169.00,284.00,68.00,533.00,113.00,465.00,-420.00,45.00,0.25,,5.11,83.00,533.00,113.00,450.00,-420.00,30.00,0.26,,7.67
2024.00,S4,2024-05-03_S3_S4_13e4749a,6.00,2024-05-03 08:37:00,2024-05-03 15:28:00,44600.00,6.85,54.00,169.00,,23.00,83.00,,60.00,,,1.92,,,23.00,83.00,,60.00,,,1.92,,
2024.00,S4,2024-05-03_S3_S4_13e4749a,12.00,2024-05-03 08:37:00,2024-05-03 15:28:00,44600.00,6.85,54.00,169.00,,38.00,98.00,,60.00,,,1.92,,,38.00,98.00,,60.00,,,1.92,,
2024.00,S4,2024-05-03_S3_S4_13e4749a,18.00,2024-05-03 08:37:00,2024-05-03 15:28:00,44600.00,6.85,54.00,169.00,,38.00,128.00,,90.00,,,1.28,,,38.00,128.00,,90.00,,,1.28,,
2024.00,S1,2024-05-11_S1_S2_4c1cd284,6.00,2024-05-11 06:55:00,2024-05-11 16:18:00,66500.00,9.38,54.00,169.00,284.00,1475.00,1640.00,530.00,165.00,-1110.00,-945.00,0.70,,,1475.00,1640.00,,165.00,,,0.70,,
2024.00,S1,2024-05-11_S1_S2_4c1cd284,12.00,2024-05-11 06:55:00,2024-05-11 16:18:00,66500.00,9.38,54.00,169.00,284.00,1475.00,1715.00,,240.00,,,0.48,,,1475.00,1715.00,,240.00,,,0.48,,
2024.00,S1,2024-05-11_S1_S2_4c1cd284,18.00,2024-05-11 06:55:00,2024-05-11 16:18:00,66500.00,9.38,54.00,169.00,284.00,1460.00,,,,,,,,,1460.00,,,,,,,,
2024.00,S2,2024-05-11_S1_S2_4c1cd284,6.00,2024-05-11 06:55:00,2024-05-11 16:18:00,66500.00,9.38,54.00,169.00,284.00,1520.00,1505.00,1745.00,-15.00,240.00,225.00,,0.48,1.02,1520.00,1505.00,,-15.00,,,,,
2024.00,S2,2024-05-11_S1_S2_4c1cd284,12.00,2024-05-11 06:55:00,2024-05-11 16:18:00,66500.00,9.38,54.00,169.00,284.00,1520.00,1520.00,1700.00,0.00,180.00,180.00,,0.64,1.28,1520.00,1520.00,1700.00,0.00,180.00,180.00,,0.64,1.28
2024.00,S2,2024-05-11_S1_S2_4c1cd284,18.00,2024-05-11 06:55:00,2024-05-11 16:18:00,66500.00,9.38,54.00,169.00,284.00,1520.00,1520.00,1715.00,0.00,195.00,195.00,,0.59,1.18,1520.00,1520.00,1715.00,0.00,195.00,195.00,,0.59,1.18
2024.00,S3,2024-05-17_S3_S4_09c73fc7,6.00,2024-05-17 13:31:00,2024-05-17 19:09:00,47550.00,5.63,54.00,169.00,284.00,44.00,524.00,89.00,480.00,-435.00,45.00,0.24,,5.11,59.00,524.00,89.00,465.00,-435.00,30.00,0.25,,7.67
2024.00,S3,2024-05-17_S3_S4_09c73fc7,12.00,2024-05-17 13:31:00,2024-05-17 19:09:00,47550.00,5.63,54.00,169.00,284.00,44.00,524.00,104.00,480.00,-420.00,60.00,0.24,,3.83,44.00,524.00,104.00,480.00,-420.00,60.00,0.24,,3.83
2024.00,S3,2024-05-17_S3_S4_09c73fc7,18.00,2024-05-17 13:31:00,2024-05-17 19:09:00,47550.00,5.63,54.00,169.00,284.00,59.00,524.00,119.00,465.00,-405.00,60.00,0.25,,3.83,74.00,524.00,119.00,450.00,-405.00,45.00,0.26,,5.11
2024.00,S4,2024-05-17_S3_S4_09c73fc7,6.00,2024-05-17 13:31:00,2024-05-17 19:09:00,47550.00,5.63,54.00,169.00,284.00,29.00,74.00,134.00,45.00,60.00,105.00,2.56,1.92,2.19,29.00,74.00,134.00,45.00,60.00,105.00,2.56,1.92,2.19
2024.00,S4,2024-05-17_S3_S4_09c73fc7,12.00,2024-05-17 13:31:00,2024-05-17 19:09:00,47550.00,5.63,54.00,169.00,284.00,29.00,74.00,134.00,45.00,60.00,105.00,2.56,1.92,2.19,29.00,74.00,134.00,45.00,60.00,105.00,2.56,1.92,2.19
2024.00,S4,2024-05-17_S3_S4_09c73fc7,18.00,2024-05-17 13:31:00,2024-05-17 19:09:00,47550.00,5.63,54.00,169.00,284.00,29.00,89.00,134.00,60.00,45.00,105.00,1.92,2.56,2.19,29.00,89.00,134.00,60.00,45.00,105.00,1.92,2.56,2.19
2024.00,S1,2024-06-01_S1_S2_ef46e32f,6.00,2024-06-01 18:05:00,2024-06-02 07:46:00,81250.00,13.68,54.00,169.00,284.00,25.00,220.00,205.00,195.00,-15.00,180.00,0.59,,1.28,25.00,265.00,685.00,240.00,420.00,660.00,0.48,0.27,0.35
2024.00,S1,2024-06-01_S1_S2_ef46e32f,12.00,2024-06-01 18:05:00,2024-06-02 07:46:00,81250.00,13.68,54.00,169.00,284.00,25.00,280.00,115.00,255.00,-165.00,90.00,0.45,,2.56,25.00,325.00,790.00,300.00,465.00,765.00,0.38,0.25,0.30
